x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299
0,0,0,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4
1,9001,957419,3,5,8,15,16,29,48,69,102,122,140,208,270,384,546,607,752,908,1245,1445,1870,1986,2132,2717,2824,3050,3719,4136,4417,4882,5180,5407,5534,6004,6213,6480,6816,7146,7363,7434,8320,8472,9883,10008,10227,10373,10529,10763,10874,10985,11294,11612,11801,11801,12245,12360,12455,12679,12879,13030,13236,13312,13488,13636,13836,14009,14140,14248,14439,14522,14719,14751,14889,14989,15114,15213,15355,15314,15353,15409,15502,15549,15709,15776,15789,15843,15914,16020,16056,16092,16108,16134,16155,16178,16277,16306,16338,16359,16381,16398,16425,16469,16475,16483,16522,16527,16547,16564,16606,16633,16664,16703,16717,16733,16757,16757,16757,16823,16837,16859,16886,16906,16906,16906,16954,16960,16993,17027,17069,17069,17069,17112,17123,17164,17184,17421,17421,17421,17459,17494,17733,17786,17793,17793,17793,17870,17876,17912,17926,17956,17956,17956,18035,18081,18088,18126,18160,18160,18160,18317,18322,18347,18401,18434,18434,18434,18605,18622,18667,18721,18774,18774,18774,18903,18939,18965,18995,19031,19031,19031,19031,19135,19159,19260,19360,19360,19360,19518,19558,19611,19678,19716,19716,19716,19848,19891,19949,19985,20015,20015,20015,20141,20190,20225,20264,20400,20400,20400,20587,20587,20612,20701,20752,20752,20752,21052,21104,21128,21183,21368,21368,21368,21674,21754,21898,22088,22322,22322,22322,22893,23090,23280,23895,24155,24155,24155,25048,25365,25538,26120,26435,26435,26435,27652,28178,28731,29008,29842,29842,29842,31212,31773,32369,33067,33648,33648,33648,35272,35494,36037,36037,37071,37071,37071,38305,38756,39773,41062,41535,41535,41535,43840,44376,44980,45509,46615,46615,46615,48308,48879,49422,50036,50614,50614,50614,51717,52080,52574,53101,53101,53101,53101,55037,55253,55645,56288
1,9003,899498,0,0,0,1,3,4,7,11,18,29,35,54,61,88,116,138,189,228,276,330,393,469,539,679,726,751,882,1045,1290,1471,1615,1832,1914,2243,2370,2570,2859,3015,3196,3351,3823,3951,4128,4303,4570,4761,4989,5157,5224,5388,5601,5931,6112,6112,6173,6351,6530,6750,6904,7105,7263,7358,7528,7732,7935,8126,8299,8723,8957,9050,9234,9299,9463,9545,9686,9841,9917,9962,10078,10146,10207,10296,10445,10536,10593,10636,10677,10747,10809,10844,10859,10924,10967,11103,11189,11218,11231,11261,11284,11322,11358,11392,11405,11414,11443,11450,11483,11511,11558,11587,11623,11662,11691,11716,11728,11728,11728,11794,11812,11835,11866,11892,11892,11892,11949,11950,11980,12016,12046,12046,12046,12082,12101,12147,12145,12340,12340,12340,12390,12401,12542,12561,12645,12645,12645,12701,12711,12733,12745,12761,12761,12761,12800,12826,12830,12855,12871,12871,12871,12956,12949,12956,12978,13002,13002,13002,13180,13184,13273,13307,13392,13392,13392,13504,13529,13561,13598,13635,13635,13635,13635,13771,13796,13853,13886,13886,13886,14060,14099,14130,14205,14253,14253,14253,14370,14414,14456,14506,14539,14539,14539,14670,14737,14801,14874,14989,14989,14989,15235,15272,15341,15434,15520,15520,15520,15836,15949,16010,16058,16273,16273,16273,16568,16717,16795,16911,17062,17062,17062,17516,17672,17783,17995,18184,18184,18184,18739,19043,19131,19511,19769,19769,19769,20409,20768,21212,21516,22083,22083,22083,23266,23636,24154,24706,25182,25182,25182,26424,26555,27061,27061,27844,27844,27844,28895,29049,29575,30549,30879,30879,30879,33035,33796,34516,35245,35878,35878,35878,38036,38457,39151,39787,40611,40611,40611,41961,42402,42786,43253,43253,43253,43253,45589,45746,46201,46680
1,9005,185186,0,1,3,3,4,4,5,5,7,8,11,12,13,22,33,44,52,65,87,113,121,131,141,173,182,197,230,255,292,315,346,388,403,446,460,490,535,569,593,600,639,643,722,751,808,834,864,892,900,919,963,1014,1036,1036,1047,1065,1085,1114,1130,1142,1153,1161,1171,1179,1203,1218,1234,1269,1280,1290,1299,1303,1298,1304,1331,1346,1360,1360,1366,1375,1381,1397,1400,1402,1404,1406,1409,1413,1419,1426,1432,1430,1435,1435,1439,1442,1441,1443,1444,1447,1448,1467,1467,1467,1469,1469,1469,1471,1482,1482,1487,1490,1490,1492,1494,1494,1494,1504,1508,1509,1510,1510,1510,1510,1512,1512,1517,1520,1523,1523,1523,1524,1525,1530,1530,1560,1560,1560,1568,1570,1593,1599,1597,1597,1597,1598,1600,1606,1607,1610,1610,1610,1615,1618,1617,1620,1632,1632,1632,1637,1636,1638,1642,1645,1645,1645,1658,1658,1662,1673,1688,1688,1688,1709,1713,1717,1721,1728,1728,1728,1728,1751,1752,1763,1773,1773,1773,1793,1798,1804,1815,1822,1822,1822,1841,1845,1849,1856,1857,1857,1857,1872,1874,1884,1890,1899,1899,1899,1921,1911,1915,1916,1919,1919,1919,1940,1952,1956,1959,1991,1991,1991,2033,2051,2064,2086,2116,2116,2116,2192,2209,2228,2279,2305,2305,2305,2404,2430,2448,2531,2559,2559,2559,2704,2777,2844,2906,3010,3010,3010,3222,3299,3381,3500,3602,3602,3602,3853,3908,4015,4015,4231,4231,4231,4503,4547,4669,4857,4931,4931,4931,5358,5471,5569,5710,5796,5796,5796,6061,6138,6270,6385,6515,6515,6515,6740,6786,6906,7004,7004,7004,7004,7303,7339,7422,7476
1,9007,164245,0,0,0,0,0,0,0,1,3,5,6,6,8,8,15,18,25,28,38,50,56,66,74,91,100,110,135,150,174,205,240,290,299,339,355,379,394,422,448,462,484,512,525,545,561,576,588,609,618,631,657,687,707,707,713,734,742,764,775,789,798,801,823,837,863,885,898,909,936,947,965,972,992,999,1010,1012,1026,1061,1082,1090,1104,1104,1143,1154,1161,1171,1170,1174,1185,1187,1194,1199,1210,1216,1223,1229,1233,1235,1241,1246,1254,1258,1259,1259,1272,1273,1277,1282,1287,1292,1295,1305,1304,1311,1308,1308,1308,1321,1320,1331,1334,1335,1335,1335,1340,1341,1346,1351,1357,1357,1357,1359,1361,1362,1360,1365,1365,1365,1373,1374,1375,1377,1377,1377,1377,1388,1391,1396,1395,1396,1396,1396,1405,1408,1408,1411,1414,1414,1414,1425,1424,1425,1425,1426,1426,1426,1434,1436,1437,1438,1446,1446,1446,1455,1466,1469,1469,1484,1484,1484,1484,1496,1499,1505,1512,1512,1512,1524,1527,1531,1537,1542,1542,1542,1552,1556,1560,1564,1566,1566,1566,1583,1588,1599,1604,1614,1614,1614,1627,1631,1635,1652,1667,1667,1667,1709,1714,1720,1733,1754,1754,1754,1809,1830,1838,1853,1873,1873,1873,1937,1957,1965,1992,2018,2018,2018,2092,2129,2145,2182,2231,2231,2231,2335,2396,2442,2494,2602,2602,2602,2804,2863,2935,3025,3145,3145,3145,3358,3375,3441,3441,3567,3567,3567,3717,3753,3799,3973,4007,4007,4007,4319,4434,4534,4620,4733,4733,4733,5005,5042,5153,5263,5367,5367,5367,5593,5681,5766,5874,5874,5874,5874,6354,6391,6479,6566
1,9009,864835,0,0,0,1,3,4,8,10,24,24,24,29,41,89,127,156,222,236,280,373,517,611,647,891,1024,1162,1468,1664,1945,2183,2383,2715,2946,3358,3543,3758,4163,4520,4743,4871,5272,5493,5811,6064,6286,6509,6715,6993,7089,7205,7536,7900,8024,8024,8110,8337,8419,8678,8887,9091,9209,9260,9430,9570,9712,9881,10075,10159,10338,10427,10587,10663,10756,10847,10905,11017,11121,11124,11198,11241,11309,11323,11479,11525,11548,11582,11673,11817,11828,11860,11875,11911,11930,11979,12021,12034,12055,12078,12089,12105,12136,12174,12185,12196,12225,12227,12245,12254,12275,12299,12318,12359,12368,12383,12409,12409,12409,12462,12473,12486,12509,12532,12532,12532,12612,12617,12643,12686,12733,12733,12733,12788,12794,12825,12835,12884,12884,12884,12941,12965,12983,13013,13041,13041,13041,13086,13100,13118,13128,13145,13145,13145,13224,13240,13254,13272,13316,13316,13316,13378,13376,13388,13422,13442,13442,13442,13518,13524,13556,13584,13622,13622,13622,13675,13711,13736,13763,13793,13793,13793,13793,13858,13877,13917,13961,13961,13961,14059,14082,14102,14145,14164,14164,14164,14261,14278,14294,14319,14340,14340,14340,14434,14451,14477,14520,14583,14583,14583,14715,14722,14749,14830,14877,14877,14877,15164,15223,15263,15310,15455,15455,15455,15680,15792,15876,15952,16073,16073,16073,16594,16715,16837,17156,17352,17352,17352,18048,18244,18374,18862,19154,19154,19154,20053,20434,20892,21237,22015,22015,22015,23113,23593,24115,24733,25248,25248,25248,26531,26643,27092,27092,27925,27925,27925,29455,30143,30819,32377,32843,32843,32843,34777,35321,35720,36354,37836,37836,37836,39576,40011,40539,41146,41723,41723,41723,42747,43180,43568,44134,44134,44134,44134,46237,46466,46892,47375
1,9011,268555,0,0,0,0,0,0,0,0,0,1,1,3,4,6,9,13,15,19,20,24,27,29,29,40,57,57,65,85,120,139,156,185,190,222,227,236,255,292,315,339,356,369,397,419,448,473,498,516,530,540,564,603,623,623,641,681,704,742,755,775,782,784,793,804,821,844,860,873,876,880,896,903,910,970,1046,1043,1075,1053,1067,1068,1076,1078,1091,1094,1100,1104,1108,1112,1119,1120,1122,1130,1147,1150,1198,1236,1240,1276,1285,1288,1203,1209,1217,1214,1221,1221,1219,1223,1241,1244,1255,1268,1268,1273,1277,1277,1277,1296,1304,1308,1319,1322,1322,1322,1328,1334,1339,1345,1347,1347,1347,1356,1357,1364,1352,1362,1362,1362,1373,1382,1387,1396,1402,1402,1402,1414,1421,1428,1431,1433,1433,1433,1457,1467,1469,1475,1477,1477,1477,1499,1497,1499,1503,1505,1505,1505,1517,1520,1526,1526,1554,1554,1554,1577,1587,1590,1598,1620,1620,1620,1620,1643,1649,1649,1651,1651,1651,1677,1682,1689,1705,1717,1717,1717,1774,1782,1803,1830,1843,1843,1843,1959,1994,2053,2087,2206,2206,2206,2349,2413,2426,2515,2570,2570,2570,2837,2905,2918,2924,3083,3083,3083,3234,3281,3329,3386,3456,3456,3456,3660,3695,3715,3765,3803,3803,3803,3955,4041,4068,4141,4220,4220,4220,4326,4397,4475,4518,4668,4668,4668,4906,4968,5112,5256,5352,5352,5352,5592,5648,5731,5731,5867,5867,5867,6051,6148,6250,6557,6648,6648,6648,7064,7198,7335,7485,7684,7684,7684,8212,8343,8562,8716,8940,8940,8940,9255,9349,9469,9645,9645,9645,9645,10295,10356,10480,10618
1,9013,149788,0,0,0,0,0,0,0,0,4,4,5,14,16,19,27,33,33,37,40,50,56,61,67,79,91,94,103,111,128,145,152,171,182,195,201,216,241,258,270,276,299,305,331,359,375,384,407,419,422,427,437,446,461,461,464,502,513,522,530,540,543,545,556,560,568,583,636,715,735,770,786,787,796,799,807,812,821,815,822,827,833,836,845,848,856,859,859,864,864,863,873,878,883,886,885,888,888,888,889,892,893,895,895,895,898,898,899,904,906,910,909,913,913,915,915,915,915,925,925,926,928,928,928,928,935,935,937,937,939,939,939,948,946,946,937,964,964,964,969,972,1001,1011,1019,1019,1019,1050,1053,1056,1055,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1059,1075,1081,1082,1083,1083,1083,1085,1090,1093,1112,1126,1126,1126,1145,1147,1153,1158,1161,1161,1161,1161,1191,1200,1215,1232,1232,1232,1270,1281,1283,1289,1293,1293,1293,1312,1323,1328,1334,1337,1337,1337,1356,1359,1363,1370,1449,1449,1449,1473,1477,1484,1494,1502,1502,1502,1520,1534,1535,1539,1565,1565,1565,1600,1617,1638,1655,1689,1689,1689,1724,1738,1750,1764,1780,1780,1780,1825,1849,1864,1922,1940,1940,1940,1991,2031,2089,2125,2209,2209,2209,2389,2418,2495,2573,2665,2665,2665,2824,2850,2901,2901,2977,2977,2977,3054,3068,3126,3199,3225,3225,3225,3418,3519,3588,3667,3737,3737,3737,3915,3989,4050,4124,4197,4197,4197,4315,4384,4445,4497,4497,4497,4497,4750,4777,4831,4900
1,9015,116418,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,7,10,11,19,21,27,31,32,40,43,49,52,59,66,66,83,87,89,87,92,97,100,108,112,122,129,139,151,157,164,164,165,186,200,211,211,217,223,242,250,249,266,270,271,281,287,291,301,304,313,322,326,329,336,348,354,359,365,371,371,375,380,381,384,388,393,392,397,405,416,420,428,430,437,441,453,463,465,467,469,471,472,567,575,579,584,587,588,595,598,599,605,606,610,612,612,616,616,616,624,627,626,630,632,632,632,636,638,639,642,651,651,651,652,653,655,655,658,658,658,668,674,676,685,693,693,693,712,716,722,724,726,726,726,738,745,748,751,755,755,755,762,762,767,767,768,768,768,780,780,785,785,789,789,789,801,807,810,810,813,813,813,813,825,828,828,844,844,844,868,878,884,890,899,899,899,924,934,941,948,958,958,958,985,990,997,1004,1025,1025,1025,1056,1072,1079,1097,1108,1108,1108,1157,1176,1183,1193,1216,1216,1216,1266,1272,1280,1305,1324,1324,1324,1394,1408,1419,1445,1469,1469,1469,1528,1557,1566,1589,1610,1610,1610,1685,1715,1738,1776,1837,1837,1837,1951,2000,2059,2118,2161,2161,2161,2313,2342,2379,2379,2468,2468,2468,2613,2636,2682,2802,2837,2837,2837,3126,3191,3290,3366,3427,3427,3427,3735,3791,3921,3998,4153,4153,4153,4359,4425,4517,4591,4591,4591,4591,4964,4989,5066,5140
2,12001,278468,1,2,3,3,4,4,6,7,11,15,25,35,37,37,46,53,60,68,72,80,87,92,95,110,116,123,133,139,144,154,167,174,183,187,195,196,200,201,205,210,218,224,227,231,244,245,251,254,255,262,267,273,275,286,289,289,295,300,306,308,312,320,324,326,330,330,329,332,337,339,344,346,354,355,361,365,370,370,372,378,379,380,382,382,383,387,392,396,399,399,404,412,443,506,531,541,551,564,580,600,633,673,716,738,760,807,863,945,1033,1124,1159,1197,1245,1332,1423,1506,1578,1636,1701,1792,1871,1978,2043,2098,2173,2258,2322,2397,2465,2531,2619,2683,2737,2809,2890,2984,3050,3144,3186,3297,3353,3448,3526,3590,3662,3749,3808,3862,3952,4006,4088,4142,4171,4246,4309,4391,4483,4544,4629,4670,4713,4759,4813,4865,4919,4950,4981,5023,5053,5082,5117,5165,5193,5196,5251,5303,5345,5409,5498,5582,5633,5722,5812,5898,6029,6241,6401,6555,6657,6814,6994,7199,7382,7502,7581,7651,7735,7862,7960,8060,8109,8164,8230,8293,8352,8439,8494,8548,8570,8619,8642,8733,8817,8817,8931,8985,9055,9133,9190,9307,9412,9452,9496,9575,9616,9807,9895,9989,10044,10114,10196,10296,10385,10533,10582,10706,10760,10842,10913,10996,11047,11082,11123,11261,11347,11450,11554,11631,11651,11740,11807,11854,11994,12113,12176,12272,12339,12395,12468,12549,12549,12704,12769,12813,12864,12911,13017,13118,13190,13314,13382,13479,13567,13649,13782,13869,13971,14039,14128,14225,14323,14468,14585,14716,14768,14890,14981,15074,15182,15182,15370,15420,15473,15574,15674,15866
