project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	7d72e747-dfec-488a-b868-c6ddc88c3b46	TCGA-N8-A56S-10A-01W	6e20e794-140f-47ae-aa41-5a3545808d08	TCGA-N8-A56S-10A-01W-A317-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	dcad3c20-6ecb-4986-9044-2e3b2896e11b	TCGA-N8-A56S-10A-01D	3f09d030-c96c-4789-a560-0400f43bebbb	TCGA-N8-A56S-10A-01D-A764-36	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	true	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	dcad3c20-6ecb-4986-9044-2e3b2896e11b	TCGA-N8-A56S-10A-01D	a67ed126-2b79-4d14-85b5-4ec89071f13a	TCGA-N8-A56S-10A-01D-A28T-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	dcad3c20-6ecb-4986-9044-2e3b2896e11b	TCGA-N8-A56S-10A-01D	cf639b94-ef71-448e-80fe-eeb0283bd015	TCGA-N8-A56S-10A-01D-A28U-08	'--	'--	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	148e1999-6023-46ae-8a70-8281fca0aac0	TCGA-N8-A56S-01A-11D-A764-36	'--	'--	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	4e9178fc-5035-4f2d-8e7c-bb677d626fe2	TCGA-N8-A56S-01A-11D-A28S-05	'--	'--	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	6f8e45b3-6ed7-4f94-b5b5-dffeeeef1f59	TCGA-N8-A56S-01A-11D-A28Q-01	'--	'--	'--	'--	'--	0.14	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	74b63264-7691-44b2-844e-10c2d2664933	TCGA-N8-A56S-01A-01D-YYYY-23	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	86211ee6-0559-4825-a102-ed909f5328ee	TCGA-N8-A56S-01A-11D-A28R-08	'--	'--	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	7293e630-d505-4703-a515-fe54d56aad43	TCGA-N8-A56S-01A-11R	50b4f1de-010d-4cbb-b140-9b86af6a7e59	TCGA-N8-A56S-01A-11R-A28V-07	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	7293e630-d505-4703-a515-fe54d56aad43	TCGA-N8-A56S-01A-11R	a241f491-5fab-44ec-b30e-d9d33f49f595	TCGA-N8-A56S-01A-11R-A28Z-13	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	ce62752e-ecf6-4db6-a3d3-2650cc4099bd	TCGA-N8-A56S-01A-11W	44b03cb9-378b-4a0b-8149-4d0027ec0fb3	TCGA-N8-A56S-01A-11W-A316-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	0534f29c-e24c-478c-a138-ff8586702782	TCGA-C5-A905-01A-11R	729d243c-73f2-42d2-8737-55275a062a8f	TCGA-C5-A905-01A-11R-A37O-07	2.34	13.0	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	0534f29c-e24c-478c-a138-ff8586702782	TCGA-C5-A905-01A-11R	b7768746-c516-4355-9c6f-e9b444d3677f	TCGA-C5-A905-01A-11R-A37P-13	3.6	20.0	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	c7da5339-385e-47f9-906b-d94a839cb2a6	TCGA-C5-A905-01A-11W	641afdc5-7f12-4b97-9cd3-19c376c44732	TCGA-C5-A905-01A-11W-A44N-09	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	f0446b8d-ca65-47ab-ac7b-d9c5632f0384	TCGA-C5-A905-01A-11D	01a5bc8f-3e83-4456-b662-ee58beadc548	TCGA-C5-A905-01A-11D-A37Q-05	2.08	13.0	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	f0446b8d-ca65-47ab-ac7b-d9c5632f0384	TCGA-C5-A905-01A-11D	026b1dae-dd31-4f7a-a9a0-3799225430ec	TCGA-C5-A905-01A-11D-A91C-36	2.0	50.0	'--	'--	'--	0.04	false	false	false	false	false	false	false	false	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	f0446b8d-ca65-47ab-ac7b-d9c5632f0384	TCGA-C5-A905-01A-11D	0d8f568b-e23e-4748-9ea5-4d362e7dfcc7	TCGA-C5-A905-01A-11D-A37N-09	3.2	40.0	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	f0446b8d-ca65-47ab-ac7b-d9c5632f0384	TCGA-C5-A905-01A-11D	a449c444-7e8b-4f9a-a879-e7e7104dce92	TCGA-C5-A905-01A-11D-A37M-01	1.07	6.7	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	54ea66ac-568f-4825-8be8-975a998d7e2e	TCGA-C5-A905-10A-01D	4c346bc3-2734-4bb8-87ba-1e3da3003241	TCGA-C5-A905-10A-01D-A91C-36	2.0	50.0	'--	'--	'--	0.04	false	false	false	false	false	false	false	false	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	54ea66ac-568f-4825-8be8-975a998d7e2e	TCGA-C5-A905-10A-01D	a6723266-843b-49aa-8b6e-90038ffc4544	TCGA-C5-A905-10A-01D-A37N-09	3.2	40.0	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	54ea66ac-568f-4825-8be8-975a998d7e2e	TCGA-C5-A905-10A-01D	db82d5fd-70cb-480f-a3c0-e2272be99310	TCGA-C5-A905-10A-01D-A37M-01	1.07	6.7	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	fbccd6cf-0901-44ae-8f3e-e1be258dc16a	TCGA-C5-A905-10A-01W	2c668b9f-116b-4c94-a86c-47a31f3afb4c	TCGA-C5-A905-10A-01W-A44N-09	40.0	80.0	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	d5a17618-03a7-4676-8aa9-b3ef56b47301	TCGA-VD-A8KE-01A-11R	207c04e4-3a0c-415f-941a-191d1b5b9401	TCGA-VD-A8KE-01A-11R-A405-07	2.34	13.0	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	d5a17618-03a7-4676-8aa9-b3ef56b47301	TCGA-VD-A8KE-01A-11R	bd284697-39c6-4a65-aea6-853937dd659e	TCGA-VD-A8KE-01A-11R-A40B-13	3.6	20.0	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	fee38fff-cdb1-497e-9508-a6bb473cb43f	TCGA-VD-A8KE-01A-11D	048b77c4-89da-4fc0-a07b-06bb53dfeb2e	TCGA-VD-A8KE-01A-11D-A39V-01	1.01	6.7	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	fee38fff-cdb1-497e-9508-a6bb473cb43f	TCGA-VD-A8KE-01A-11D	119b486a-77df-49a2-80a0-19555deb7573	TCGA-VD-A8KE-01A-11D-A40D-26	1.5	10.0	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
