project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	7d72e747-dfec-488a-b868-c6ddc88c3b46	TCGA-N8-A56S-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	'--	'--	released	'--
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	49a16d94-1ba0-4cfb-9823-9f8c133a92a3	TCGA-N8-A56S-10A	df7f2f95-2c91-4d66-8c75-2f41fe89f82f	TCGA-N8-A56S-10A-01	dcad3c20-6ecb-4986-9044-2e3b2896e11b	TCGA-N8-A56S-10A-01D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	1b41d6ac-2d1a-45bb-b708-a77c7351f69d	TCGA-N8-A56S-01A-11D	'--	'--	'--	DNA	D	'--	0.14	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	7293e630-d505-4703-a515-fe54d56aad43	TCGA-N8-A56S-01A-11R	1.9	'--	'--	RNA	R	'--	0.16	'--	'--	'--	'--	UV Spec	released	'--
TCGA-UCS	33ad8d6e-10f4-4965-9721-1a9984f9e87d	TCGA-N8-A56S	4f4dc90b-ed39-4cee-95c9-719fd36d2a89	TCGA-N8-A56S-01A	4f157852-30db-4228-8847-5cc151bf8baa	TCGA-N8-A56S-01A-11	ce62752e-ecf6-4db6-a3d3-2650cc4099bd	TCGA-N8-A56S-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	'--	'--	released	'--
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	0534f29c-e24c-478c-a138-ff8586702782	TCGA-C5-A905-01A-11R	1.93	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	2.02	8.7	UV Spec	released	'--
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	c7da5339-385e-47f9-906b-d94a839cb2a6	TCGA-C5-A905-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	ae60de0b-6db7-4fb1-a335-e4e7babd251b	TCGA-C5-A905-01A	2831001c-9f06-41d5-adc3-7567842d6875	TCGA-C5-A905-01A-11	f0446b8d-ca65-47ab-ac7b-d9c5632f0384	TCGA-C5-A905-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	54ea66ac-568f-4825-8be8-975a998d7e2e	TCGA-C5-A905-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-CESC	c99f476b-e8b1-4cdd-9164-0da450064886	TCGA-C5-A905	b7d145d4-5cda-4455-903d-b0c216726ff6	TCGA-C5-A905-10A	9a2425fe-1437-4134-b77d-715607feb4e2	TCGA-C5-A905-10A-01	fbccd6cf-0901-44ae-8f3e-e1be258dc16a	TCGA-C5-A905-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	d5a17618-03a7-4676-8aa9-b3ef56b47301	TCGA-VD-A8KE-01A-11R	1.88	'--	'--	RNA	R	'--	0.18	nRNA - Melanoma Protocol	Yes	1.62	8.9	UV Spec	released	'--
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	35dfeb9d-1f64-4d51-b27a-24ad8aa3327b	TCGA-VD-A8KE-01A	af6186e1-b9d5-487d-978a-2b5d4e61b01c	TCGA-VD-A8KE-01A-11	fee38fff-cdb1-497e-9508-a6bb473cb43f	TCGA-VD-A8KE-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	b4afd975-296b-4b83-b322-987e3f3212c4	TCGA-VD-A8KE-10A	26056e25-5cee-4f83-bac2-07908ca76ef2	TCGA-VD-A8KE-10A-01	c17c4f00-d7a7-43f7-a3dc-79ae3d4fdc25	TCGA-VD-A8KE-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-UVM	c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab	TCGA-VD-A8KE	dd0dff4e-8145-4cc1-b360-ee6645b8c8b3	TCGA-VD-A8KE-10B	305c78c4-cf61-475e-b097-0525fe28df1e	TCGA-VD-A8KE-10B-01	0cc06bc3-1ef4-429a-b078-9458d16e3b23	TCGA-VD-A8KE-10B-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	ad335af4-937e-40c0-bb19-d91e6fb65bd1	TCGA-C5-A907-10A-01D	'--	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	a1191820-1a2e-4a89-ac61-006d22b52d15	TCGA-C5-A907-10A	b64a431a-32da-4901-b255-1f82025655f7	TCGA-C5-A907-10A-01	bd96aee3-987f-4ee0-be94-62cf3d9d5dbd	TCGA-C5-A907-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	b5495329-a954-4bee-ae9c-9bc909acd1c1	TCGA-C5-A907-01A	5bbd5ffe-fd71-4d4d-a3fe-407935aca829	TCGA-C5-A907-01A-11	c126b464-e653-408f-beec-c7131e066d9e	TCGA-C5-A907-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-CESC	c92696ba-f549-480d-8d4a-5f23b27aa336	TCGA-C5-A907	b5495329-a954-4bee-ae9c-9bc909acd1c1	TCGA-C5-A907-01A	5bbd5ffe-fd71-4d4d-a3fe-407935aca829	TCGA-C5-A907-01A-11	c573c63e-df7d-430a-925f-0efa33bbec37	TCGA-C5-A907-01A-11R	1.8	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.52	7.6	UV Spec	released	'--
