,AIR_TIME,DISTANCE,origin,dest
1,129.0,1199,25,3
13,179.0,1199,3,25
14,136.0,1132,25,6
15,167.0,1132,6,25
26,231.0,1476,24,25
27,162.0,1491,25,15
28,230.0,1491,15,25
31,91.0,746,3,30
48,160.0,1476,25,24
49,236.0,1476,24,25
54,169.0,1476,25,24
55,235.0,1476,24,25
127,123.0,1069,25,23
128,177.0,1069,23,25
166,133.0,746,30,3
243,100.0,641,26,25
311,101.0,775,25,4
312,111.0,775,4,25
354,149.0,1337,25,20
355,196.0,1337,20,25
356,90.0,692,25,18
357,121.0,692,18,25
371,232.0,1476,24,25
372,164.0,1476,25,24
373,211.0,1476,24,25
390,99.0,641,26,25
419,80.0,641,25,26
420,134.0,1201,25,19
444,123.0,746,30,3
491,84.0,589,25,27
527,182.0,1199,3,25
545,87.0,524,25,16
546,67.0,524,16,25
561,99.0,589,27,25
580,197.0,1201,19,25
584,135.0,1199,25,3
613,160.0,1476,25,24
615,156.0,1476,25,24
616,231.0,1476,24,25
622,93.0,746,3,30
643,101.0,775,25,4
644,115.0,775,4,25
714,154.0,1337,25,20
715,203.0,1337,20,25
716,84.0,641,25,26
717,103.0,641,26,25
730,127.0,1069,25,23
750,152.0,1476,25,24
751,231.0,1476,24,25
765,101.0,641,26,25
770,87.0,641,25,26
794,187.0,1069,23,25
795,147.0,1476,25,24
827,196.0,1199,3,25
844,149.0,1491,25,15
845,247.0,1491,15,25
880,116.0,746,30,3
894,128.0,1199,25,3
904,154.0,1476,25,24
905,239.0,1476,24,25
919,104.0,746,3,30
952,236.0,1476,24,25
995,101.0,775,25,4
996,111.0,775,4,25
1061,163.0,1132,25,6
1062,166.0,1132,6,25
1063,81.0,692,25,18
1064,114.0,692,18,25
1067,140.0,1337,25,20
1068,207.0,1337,20,25
1083,131.0,1201,25,19
1115,91.0,563,25,29
1116,76.0,563,29,25
1117,89.0,641,25,26
1126,69.0,589,25,27
1135,97.0,641,26,25
1136,79.0,524,25,16
1137,74.0,524,16,25
1148,113.0,775,25,4
1150,105.0,775,4,25
1167,132.0,1199,25,3
1172,240.0,1476,24,25
1186,126.0,1154,25,21
1187,185.0,1154,21,25
1223,149.0,1476,25,24
1224,244.0,1476,24,25
1242,114.0,746,30,3
1262,196.0,1199,3,25
1282,151.0,1476,25,24
1283,217.0,1476,24,25
1301,94.0,589,27,25
1317,153.0,1476,25,24
1323,102.0,746,3,30
1367,194.0,1201,19,25
1489,143.0,1337,25,20
1490,205.0,1337,20,25
1491,93.0,641,25,26
1492,92.0,641,26,25
1528,142.0,1132,25,6
1529,156.0,1132,6,25
1536,137.0,1199,25,3
1545,127.0,1069,25,23
1546,177.0,1069,23,25
1547,169.0,1476,25,24
1552,93.0,641,26,25
1585,115.0,746,30,3
1596,99.0,746,3,30
1606,163.0,1476,25,24
1607,217.0,1476,24,25
1612,165.0,1491,25,15
1613,222.0,1491,15,25
1661,161.0,1476,25,24
1662,223.0,1476,24,25
1663,68.0,455,25,7
1664,71.0,455,7,25
1678,84.0,641,25,26
1699,124.0,1014,25,11
1700,154.0,1014,11,25
1732,222.0,1476,24,25
1746,170.0,1199,3,25
1812,116.0,775,25,4
1813,101.0,775,4,25
1888,155.0,1337,25,20
1889,199.0,1337,20,25
1932,149.0,1476,25,24
1933,155.0,1476,25,24
1934,219.0,1476,24,25
1935,70.0,589,25,27
1936,94.0,589,27,25
1943,223.0,1476,24,25
1951,132.0,1199,25,3
1956,99.0,746,3,30
1981,126.0,746,30,3
1996,130.0,1069,25,23
2043,179.0,1069,23,25
2061,100.0,641,26,25
2071,189.0,1199,3,25
2125,164.0,1491,25,15
2126,227.0,1491,15,25
2127,89.0,641,25,26
2159,109.0,1014,25,11
2160,150.0,1014,11,25
2176,159.0,1476,25,24
2177,233.0,1476,24,25
2239,101.0,775,25,4
2240,104.0,775,4,25
2266,86.0,524,25,16
2267,70.0,524,16,25
2273,151.0,1337,25,20
2274,198.0,1337,20,25
2275,81.0,692,25,18
2276,111.0,692,18,25
2292,218.0,1476,24,25
2293,82.0,524,25,16
2294,67.0,524,16,25
2297,141.0,1201,25,19
2298,164.0,1201,19,25
2327,76.0,563,25,29
2328,87.0,563,29,25
2329,78.0,641,25,26
2362,160.0,1476,25,24
2363,208.0,1476,24,25
2370,137.0,1154,25,21
2371,163.0,1154,21,25
2380,134.0,1199,25,3
