"","index","species"
"1",1,"Anthus trivialis"
"2",2,"Fringilla coelebs"
"3",3,"Phylloscopus trochilus"
"4",4,"Muscicapa striata"
"5",5,"Ficedula hypoleuca"
"6",6,"Carduelis spinus"
"7",7,"Parus major"
"8",8,"Sylvia borin"
"9",9,"Aythya fuligula"
"10",10,"Sterna paradisaea"
"11",11,"Turdus philomelos"
"12",12,"Sylvia atricapilla"
"13",13,"Turdus iliacus"
"14",14,"Lophophanes cristatus"
"15",15,"Corvus corone cornix"
"16",16,"Columba oenas"
"17",17,"Carduelis chloris"
"18",18,"Acrocephalus schoenobaenus"
"19",19,"Columba palumbus"
"20",20,"Emberiza schoeniclus"
"21",21,"Hippolais icterina"
"22",22,"Cyanistes caeruleus"
"23",23,"Erithacus rubecula"
"24",24,"Sylvia communis"
"25",25,"Mergus merganser"
"26",26,"Larus ridibundus"
"27",27,"Turdus pilaris"
"28",28,"Hirundo rustica"
"29",29,"Emberiza citrinella"
"30",30,"Grus grus"
"31",31,"Motacilla alba"
"32",32,"Larus canus"
"33",33,"Alauda arvensis"
"34",34,"Carpodacus erythrinus"
"35",35,"Phoenicurus phoenicurus"
"36",36,"Pica pica"
"37",37,"Turdus merula"
"38",38,"Apus apus"
"39",39,"Luscinia luscinia"
"40",40,"Oenanthe oenanthe"
"41",41,"Larus argentatus"
"42",42,"Sylvia curruca"
"43",43,"Loxia pytyopsittacus"
"44",44,"Cuculus canorus"
"45",45,"Carduelis flammea"
"46",46,"Troglodytes troglodytes"
"47",47,"Bucephala clangula"
"48",48,"Cygnus olor"
"49",49,"Dryocopus martius"
"50",50,"Regulus regulus"
"51",51,"Phylloscopus sibilatrix"
"52",52,"Poecile montanus"
"53",53,"Carduelis cannabina"
"54",54,"Sturnus vulgaris"
"55",55,"Acrocephalus palustris"
"56",56,"Jynx torquilla"
"57",57,"Delichon urbicum"
"58",58,"Vanellus vanellus"
"59",59,"Columba livia"
"60",60,"Dendrocopos major"
"61",61,"Haematopus ostralegus"
"62",62,"Corvus corax"
"63",63,"Podiceps cristatus"
"64",64,"Lanius collurio"
"65",65,"Loxia curvirostra"
"66",66,"Gavia stellata"
"67",67,"Certhia familiaris"
"68",68,"Anas platyrhynchos"
"69",69,"Sterna hirundo"
"70",70,"Tringa totanus"
"71",71,"Scolopax rusticola"
"72",72,"Passer domesticus"
"73",73,"Anas crecca"
"74",74,"Cygnus cygnus"
"75",75,"Tetrao tetrix"
"76",76,"Phylloscopus trochiloides"
"77",77,"Prunella modularis"
"78",78,"Phylloscopus collybita"
"79",79,"Actitis hypoleucos"
"80",80,"Lepus timidus"
"81",81,"Picus canus"
"82",82,"Odocoileus virginianus"
"83",83,"Turdus viscivorus"
"84",84,"Falco subbuteo"
"85",85,"Ardea cinerea"
"86",86,"Gavia arctica"
"87",87,"Numenius arquata"
"88",88,"Tetrastes bonasia"
"89",89,"Garrulus glandarius"
"90",90,"Tringa ochropus"
"91",91,"Acrocephalus dumetorum"
"92",92,"Saxicola rubetra"
"93",93,"Periparus ater"
"94",94,"Pyrrhula pyrrhula"
"95",95,"Passer montanus"
"96",96,"Corvus monedula"
"97",97,"Hydrocoloeus minutus"
"98",98,"Botaurus stellaris"
"99",99,"Phasianus colchicus"
"100",100,"Gallinago gallinago"
"101",101,"Tetrao urogallus"
"102",102,"Accipiter nisus"
"103",103,"Tringa glareola"
"104",104,"Aegithalos caudatus"
"105",105,"Picoides tridactylus"
"106",106,"Ficedula parva"
"107",107,"Pandion haliaetus"
"108",108,"Emberiza rustica"
"109",109,"Tringa nebularia"
"110",110,"Crex crex"
"111",111,"Falco tinnunculus"
"112",112,"Accipiter gentilis"
"113",113,"Larus fuscus"
"114",114,"Carduelis carduelis"
"115",115,"Lepus europaeus"
"116",116,"Alces alces"
"117",117,"Capreolus capreolus"
"118",118,"Buteo buteo"
"119",119,"Fringilla montifringilla"
"120",120,"Poecile cinctus"
"121",121,"Numenius phaeopus"
"122",122,"Anthus pratensis"
"123",123,"Anas penelope"
"124",124,"Bombycilla garrulus"
"125",125,"Loxia leucoptera"
"126",126,"Asio flammeus"
"127",127,"Pluvialis apricaria"
"128",128,"Anser fabalis"
"129",129,"Motacilla flava"
"130",130,"Perisoreus infaustus"
"131",131,"Lagopus lagopus"
"132",132,"Tringa erythropus"
"133",133,"Lymnocryptes minimus"
"134",134,"Emberiza pusilla"
"135",135,"Calidris falcinellus"
"136",136,"Luscinia svecica"
"137",137,"Calcarius lapponicus"
