"","Anthus trivialis","Fringilla coelebs","Phylloscopus trochilus","Muscicapa striata","Ficedula hypoleuca","Carduelis spinus","Parus major","Sylvia borin","Aythya fuligula","Sterna paradisaea","Turdus philomelos","Sylvia atricapilla","Turdus iliacus","Lophophanes cristatus","Corvus corone cornix","Columba oenas","Carduelis chloris","Acrocephalus schoenobaenus","Columba palumbus","Emberiza schoeniclus","Hippolais icterina","Cyanistes caeruleus","Erithacus rubecula","Sylvia communis","Mergus merganser","Larus ridibundus","Turdus pilaris","Hirundo rustica","Emberiza citrinella","Grus grus","Motacilla alba","Larus canus","Alauda arvensis","Carpodacus erythrinus","Phoenicurus phoenicurus","Pica pica","Turdus merula","Apus apus","Luscinia luscinia","Oenanthe oenanthe","Larus argentatus","Sylvia curruca","Loxia pytyopsittacus","Cuculus canorus","Carduelis flammea","Troglodytes troglodytes","Bucephala clangula","Cygnus olor","Dryocopus martius","Regulus regulus","Phylloscopus sibilatrix","Poecile montanus","Carduelis cannabina","Sturnus vulgaris","Acrocephalus palustris","Jynx torquilla","Delichon urbicum","Vanellus vanellus","Columba livia","Dendrocopos major","Haematopus ostralegus","Corvus corax","Podiceps cristatus","Lanius collurio","Loxia curvirostra","Gavia stellata","Certhia familiaris","Anas platyrhynchos","Sterna hirundo","Tringa totanus","Scolopax rusticola","Passer domesticus","Anas crecca","Cygnus cygnus","Tetrao tetrix","Phylloscopus trochiloides","Prunella modularis","Phylloscopus collybita","Actitis hypoleucos","Lepus timidus","Picus canus","Odocoileus virginianus","Turdus viscivorus","Falco subbuteo","Ardea cinerea","Gavia arctica","Numenius arquata","Tetrastes bonasia","Garrulus glandarius","Tringa ochropus","Acrocephalus dumetorum","Saxicola rubetra","Periparus ater","Pyrrhula pyrrhula","Passer montanus","Corvus monedula","Hydrocoloeus minutus","Botaurus stellaris","Phasianus colchicus","Gallinago gallinago","Tetrao urogallus","Accipiter nisus","Tringa glareola","Aegithalos caudatus","Picoides tridactylus","Ficedula parva","Pandion haliaetus","Emberiza rustica","Tringa nebularia","Crex crex","Falco tinnunculus","Accipiter gentilis","Larus fuscus","Carduelis carduelis","Lepus europaeus","Alces alces","Capreolus capreolus","Buteo buteo","Fringilla montifringilla","Poecile cinctus","Numenius phaeopus","Anthus pratensis","Anas penelope","Bombycilla garrulus","Loxia leucoptera","Asio flammeus","Pluvialis apricaria","Anser fabalis","Motacilla flava","Perisoreus infaustus","Lagopus lagopus","Tringa erythropus","Lymnocryptes minimus","Emberiza pusilla","Calidris falcinellus","Luscinia svecica","Calcarius lapponicus"
"JX.1024413",16,65,23,4,15,18,2,3,0,2,6,1,0,5,3,2,2,2,6,0,2,1,2,3,3,2,0,12,0,0,1,4,1,2,1,0,10,4,1,3,1,7,1,0,5,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024414",16,51,35,10,7,19,8,9,0,5,10,2,6,6,7,5,0,0,0,6,1,1,2,4,9,0,5,1,2,0,1,9,0,2,2,0,7,0,0,0,1,3,0,2,0,2,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024415",17,57,27,16,12,15,11,5,0,2,8,0,6,5,5,4,3,0,5,3,1,2,7,1,7,0,0,4,5,2,1,6,2,1,5,0,12,2,1,1,0,3,0,1,8,3,2,2,0,1,0,0,0,1,2,0,1,0,0,0,1,0,2,2,0,0,2,3,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024416",19,65,36,21,11,6,9,6,1,9,15,0,1,6,2,5,0,0,3,6,1,2,5,3,7,0,6,2,6,2,1,8,0,6,1,0,10,4,3,0,1,4,0,3,3,2,1,3,2,1,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,3,2,1,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1126859",15,67,33,15,13,21,12,3,1,3,8,1,1,4,7,5,0,0,8,5,1,6,0,3,8,1,1,3,3,2,4,4,1,1,3,1,11,1,0,1,1,0,2,1,6,1,8,7,1,0,0,1,1,3,0,0,0,0,0,0,2,0,4,2,3,0,5,3,1,0,2,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1391628",7,75,26,11,26,21,12,2,0,3,9,3,0,7,2,6,0,0,5,5,1,6,4,1,3,1,0,2,3,2,2,7,3,0,0,1,4,2,0,0,0,5,1,1,2,0,11,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,16,0,3,1,1,1,0,0,0,1,1,0,0,0,0,0,2,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024956",14,36,38,1,3,5,6,11,0,0,8,2,4,0,4,0,1,0,7,0,0,4,6,10,0,1,7,1,9,0,1,0,1,2,0,3,6,0,0,0,0,1,0,2,0,3,0,0,1,2,0,1,0,0,0,0,6,0,0,1,0,0,0,2,7,0,2,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,1,1,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1007990",4,46,30,0,2,16,6,13,0,0,9,4,8,0,0,0,3,0,7,0,2,7,8,4,0,0,17,0,8,0,0,0,3,1,0,2,10,0,0,0,0,4,0,3,0,2,1,0,0,8,0,3,0,2,0,0,0,2,0,4,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,2,1,0,0,4,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1397345",9,52,38,0,7,9,18,7,0,0,4,5,3,3,0,0,0,0,5,0,0,1,12,4,0,0,18,0,13,0,0,0,5,0,0,2,20,0,0,0,0,1,0,9,0,4,0,0,0,8,0,4,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,13,0,0,0,0,5,0,0,0,2,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024960",7,49,18,1,3,5,5,8,0,0,7,2,4,2,1,0,0,0,3,0,0,1,8,0,0,1,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
