x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309
165310,194717,170004,1438011,119097,410687,100298,446402,203237,224505,213124,325328,724274,271418,174755,184719,128501,140305,144132,686107,267657,72243,109031,269845,412680,225157,134295,201095,139080,428222,331035,354356,919728,639758,187006,271734,62730,173496,310152,161949,353893,241902,107196,236125,327613,281302,524047,228382,287542,421412,166291,238960,310972,274172,291987,269264,377932,361091,115546,120696,396764,163928,151031,176898,598310,335295,191016,201821,280596,189948,195759,187643,213982,51350,261721,195380,201986,150508,206303,432219,183167,213810,237252,147792,425836,617124,126211,244937,240545,746900,181155,186575,352842,171246,240494,266947,264399,181288,181347,294623,371326,211902,180675,173471,81910,73329,191670,129627,456871,171683,66606,207738,122895,316912,221869,190704,851627,225864,273708,96423,581762,283802,233181,70355,382969,623215,111743,262598,169128,426239,35944,320041,567387,177280,724486,322176,58565,335600,33396,77190,63886,163125,219581,66893,325429,283849,528669,116465,142966,242904,124162,152448,102387,81995,216406,111804,238570,172235,128984,733291,630911,649606,1266962,924390,994009,94999,431890,677038,494496,368286,368023,525329,63304,42254,245118,114899,256922,91126,265419,51852,141631,174374,246133,88471,302961,168321,159292,176512,168268,252942,234986,368788,401275,447970,109246,71348,64357,75802,120137,124804,349429,149609,158646,194637,271107,102148,351638,155074,79921,517848,92631,39978,112387,322649,310089,81153,216393,187998,174923,110158,76483,198195,262557,140732,266234,148184,98976,49472,163037,394578,279599,258201,540941,411633,268981,506279,313226,548048,493813,393934,491020,309881,303843,422182,298723,400566,344821,320411,551053,715543,436782,589788,521747,472277,497250,423608,732086,554313,584726,382007,259392,327019,648414,374020,224828,280685,463022,229877,485542,340880,287657,604492,247780,577415,607133,411750,372731,608774,307882,430826,426604,286277,521469,352851,571777,511571,977709,163847,363807,503104,315737,204453,199350,348241,332569,388653,337182,814017,314056,274561,265028,350867,491643,394963,280920,180411,373126,420970,204925
117146,103246,102902,778139,53421,222745,160693,386182,161589,142932,94489,162868,281108,195866,121856,68456,48211,55762,117005,64688,80362,38654,61576,229867,245620,177512,124650,130375,58340,407710,485786,153445,414756,424466,307659,556584,35909,66521,120410,119305,197069,130079,56436,164054,675830,153512,257242,138521,368561,245484,67673,177016,148618,317386,198315,132471,211822,133284,97488,145127,221389,61031,88825,122173,470613,214604,128780,77462,161819,120397,155677,111204,130891,60422,135581,110111,146540,223863,113991,324226,136020,162499,231875,92256,509414,341766,94688,147643,249424,663712,91887,93625,284756,129278,133330,180708,234951,103943,94622,120130,189661,100148,134026,84417,91272,57046,45575,72883,283876,76959,38533,56049,141748,241044,67770,106623,505837,395206,87644,36382,353958,173818,143636,91246,181947,307299,31935,91615,69996,152303,31024,209375,401029,100783,543057,344547,47603,114341,24542,115433,52842,97242,90363,55358,150815,131705,391270,89550,38422,133080,57369,50460,44082,81031,108941,132785,126587,96644,123297,436333,305667,445284,543468,383107,567531,78153,246242,327318,188545,229256,176733,143325,137415,28017,212379,90228,181107,53831,53612,44667,334260,46417,87864,28612,252757,150135,112041,128521,133523,65742,93415,143052,242669,277658,125443,57449,100695,45211,57356,41317,197907,159827,75494,94421,130880,57263,102708,83085,93350,100303,55014,19849,63446,99100,167541,20823,44075,119638,86909,113293,73184,155048,176387,104473,166896,131721,45854,81943,68864,271410,167049,148136,424879,322726,216790,592043,299999,426199,451044,227095,409575,121131,253044,352405,134753,386220,118064,210092,322321,731250,197095,271872,243046,325310,367561,292893,348796,427095,475378,150409,188915,343983,630510,167500,214705,133760,250781,183962,220956,235633,173696,321741,182845,330166,444516,268466,173235,643896,375978,608483,419000,148707,363369,401906,289522,522764,289253,34939,194904,261066,165143,86060,101166,274832,147774,320230,273244,510205,177167,215222,181709,369354,466373,436823,319752,106464,102106,318117,412048
171,593,259,73,257,246,266,120,317,224,402,204,145,406,550,304,458,240,220,14,219,316,112,336,466,356,242,285,208,216,1119,248,46,728,201,358,376,311,236,222,482,472,240,676,487,366,273,236,324,302,381,209,320,437,246,208,179,431,108,317,418,489,238,241,759,463,464,273,278,216,359,151,280,405,331,721,547,569,409,305,364,173,366,343,547,444,75,970,847,741,188,268,365,1450,240,478,372,489,274,1031,1119,560,597,734,748,159,1792,146,639,475,117,391,505,574,494,336,86,852,1051,386,931,507,147,1384,695,639,739,946,751,806,102,563,415,985,268,856,418,280,26,1044,448,843,575,264,347,227,211,268,307,433,222,378,215,650,256,179,513,377,482,261,400,401,340,473,340,55,435,55,1079,165,401,211,976,211,628,4175,223,96,434,356,122,750,5751,345,263,1944,321,342,305,598,448,426,213,128,497,84,250,442,399,1309,609,1194,367,741,283,1340,321,263,116,191,295,7479,239,135,288,651,260,157,379,379,184,817,478,436,256,156,510,73,140,52094,183858,259774,365689,373187,325692,553514,424131,208507,246292,126495,190842,431183,97161,1158959,141784,37175,326891,463066,350941,183481,314065,65268,102379,411821,104194,275714,269851,215119,209035,258913,124829,210543,137909,274289,147427,253928,160151,527616,714812,525092,89710,377452,164469,834817,342661,279052,448702,156374,300989,261236,231439,218246,301977,75161,199366,464728,155016,273729,765544,282318,283701,299310,519571,154772,421857,191173,277310,441792,350755,395179,128549,280435,195977,299810,207222,372270,191696,316448,91397
105954,107851,143404,848826,213875,212131,159635,373210,145357,153263,126788,213720,726838,234232,117480,116858,101194,98258,106631,397667,164987,91298,148575,260361,324701,154992,125130,125184,78718,361643,251769,230879,1084042,542878,378156,312273,170968,295493,300090,143157,309703,194121,87427,167358,429050,220888,307984,181555,221080,282916,121519,138684,280941,231694,210753,174939,358783,223173,101419,122920,275762,130541,113042,120804,423882,203301,171738,303163,262939,123824,184836,129691,105029,47998,139230,279910,222917,195805,130396,240165,120812,140548,166278,100268,370763,352919,70214,192540,169615,456708,166180,193869,360630,167281,147294,273900,207179,126416,113017,391225,244511,175742,213307,225455,188565,28191,164075,81159,271304,173583,73454,118167,109089,231835,144073,124109,443047,267509,175728,139335,469670,186901,215654,59762,315605,317470,67670,175255,116133,265740,21965,198339,797998,183400,521326,304904,34070,284533,19567,77081,53071,116553,131347,62457,182700,160945,355326,73526,94073,210810,79904,113766,113624,105402,145272,82959,111532,90441,107258,366037,329792,413033,550639,568763,351016,85420,271359,499584,311973,198192,237724,441663,129033,36419,203478,102684,238086,64447,273201,34943,176631,147048,120009,82041,270999,142220,137254,97592,109574,155145,209820,329502,255999,310234,120047,37238,96665,63466,105692,88436,313155,117225,120638,118796,338633,120770,150140,167128,54697,286231,95565,47628,86080,284301,195124,108898,137783,97011,160428,62209,71159,171565,115887,136636,275498,142239,57142,40554,84086,281318,151217,262409,494586,331330,249503,614809,385310,498956,312996,240819,408139,344312,212422,445625,211321,209318,225299,263209,476490,908201,389690,284088,266632,512993,307913,462573,1278016,435253,318865,324972,140291,386619,452368,353779,247424,297376,267528,247389,597037,358187,198686,350540,180631,438697,825984,290603,277250,513430,288365,240607,288184,213913,422866,203084,380316,457915,1089204,246662,254238,412041,290083,175822,141003,231809,207200,664945,336580,730809,276327,306187,167086,308003,656988,458452,219602,157587,375653,334094,255436
2499,1000,1116,178,3200,2884,110,5824,10436,123,12619,250,1365,60044,22315,16125,59734,14999,8136,5006,17,98760,44331,16,8,2,12,191,223,10199,315,2917,58,11607,5397,17,1202,4814,2,400,1886,3783,660,2,17388,19818,2963,98,335,4699,71517,2724,321,2390,119701,7007,18466,8,71,141,21250,45952,8094,1488,118,3193,405,197,5765,4872,395,4466,16,32,29,487,4,10795,62,4744,1246,56,24972,30,4305,6100,601,58,203,244,22279,1088,9491,1082,13737,4001,5014,1072,4384,436555,617541,877089,887,314990,18138,810,259,415780,1448,375580,329721,127690,107584,483815,175825,17340,822299,542322,369674,21343,79192,382437,527,264057,117057,11507,506220,40538,219262,266706,295,637467,1181,9353,46,258661,538067,305976,153931,98547,273580,234767,547337,554,162006,295598,557,59288,256566,42750,328,55434,715,324292,71,27,482507,126392,791338,569,103040,180332,1257,461,46615,115,11,4,14,17,133,28,13,173,107,266,623,1662,2229,106,131,1425,1,178,726,879,34375,391,1941,25135,801,25,4,5,5,5885,2109,28,4012,68,526,62,1519,832,3406,32,114,3477,1,167,4047,20,366,123,61,24,12466,20,1414,59,18,50,11620,88,43,31,1042,7842,103,23,1,0,2,0,228,0,0,0,1,2,4,0,1,0,0,4,1,0,0,2,0,0,52,0,0,2,0,2,1,0,48,2,0,0,0,0,2,0,48,1,3,0,0,1,0,0,0,2,0,6,0,0,0,1,30,0,0,0,4,0,0,2,1,4,1,0,5,1,9,2,105,4,0,48,1,2,60,8,0
227641,1204413,542453,103245,92608,123084,642346,672810,334545,578067,444870,270513,65802,183308,19808,364083,111145,152873,171943,29288,56237,288966,7680,260764,148842,135889,141821,309393,12079,585469,409407,200796,66808,89344,147064,213141,17728,75161,372531,95416,381569,437459,155330,91471,107186,67392,19910,465703,156447,368022,161214,252510,306879,515800,65706,96872,125089,39282,302127,155984,435827,1081364,397348,136291,76604,294288,132174,85007,425496,203490,337298,72304,10792,7707,120011,34237,229217,236554,638232,416774,212492,466886,113473,82527,263558,199540,161208,380713,67809,222363,159750,205767,227474,78003,79990,261430,252284,105692,178850,92483,126392,20618,32857,29422,23005,8114,32001,8036,10223,80952,9176,23244,17033,21115,6153,28289,16468,208447,22207,75192,341399,16802,59659,39399,12774,10974,5879,4119,55279,11477,6933,68778,190038,85478,5337,11302,6441,38932,22460,4164,9809,20613,26702,18615,21256,10832,15257,1574,5721,4313,20934,18180,27064,10643,7906,10734,163570,28384,13697,32264,135097,257966,334948,63679,6882,1751,143959,116750,38367,29534,303610,205409,34137,68732,74683,126365,285738,44065,288434,25782,25293,87136,400530,189381,220710,35301,198801,16581,13015,100587,551192,59057,68588,105997,12707,7478,71799,133526,209655,302220,166323,89794,525628,105239,327305,133568,66007,85659,7582,18132,901388,155598,272763,93930,687513,22108,214173,70813,84886,42798,151297,16511,64441,431739,421932,55378,13276,11590,215886,1668,1897,235,319,98,4674,649,617,2028,5416,3279,1460,923,1818,1042,503,1798,1212,7609,1792,482,728,2263,2138,1078,3132,413,1870,6097,4553,1013,6810,4459,300,1023,6261,138,709,233,856,1722,1724,2165,1514,801,1040,878,2164,2798,4686,8802,2824,483,650,1015,967,1161,905,74,15246,2802,113,1934,3744,1146,776,192,3100,19595,10911,641,1158,2068,90,128,2450,127,462,644,856
106016,91002,91845,607621,82825,216428,129605,184046,122732,102731,117495,148912,307451,129116,89959,142652,81311,68615,91915,419115,89976,39089,60046,129884,216743,141250,80280,90411,83897,244503,203313,176651,551358,404448,203404,216574,48039,110033,163615,75144,163782,125250,38162,82038,221044,105909,272514,93030,192686,227294,79584,125366,119329,158238,143505,198478,310253,145073,41456,61130,175460,98588,78100,76067,198887,131767,94543,201123,149163,85829,100418,100072,121553,38356,102993,155613,133922,136504,96023,251029,84289,94630,139049,72764,254177,242732,55789,136206,101475,267056,109320,85099,183380,99644,125669,181754,184712,124128,87975,116528,213626,101083,88999,172304,140662,56667,96534,114543,317864,97046,70929,92981,106192,129633,152869,91625,331462,198878,163448,74736,287837,201867,243553,79342,250128,300709,52132,181858,87976,260102,41041,136911,375627,107214,404619,241736,30258,123615,24953,67621,60996,88338,95756,44582,202511,126410,317132,73123,62416,112920,54532,63457,74851,57182,84236,64237,98084,111637,113966,270980,211032,233396,345816,303748,365896,57351,195620,376715,214804,170440,191674,316245,96574,26950,138680,76353,214843,63707,197737,48878,146442,80292,171714,95716,180794,174185,83023,83735,99705,161993,130096,256876,249453,185678,101717,41816,109016,81884,101993,60326,258976,101853,136055,124248,213401,56839,151604,88797,89487,283801,46602,18216,55043,200045,158474,34869,120135,137530,120781,51866,72904,97654,131106,130170,252478,71701,54941,35962,119468,327592,179105,298277,613646,291229,165123,461201,336410,669211,315235,213576,421635,199944,178204,328810,155873,291696,226376,193821,434678,729877,303076,243326,219514,377972,304230,554386,998737,466261,387962,273768,139715,362005,490921,299311,205909,193122,278000,226150,411471,319848,200890,329387,174289,393416,716159,291054,239065,456360,307610,189533,294255,196712,296453,260142,319052,410083,533577,135121,240892,327150,301977,210841,102112,222749,189081,365174,291343,529597,238574,261072,173263,353872,391277,369629,197219,106453,280475,313851,227344
66569,56505,67538,277953,93879,129069,77823,184162,82321,83131,78375,133399,404261,91850,66551,58707,31694,55184,58029,252169,110986,32518,119448,137069,135180,124285,76648,90796,54429,256462,136157,126842,563308,205306,159300,191202,101786,116729,181485,56625,147207,118897,37520,63341,197010,85120,102147,70832,97191,136019,70364,66846,140082,129182,96741,100069,229656,140792,43817,40772,170724,56298,66375,48119,170715,78966,90525,125179,122861,61310,65701,93687,64275,23031,78599,126283,90841,71943,69970,135665,58588,59941,98356,50511,209620,167375,35101,78207,81141,281552,86018,78519,127357,58938,85109,129837,106861,52664,64368,158528,135174,54938,93953,153878,85102,23474,87515,65315,112462,77023,26206,67714,43215,101443,119833,73410,215024,112411,82489,71360,229647,106707,148828,28068,176511,140357,31237,94625,41820,139058,10158,125770,211002,54984,235981,121079,17349,122645,14841,38219,30498,28207,57136,18178,90449,100809,238288,45335,55205,116430,42857,51396,67725,49815,76876,40030,85502,61397,64242,138494,176942,188446,381566,372112,268014,60317,156355,347525,230353,162431,168247,279616,41789,13013,104847,41257,94613,38663,136354,18381,76870,92112,66746,29965,89279,103509,63137,43259,34174,86556,90432,149201,120986,189213,44307,14027,66600,33276,51827,49649,193544,38194,62828,55067,122251,52279,62226,48754,30944,174820,38654,16863,44572,138052,95371,29265,64729,54822,82163,20663,33400,34259,70323,77938,170288,51477,33841,14637,52821,181552,94917,122200,353009,198609,129130,533074,301963,420823,184811,139152,259734,160729,111472,398297,83584,152916,104797,151626,251671,625331,284440,196003,174528,427361,158157,253611,957974,298464,243761,218640,74231,296886,317836,230301,141419,152785,163351,213203,466053,293604,131127,249790,109397,329588,737818,183774,158354,341245,157359,143349,179835,134530,258149,132632,179683,182678,514412,131342,124237,264697,232425,155458,101649,120203,124129,438556,104204,399672,185606,291316,109062,187696,308237,330820,129733,69344,237382,141941,171784
97202,880327,355102,42730,45937,25575,146418,343126,115762,526830,292430,156574,59549,338121,7680,242088,16370,35410,438729,78312,46957,159970,40316,289200,84343,181168,114413,506515,18919,590983,324200,55598,34336,87227,205511,191079,25162,67282,282118,125233,519947,315949,159666,178028,220061,114899,11012,297832,81622,257408,472147,151274,107665,295181,114814,31998,57635,47406,264322,183723,241060,541631,74934,76934,42311,252188,177005,37107,136047,50582,419574,29320,7539,11931,195258,57112,198330,372804,252006,120743,218209,458962,92898,42994,183631,68487,114824,483106,69054,426315,151315,115104,134424,181343,67377,108827,76585,69701,58321,10511,13011,10253,40699,2926,141063,426,14720,989,4965,13697,723,5492,8569,4118,1285,7267,2867,89443,5737,67986,110570,1861,9524,10570,4072,2463,1702,2477,140137,2865,1656,15741,66487,215908,536,3813,1076,7704,4971,368,1689,127084,3971,5119,2815,1002,3077,683,6506,1244,8317,2757,32637,2788,788,7481,35675,8622,1482,24133,95956,139549,208923,63668,2754,2701,34981,4924,7482,10679,20795,10884,16108,32338,13221,11626,34550,7471,26901,30144,15578,39357,94123,65828,27775,4553,186556,26103,23331,14244,73855,29312,5247,44940,5114,2748,32696,81825,6873,20521,33015,20268,52235,16607,26948,34030,27394,14807,7802,23972,41962,41132,66688,24263,232760,10737,25000,15699,94658,117450,54926,8359,25245,48034,145542,7882,13628,11324,35936,2856,2063,770,467,389,3880,311,899,1620,2739,19233,2021,1164,4698,1163,439,6234,4065,6579,2503,1061,786,4861,3990,1616,7111,553,701,6476,3539,968,12444,2537,687,714,6402,521,1862,837,804,1070,4116,947,4477,815,1943,734,3493,3370,1356,6970,2460,1113,887,1305,1015,1391,343,112,2468,2454,233,1990,628,3874,2467,368,1060,18350,9137,171,1394,3559,306,578,3639,390,687,938,563
24346,46492,44521,27488,41605,35066,27138,47317,46702,57679,38641,26589,27377,83472,43465,99876,17406,22717,67438,8479,11407,27595,38985,28767,24135,34624,13055,51287,40036,46160,33889,29810,23894,45175,56884,23982,65766,17725,40606,26218,45479,37027,11790,14463,60539,40492,5805,44051,41545,38499,67999,33507,43097,38125,21644,17787,21345,9341,31349,18430,41038,99914,48801,18587,20534,28422,29679,17940,50293,31801,39273,22207,5852,8206,22985,7308,24320,80108,38793,26076,24872,44051,33155,10433,86074,29113,18105,36984,15782,52273,23300,63390,74421,23962,31976,23980,36429,15312,46584,16288,18426,7775,8949,8266,10168,8990,13887,9204,18364,15651,5180,12570,5155,3350,3440,4450,8744,23240,5905,30656,30778,8473,80714,12011,4337,11662,7846,3853,26605,2983,5905,10740,36726,26744,2717,3587,3161,9214,5579,10392,16548,14573,6126,5494,5768,4647,3500,1137,6621,3105,50628,8194,34903,2438,1513,1751,13485,6633,8677,14744,37585,22969,31928,17006,1963,14913,98913,43339,63890,127975,159376,100336,74526,43128,39808,43398,61974,13785,61191,69549,16841,46748,32592,96657,53642,42119,63256,42986,42812,32817,59449,49471,154576,44599,60023,32171,135558,128402,40711,41920,51466,90554,167524,45611,19660,33163,42724,38955,53310,78251,195268,20545,99781,36319,50454,19305,43965,48929,43774,19690,98621,69482,76139,169971,86446,24726,90558,38824,113644,73938,82828,334099,232932,109091,32729,282299,106179,364841,135023,112200,124792,298588,130986,451406,163059,84216,545281,221005,164833,338610,159667,81102,101330,440216,77296,119622,199122,174959,116883,137876,159885,242105,140829,267307,267227,200713,150111,359498,308798,397066,148862,286075,96545,383323,225470,54116,151499,111160,391085,66736,109381,139928,202117,65185,251092,78865,148218,203329,287931,93377,214599,234719,218185,143437,278934,140944,80588,68782,298255,176969,100241,75759,274596,267763,242098,91190,170633,220551,239505
