iso_region,municipality,local_code,coordinates,lats,lons
US-NM,Albuquerque,ABQ,"35.039976, -106.608925",35.039976,-106.608925
US-NY,Albany,ALB,"42.74829864501953, -73.80169677734375",42.74829864501953,-73.80169677734375
US-GA,Atlanta,ATL,"33.6367, -84.428101",33.6367,-84.428101
US-TX,Austin,AUS,"30.197535, -97.662015",30.197535,-97.662015
US-CT,Hartford,BDL,"41.93851, -72.688066",41.93851,-72.688066
US-AL,Mobile,BFM,"30.626800537100003, -88.06809997559999",30.626800537100003,-88.06809997559999
US-MT,Billings,BIL,"45.807701, -108.542999",45.807701,-108.542999
US-ND,Bismarck,BIS,"46.772701263427734, -100.74600219726562",46.772701263427734,-100.74600219726562
US-MO,Branson,BKG,"36.5385, -93.1991",36.5385,-93.1991
US-IL,Bloomington/Normal,BMI,"40.4771, -88.915901",40.4771,-88.915901
US-TN,Nashville,BNA,"36.1245, -86.6782",36.1245,-86.6782
US-MA,Boston,BOS,"42.36197, -71.0079",42.36197,-71.0079
US-VT,South Burlington,BTV,"44.471901, -73.153297",44.471901,-73.153297
US-NY,Buffalo,BUF,"42.940498, -78.732201",42.940498,-78.732201
US-MD,Baltimore,BWI,"39.1754, -76.668297",39.1754,-76.668297
US-MT,Bozeman,BZN,"45.7775, -111.153",45.7775,-111.153
US-SC,Charleston,CHS,"32.898602, -80.040497",32.898602,-80.040497
US-IA,Cedar Rapids,CID,"41.884701, -91.7108",41.884701,-91.7108
US-OH,Cleveland,CLE,"41.411701, -81.8498",41.411701,-81.8498
US-NC,Charlotte,CLT,"35.2140007019043, -80.94309997558594",35.2140007019043,-80.94309997558594
US-OH,Columbus,CMH,"39.998001, -82.891899",39.998001,-82.891899
US-CO,Colorado Springs,COS,"38.805801, -104.700996",38.805801,-104.700996
US-KY,Cincinnati / Covington,CVG,"39.048801, -84.667801",39.048801,-84.667801
US-DC,Washington,DCA,"38.8521, -77.037697",38.8521,-77.037697
US-CO,Denver,DEN,"39.861698150635, -104.672996521",39.861698150635,-104.672996521
US-TX,Dallas-Fort Worth,DFW,"32.896801, -97.038002",32.896801,-97.038002
US-IA,Des Moines,DSM,"41.534, -93.663101",41.534,-93.663101
US-MI,Detroit,DTW,"42.21377, -83.353786",42.21377,-83.353786
US-TX,El Paso,ELP,"31.807199, -106.377998",31.807199,-106.377998
US-NJ,Newark,EWR,"40.692501, -74.168701",40.692501,-74.168701
US-ND,Fargo,FAR,"46.92070007324219, -96.81580352783203",46.92070007324219,-96.81580352783203
US-CA,Fresno,FAT,"36.776199, -119.718002",36.776199,-119.718002
US-FL,Fort Lauderdale,FLL,"26.072599, -80.152702",26.072599,-80.152702
US-SD,Sioux Falls,FSD,"43.585463, -96.741152",43.585463,-96.741152
US-WA,Spokane,GEG,"47.6199, -117.533997",47.6199,-117.533997
US-WI,Green Bay,GRB,"44.483459, -88.130805",44.483459,-88.130805
US-MI,Grand Rapids,GRR,"42.88079834, -85.52279663",42.88079834,-85.52279663
US-SC,Greer,GSP,"34.895699, -82.218903",34.895699,-82.218903
