,AIR_TIME,DISTANCE,origin,dest
0,226.0,2227,47,30
1,129.0,1199,25,3
2,190.0,1547,3,86
3,201.0,1547,86,3
4,60.0,404,3,52
5,125.0,937,52,30
6,143.0,1075,56,93
7,131.0,1053,93,14
8,144.0,1053,14,93
9,120.0,955,93,94
10,115.0,967,84,25
11,158.0,1024,25,83
12,117.0,1024,83,25
13,179.0,1199,3,25
14,136.0,1132,25,6
15,167.0,1132,6,25
16,97.0,732,25,97
17,110.0,732,97,25
18,131.0,862,25,48
19,123.0,927,19,93
20,138.0,1075,93,56
21,261.0,1737,19,70
22,52.0,304,70,79
23,49.0,304,79,70
24,167.0,1460,70,56
25,209.0,1460,56,70
26,231.0,1476,24,25
27,162.0,1491,25,15
28,230.0,1491,15,25
29,97.0,888,25,65
30,70.0,404,52,3
31,91.0,746,3,30
32,143.0,937,30,52
33,132.0,957,52,28
34,254.0,1671,28,70
35,148.0,1121,52,12
36,168.0,1121,12,52
37,203.0,1310,52,59
38,166.0,1310,59,52
39,81.0,628,47,25
40,94.0,628,25,47
41,173.0,1587,47,11
42,236.0,1587,11,47
43,73.0,386,47,85
44,149.0,1214,52,75
45,175.0,1214,75,52
46,139.0,1024,52,37
47,139.0,1024,37,52
48,160.0,1476,25,24
49,236.0,1476,24,25
50,119.0,819,25,64
51,98.0,819,64,25
52,198.0,1709,25,55
53,240.0,1709,55,25
54,169.0,1476,25,24
55,235.0,1476,24,25
56,171.0,1145,28,55
57,102.0,700,55,76
58,67.0,356,76,3
59,54.0,356,3,76
60,299.0,2026,76,47
61,218.0,1984,47,93
62,105.0,680,59,25
63,110.0,602,25,70
64,188.0,1737,70,19
65,118.0,895,19,52
66,138.0,1101,78,45
67,178.0,1101,45,78
68,143.0,1147,78,37
69,148.0,1147,37,78
70,150.0,1183,78,56
71,159.0,1034,45,93
72,299.0,1984,93,47
73,61.0,345,47,77
74,62.0,345,77,47
75,119.0,806,47,35
76,110.0,806,35,47
77,305.0,2174,55,47
78,43.0,255,47,70
79,43.0,255,70,47
80,119.0,763,47,68
81,99.0,763,68,47
82,121.0,861,69,52
83,151.0,1189,52,86
84,57.0,472,25,63
85,147.0,1211,63,52
86,125.0,950,52,49
87,137.0,762,49,3
88,104.0,700,76,55
89,162.0,1258,55,12
90,189.0,1258,12,55
91,146.0,1096,55,49
92,156.0,1096,49,55
93,124.0,879,23,78
94,231.0,1607,78,25
95,150.0,991,25,68
96,112.0,991,68,25
97,149.0,1025,19,78
98,146.0,1144,78,14
99,163.0,1144,14,78
100,153.0,1120,78,65
101,172.0,1506,25,93
102,138.0,1136,93,74
103,176.0,1136,74,93
104,116.0,927,93,19
105,53.0,373,76,94
106,150.0,992,94,90
107,131.0,992,90,94
108,122.0,701,94,3
109,263.0,1747,3,47
110,132.0,932,23,33
111,128.0,932,33,23
112,119.0,701,23,60
113,92.0,701,60,23
114,229.0,2176,47,69
115,109.0,742,69,46
116,100.0,742,46,69
117,158.0,1052,45,67
118,134.0,1052,67,45
119,161.0,1092,45,33
120,134.0,1026,33,94
121,135.0,1222,47,42
122,166.0,1222,42,47
123,83.0,628,47,25
124,91.0,602,25,70
125,77.0,602,70,25
126,77.0,628,47,25
127,123.0,1069,25,23
128,177.0,1069,23,25
129,94.0,628,25,47
130,69.0,397,47,88
131,56.0,397,88,47
132,130.0,1005,65,52
133,137.0,1073,52,2
134,149.0,1073,2,52
135,62.0,404,52,3
136,156.0,977,44,25
137,197.0,1607,25,78
138,142.0,920,69,93
139,129.0,920,93,69
140,152.0,951,69,67
141,133.0,985,67,94
142,78.0,532,52,98
143,78.0,532,98,52
144,134.0,1053,52,92
145,148.0,1053,92,52
146,210.0,1506,93,25
147,145.0,967,25,84
148,233.0,2139,84,3
149,86.0,594,3,55
150,180.0,1747,47,3
151,95.0,701,3,94
152,98.0,484,94,20
153,71.0,484,20,94
154,159.0,1026,94,33
155,138.0,1092,33,45
156,107.0,594,55,3
157,310.0,2139,3,84
158,111.0,967,84,25
159,132.0,844,25,32
160,95.0,844,32,25
161,164.0,1085,30,55
162,154.0,1145,55,28
163,283.0,1749,28,47
164,187.0,1749,47,28
165,120.0,937,52,30
166,133.0,746,30,3
167,61.0,404,3,52
168,79.0,468,52,20
169,66.0,468,20,52
170,172.0,1574,70,37
171,244.0,1574,37,70
172,43.0,255,70,47
173,58.0,368,47,87
174,65.0,368,87,47
175,185.0,1824,47,19
176,157.0,1436,25,76
177,225.0,1436,76,25
178,66.0,391,25,87
179,132.0,1086,87,4
180,168.0,1164,4,79
181,136.0,1164,79,4
182,141.0,1085,55,30
183,161.0,1085,30,55
184,149.0,1085,55,30
185,219.0,1504,4,84
186,173.0,1504,84,4
187,170.0,1086,4,87
188,52.0,391,87,25
189,96.0,602,25,70
190,152.0,1120,65,78
191,136.0,993,78,69
192,148.0,920,69,93
193,130.0,920,93,69
194,334.0,2176,69,47
195,147.0,955,94,93
196,139.0,1041,93,37
197,139.0,1041,37,93
198,133.0,1034,93,45
199,111.0,895,52,19
200,123.0,895,19,52
201,113.0,895,52,19
202,140.0,1020,19,67
203,131.0,1020,67,19
204,129.0,770,91,25
205,149.0,985,94,67
206,125.0,951,67,69
207,218.0,1303,69,26
208,148.0,1303,26,69
209,144.0,1186,78,92
210,174.0,1186,92,78
211,128.0,1028,78,94
212,59.0,373,94,76
213,142.0,971,45,52
214,122.0,896,52,94
215,132.0,896,94,52
216,93.0,535,52,40
217,79.0,535,40,52
218,98.0,616,52,11
219,55.0,386,85,47
220,43.0,255,47,70
221,47.0,255,70,47
222,77.0,397,47,88
223,60.0,397,88,47
224,43.0,236,47,48
225,38.0,236,48,47
226,234.0,2174,47,55
227,94.0,616,11,52
228,297.0,2039,52,47
229,69.0,386,47,85
230,53.0,386,85,47
231,49.0,255,47,70
232,225.0,2133,70,30
233,153.0,1072,74,52
234,116.0,861,52,69
235,150.0,993,69,78
236,130.0,1025,78,19
237,278.0,1824,19,47
238,97.0,762,3,49
239,131.0,950,49,52
240,174.0,1211,52,63
241,80.0,472,63,25
242,155.0,967,25,84
243,100.0,641,26,25
244,89.0,770,25,91
245,186.0,1671,70,28
246,128.0,957,28,52
247,155.0,1194,52,13
248,167.0,1194,13,52
249,127.0,927,19,93
250,120.0,927,93,19
251,141.0,1025,19,78
252,126.0,993,78,69
253,137.0,1013,69,55
254,220.0,1546,52,25
255,115.0,862,25,42
256,119.0,862,42,25
257,138.0,1062,25,60
258,147.0,1062,60,25
259,231.0,1576,69,86
260,228.0,1576,86,69
261,116.0,666,69,3
262,86.0,666,3,69
263,225.0,1576,69,86
264,232.0,1608,86,30
265,239.0,1608,30,86
266,152.0,1237,86,93
267,210.0,1506,93,25
268,174.0,1506,25,93
269,186.0,1306,93,59
270,166.0,1306,59,93
271,152.0,1237,93,86
272,220.0,1576,86,69
273,210.0,1371,91,47
274,74.0,628,47,25
275,175.0,1546,25,52
276,130.0,1011,52,14
277,147.0,1011,14,52
278,140.0,1066,52,56
279,139.0,1066,56,52
280,112.0,861,52,69
281,168.0,1514,47,65
282,130.0,1005,65,52
283,151.0,1189,52,86
284,152.0,1189,86,52
285,133.0,1072,52,74
286,89.0,449,69,20
287,284.0,1916,20,47
288,74.0,414,47,84
289,65.0,414,84,47
290,209.0,1916,47,20
291,149.0,1371,47,91
292,137.0,1011,65,93
293,138.0,1011,93,65
294,160.0,1197,55,65
295,159.0,1197,65,55
296,132.0,948,55,23
297,257.0,1678,23,47
298,124.0,1069,47,80
299,158.0,1069,80,47
300,122.0,1055,47,26
301,151.0,1055,26,47
302,61.0,449,20,69
303,251.0,1558,69,25
304,177.0,1546,25,52
305,213.0,1546,52,25
306,122.0,861,69,52
307,129.0,1050,52,5
308,154.0,1050,5,52
309,116.0,851,52,53
310,121.0,851,53,52
311,101.0,775,25,4
312,111.0,775,4,25
313,103.0,628,25,47
314,163.0,1558,25,69
315,162.0,993,69,78
316,134.0,1025,78,19
317,110.0,1080,19,55
318,134.0,1080,55,19
319,174.0,1678,47,23
320,104.0,757,23,52
321,93.0,551,52,60
