x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309
2,0,621,143,23,3,6,22,38,9,213,30,6,3207,3,1361,38266,1,2931,230,0,48166,10865,6,7,0,2,3,126,635,7,0,9,68,23,1,49,29,0,1,16,223,18,1,2014,2652,91,9,8,37,4477,6,87,45,92119,23,6298,15,1,34,172,24,53,47,2,24,87,98,13,22,133,3,0,9,0,10,1,165,1,18,4,23,19251,2,288,17,26,0,0,71,117,7,784,55,63,41,14,7,66,207288,332204,505203,381,201088,6501,475,2806,91486,1205,86027,107658,51572,95934,9457,88245,77357,203984,146176,93766,1171,43065,98549,231,111150,108485,7757,325663,34682,85107,250506,229,268416,22041,9209,88,148409,146214,316647,54071,3668,7589,120687,338124,16760,91342,224949,323,9045,142951,33944,1432,12306,670,136758,256,16,224127,29401,318191,975,63637,266087,2967,27,192558,14,0,0,4,0,1,0,2,19,3,106,174,622,706,17,26,43,0,40,74,15,13205,197,1593,3772,34,10,2,0,17,17,203,14,55,10,12,185,41,7,186,14,7,546,0,31,1007,3,171,19,1,2,2412,142,21,319,0,31,1791,7,1196,4,97,547,470,30,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,92,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,33,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,162,0,0,77,2,0,98,1,0
2,0,76,9,3,1,0,12,1,4,75,77,0,14,5,4,23,9,22,4,0,17,4,2,2,3,0,0,0,1,6,1,9,26,0,1,64,4,0,0,6,1,0,3,2,4,5,12,42,19,2432,0,13,0,13,0,8521,477,0,7,11,35,6,7,10,7,0,4,7,3,3,0,0,0,2,3,1,0,0,0,0,15,17,0,1,1,5,8,76,2,2,61,23,1,1,5,7,13,251,664494,153398,691464,680,1910,14069,6866,365,276,234,228463,20197,6029,6382,14540,272764,928,503830,207681,733,112,8094,351579,330,167201,613,598,118,261665,1164,32842,345,314624,3223,878,269,68338,234051,244704,2122,24019,8023,9364,100960,1750,10953,25388,302,683,90468,1411,19,172,744,195342,60,41,319084,11895,349962,966,1538,380,218,10,73111,4,172,2,23,9,57,197,5,0,11,31,166,0,271,6,135,225,2,11,184,13,90,114,73,3870,6,4,1,0,0,5,36,2,30,4,4,3,25,27,1,10,185,6080,17,21,232,3,3,31,11,8,1627,55,9,34,3,3,2723,0,4,1,14,16,110,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,7,0,0
4,4685,33211,19,1,64,272,47,174,3,142,854,54,0,7,4,61,3,11,222,57,1,1,785,34,91,155,68,18,4768,102,1895,6,1395,0,224,4,0,1467,11,1571,935,135,205,55,92,22,10558,103,133,72,18,4238,4601,182,113,555,48,47,102,4476,2,38,248,85,235,43989,1194,166,441,109829,602,691,4905,11519,241,1362,0,81,1308,368,246,44,1140,3828,791,122,1991,2183,78,46,24,74,227,801,65,2,102,244,7207,5912,23661,47694,4195,2415,119812,3985,184,9773,2803,58,2137,668,463,6600,13192,1725,478,5058,637,67000,99,74,4629,34,304173,44,165717,2934,36331,128610,33200,232524,13,18083,1730,326,6487,53,520,119,1062,221,10924,1383,14348,91740,2845,2297,13868,385,8102,51,789,3750,108541,16226,4369,2212,146053,2217,1384,200159,36499,39607,1,0,0,7,12,0,1,0,0,1,44,320,2,44,0,12,189,0,52,37,3,187,468,79,325,28,2,1,2,2,0,2,0,9,1,1,8,7,474,4,0,17,13,2,52,33,1,0,0,0,1,410,196,41,1,1,15,45,0,3087,0,47,1,166,45,0,0,0,0,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,7,0,0
3510,1949,459242,680,2,3677,1298,90379,20123,89,11661,679,21812,3,33461,53,5,6487,0,0,42258,70,6,5598,6,77518,53747,6,105,9230,1443,3506,3300,84019,1,785,1,3,187863,12500,13139,51,87,60,926,7,1403,82378,54097,29493,14,112,13,26186,16,2656,3888,57,6392,1128,54309,138,2212,77,26,13,594,37237,421,928,100810,757,456584,839278,371425,12,246139,8,32,7885,399238,2580,7994,9291,88071,621,2418,1437,101250,1,62736,26,2553,2,4702,2835,59,559,280825,1,1,0,0,0,0,2,0,0,4066,13,69,335,0,1,1,0,0,0,1,0,0,1,5,50,0,372,3,0,2,0,95,1,0,0,3,0,0,294,1,1,0,0,119,3,0,63,0,1,0,1,7,1,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,149,44,2,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,144,0,2,0,0,0,2,0,1,0,4,0,0,7,0,0,35,0,0,0,0,5,2,1,0,2,1,0,0,0,0,0,2,1,0,0,8,0,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
220,231,29,1,8,392,5177,4356,53,7,1266,5415,15,2,696,17,12,64,5,1,106680,16,16,658,13038,0,2,180,102,64065,106,364903,1303,194,11,116,3,1,89,1,938,2527,1,7402,9,9,9,577410,8,2,1,2983,116,42550,0,613,20678,4436,139,760,19894,6,152,36,0,9289,2,1,76,700,695005,310548,2,0,16,493615,67,5,5473,5728,5100,58,65,120,1923,733236,13,36,15325,23,30,4,13,1,14,582,11,17,44,1,0,0,116,1,74,0,0,0,1,0,1,22,1,2,0,0,0,2,0,8,0,0,3,0,0,28,0,507,19,1,3,0,2,0,1,11,0,1,1,2,1,0,1,1,0,0,81,84,0,0,0,26,0,0,3,2,0,0,0,0,1,5,9,6,2,1,2,1,2,0,1,38,0,2,4,114,8,1,0,17,0,1,0,13,0,69,16,15,67,3,8,1,0,12,0,24,95,0,7,13,8,101,5,4,6,4,1,1,0,2,26,3,32,20,2,0,1,3,9,9,5,55,44,18,6,254,3,11,3,0,27,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,4,27,2,1,1,1,8,3,5,32,33,1,10,2,0,8,5,14,0,1,12,5,2,1,5,1,5,1,5,10,0,11,17,2,5,11,0,0,0,9,2,2,3,6,0,0,8,27,4,830,5,0,2,13,0,2420,155,0,1,6,10,0,1,6,5,1,1,2,2,7,2,1,3,0,1,2,0,0,1,7,8,16,2,0,2,2,5,43,4,1,20,3,0,1,4,6,4,70,188645,45578,240598,170,610,4203,3539,119,122,94,62613,9885,1636,2066,4011,86023,328,279600,56901,197,61,2803,147112,124,74151,246,196,42,82082,408,10201,272,95626,1577,260,163,22286,94902,69129,1653,8614,2956,2596,27131,612,3798,11231,83,189,26706,457,6,47,219,59578,21,16,94381,3443,120247,473,610,126,96,5,27672,0,84,4,13,3,28,90,2,3,3,17,79,0,109,7,91,70,1,8,73,3,22,39,22,1333,1,3,0,0,0,3,14,1,16,0,1,1,10,9,2,2,108,2543,8,9,63,2,0,19,7,9,598,12,1,12,0,1,866,0,1,1,1,11,55,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0
103,202,4466,2,4,264,230,1425,588,46,151,4526,412,1,213,8,1,83,51,5,1892,4,366,101,7,2240,5,76,110,500,219,583,22,1234,27,0,0,1,671,73,626,59,7,2720,30,5,20,649,186,1206,10,100,11,1070,0,2481,130,1143,671,61,842,0,28,296,3,53,234,82,19,280,1461,743,1156,1712,8,4357,219,15,751,539,1474,34,11,701,6086,249,32,62,706,81984,154,3,10,22,330,107,248,131,5536,19,86,0,4378,0,14,2971,72,25,767,2663,226,105860,546,1,13,3,0,0,3,2,5,3,8,1,0,66164,23,11555,926,233,135,0,25,11,9955,1,3,337,4,190,0,576,7965,1,389,312,0,0,12,4168,193,147,9,0,62462,4,0,0,809,182212,109,28,10986,351,41,4,52,8,62,22,12,0,0,1,10,1,2,0,0,6,15,0,0,11,18,25,4842,191,2542,328,76,1,1,0,5,104,309,4,2,3,712,9,13,26,46,1,155,4,0,945,11,1,10,10,1,1,77,14,345,2,0,58,8,6,5,3,558,59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,15,1,0,19,0,0
0,0,141,46,0,0,1,0,0,2,14,0,0,64,0,0,6097,0,3,0,0,12,0,0,5,0,0,0,0,6,0,1,1,0,0,0,176,4,0,0,0,1,0,0,354,22,27,1,0,0,77,0,2,5,7395,0,195,0,0,4,1,0,24,0,40,0,0,3,0,0,14,0,0,0,0,0,0,4,0,0,0,0,4690,0,8,0,0,3,0,4,2,0,24,19,0,3,0,4,50,31404,44789,7335,33,63434,11,48,8390,554,19,4707,3282,5679,160,4882,31350,420,19377,466,36715,115,3955,4706,55,10107,159,28,534,57,893,205258,18,28648,53,23,0,20440,13349,27871,1372,47,598,195,1064,18921,9889,59245,33,1940,2742,88,351,239,20,15265,5,9,6295,2035,21484,461,9322,26910,3198,8,98735,1,0,0,0,0,0,0,2,1,3,2,20,92,17,2,10,20,3,0,5,0,129,29,51,211,0,0,0,1,0,5,0,2,41,5,4,14,0,1,5,0,10,0,0,0,14,3,0,4,0,0,447,73,86,0,2,5,537,0,39,0,32,62,54,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,8,1,0,13,0,0
238,20,619,453,3355,247,4,171,468,6,1056,52,301,19340,1162,6944,11677,359,27321,4479,2,21445,19295,0,169,1,1,17,199,3017,33,278,341,915,6658,7,621,1492,0,55,248,908,149,0,1081,10879,6911,0,121,502,4210,114,9,512,64325,621,2222,7,20,63,3960,406,626,142,28,471,207,20,353,231,202,224,3,9,1,137,1,10219,6,676,183,16,2947,1,1506,535,32,12,15,5950,3892,1245,832,191,1547,345,64,196,618,74439,28242,16691,435,55208,16,81,76,20970,180,8059,39750,1088,3155,1980,8267,2186,23250,4689,2054,87,413,34943,107,6376,5144,721,22241,95,1661,11523,17,10008,1650,75,139,32326,33711,68081,21301,83,303,6987,22936,1293,38204,47702,84,134,1175,830,524,230,72,12886,577,8,10532,1069,53209,157,15936,59716,581,15,63139,5,1,0,0,1,0,0,2,1,0,34,0,261,13,1,60,1,0,0,6,2,2862,81,179,177,7,0,4,0,0,0,0,9,5,1,32,2,4,0,84,0,1,59,9,0,10,0,1,4,5,3,63,0,2,1,0,37,56,4,27,0,2,35,12,0,0,0,0,1,33,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,58,0,0,13,0,0,15,0,0
0,1,746,456,0,0,63,1,2,1,12,8,1,214,14,55,130198,2,24,0,0,21,22,10925,888,25,20,4,2,815,6,1,43,0,2,2009,861,20759,1,0,1,58,0,62,22,4,13,0,3167,1774,106,5,0,26,278076,254,29,1,0,7,39,5,17,31,31711,5,15256,2985,1197,2975,3670,18,1,5,8,9,12,759,207,2,0,26849,42930,134,18,1,0,59,0,1710,8,38,13,10,299,519,0,0,3109,1204,5876,75,83,80394,1183,75,4,8512,10,2524,10124,5978,1253,11656,64,30,18,18,1443,26,1024,4532,28,733,7,311,1400,112,12037,4148,19,13042,21,31,0,617,2647,45516,2470,2,7,135,96,4170,546,50169,109,10285,21315,5,20,46,5,5487,79,12,638,28,4455,386,3001,47137,2,207,85318,1,0,1,3,0,0,1,1,18,1,5,26,61,0,2,8,3,0,2,21,0,670,482,3436,509,0,0,8,2,0,0,7,2,13,3,2,8,1,5,31,3,6,2,0,147,12,1,5,1,0,0,380,398,0,0,2,1,1,0,37,46,0,15,83,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0
