,homones,awayones,hometwos,awaytwos,homethrees,awaythrees,hometeam,awayteam
0,22,24,34,27,12,13,3,23
1,17,19,29,30,16,10,10,14
2,19,14,26,31,14,11,9,22
3,14,19,24,31,15,11,12,30
4,20,14,38,33,7,9,1,11
5,18,18,30,38,10,12,2,19
6,22,21,25,28,12,13,16,5
7,23,19,23,28,13,10,28,6
8,14,15,25,35,17,9,15,20
9,27,18,29,24,10,14,18,21
10,15,20,33,35,7,13,27,4
11,23,17,26,35,16,5,29,8
12,19,21,32,21,8,14,24,7
13,13,26,22,28,17,11,26,25
14,11,9,31,21,5,13,23,17
15,22,20,24,28,9,9,14,13
16,11,32,31,34,13,8,4,19
17,21,32,40,27,11,17,12,27
18,10,27,31,26,10,7,30,5
19,15,24,27,25,13,8,1,22
20,20,12,25,30,13,11,2,28
21,12,15,34,27,8,14,16,3
22,14,19,34,30,16,9,20,9
23,18,20,28,26,16,19,11,15
24,17,14,38,29,11,20,18,29
25,24,21,27,31,15,15,10,8
26,31,15,26,33,10,10,25,24
27,21,12,27,27,10,16,23,27
28,18,23,29,19,16,18,12,9
29,15,23,30,23,15,19,22,3
30,25,21,27,23,11,14,16,28
31,21,16,27,32,7,16,5,6
32,13,17,32,20,16,16,17,11
33,30,19,28,25,17,9,7,15
34,18,18,22,27,20,15,8,21
35,15,20,26,32,14,9,26,13
36,16,22,35,27,6,10,14,25
37,23,21,31,36,8,11,1,4
38,22,9,28,31,13,12,6,30
39,17,23,40,30,8,13,19,29
40,15,14,32,36,9,10,21,18
41,26,20,31,36,14,11,10,26
42,14,11,27,28,9,15,13,24
43,25,18,19,26,19,12,23,12
44,24,16,21,20,8,14,16,28
45,18,23,32,29,11,7,20,22
46,26,10,32,19,10,18,5,3
47,27,9,27,33,11,11,11,29
48,24,21,31,38,16,9,15,2
49,22,7,30,36,8,12,18,27
50,23,8,32,33,16,12,25,8
51,22,19,34,28,10,8,30,9
52,13,17,32,29,12,12,19,7
53,20,14,38,25,4,10,21,13
54,28,13,35,31,12,10,24,10
55,21,16,26,29,10,6,6,22
56,15,20,28,37,14,8,9,1
57,19,20,41,36,11,13,20,4
58,11,13,30,24,16,16,28,23
59,22,24,29,27,10,7,17,2
60,22,19,27,21,16,16,5,12
61,10,20,32,27,20,16,18,27
62,20,18,25,25,13,11,29,11
63,17,11,33,32,9,8,8,14
64,18,16,22,29,12,15,25,16
65,27,27,31,21,12,20,2,7
66,7,13,30,35,17,9,21,13
67,13,18,28,25,18,14,10,16
68,18,13,28,35,12,14,26,15
69,31,14,30,43,7,12,9,1
70,19,16,32,22,10,11,22,4
71,26,26,29,29,13,16,3,6
72,15,10,24,27,9,16,28,23
73,23,30,29,26,12,15,30,12
74,22,22,29,25,13,12,17,20
75,16,19,28,28,13,9,18,14
76,21,21,30,38,16,9,27,5
77,22,15,22,28,17,10,8,29
78,18,20,38,23,10,15,24,19
79,16,17,35,26,13,14,25,11
80,21,26,28,27,14,11,26,16
81,24,12,33,31,10,13,4,10
82,20,22,27,17,14,23,2,12
83,26,22,25,25,11,14,5,23
84,19,12,31,32,14,13,17,1
85,27,24,30,39,8,5,7,21
86,15,11,26,38,19,12,29,15
87,8,5,25,31,11,15,13,19
88,19,11,15,31,21,7,3,30
89,16,8,18,35,23,10,6,20
90,34,24,26,27,14,12,9,10
91,19,14,20,36,16,4,27,18
92,21,20,30,26,11,11,7,22
93,22,22,33,27,12,11,24,11
94,16,13,33,26,13,15,14,8
95,8,24,29,20,14,17,4,26
96,25,14,28,34,10,12,30,23
97,19,16,32,30,11,11,2,12
98,33,20,32,28,14,11,28,1
99,23,18,27,33,11,8,17,9
100,18,23,23,32,19,6,29,15
101,12,17,28,26,9,8,13,11
102,15,18,24,27,12,12,2,5
103,20,13,24,21,16,18,16,10
104,16,20,35,29,10,10,21,22
105,17,20,24,24,17,13,24,18
106,19,26,31,27,11,11,6,3
107,14,26,20,40,19,5,23,30
108,11,12,33,28,11,13,16,26
109,15,12,27,32,10,12,20,1
110,16,9,24,29,14,7,5,4
111,16,15,26,29,11,12,11,13
112,20,14,33,22,10,11,17,9
113,12,15,23,43,14,14,27,28
114,8,12,31,29,11,10,7,29
115,21,22,23,25,13,13,25,15
116,20,15,35,39,10,8,14,19
117,33,10,29,31,13,19,22,10
118,14,14,39,27,6,18,21,8
119,13,13,18,33,13,11,9,6
120,15,26,25,20,12,11,12,16
