,home,away,hometeam,awayteam
0,46,40,3,23
1,45,40,10,14
2,40,42,9,22
3,39,42,12,30
4,45,42,1,11
5,40,50,2,19
6,37,41,16,5
7,36,38,28,6
8,42,44,15,20
9,39,38,18,21
10,40,48,27,4
11,42,40,29,8
12,40,35,24,7
13,39,39,26,25
14,36,34,23,17
15,33,37,14,13
16,44,42,4,19
17,51,44,12,27
18,41,33,30,5
19,40,33,1,22
20,38,41,2,28
21,42,41,16,3
22,50,39,20,9
23,44,45,11,15
24,49,49,18,29
25,42,46,10,8
26,36,43,25,24
27,37,43,23,27
28,45,37,12,9
29,45,42,22,3
30,38,37,16,28
31,34,48,5,6
32,48,36,17,11
33,45,34,7,15
34,42,42,8,21
35,40,41,26,13
36,41,37,14,25
37,39,47,1,4
38,41,43,6,30
39,48,43,19,29
40,41,46,21,18
41,45,47,10,26
42,36,43,13,24
43,38,38,23,12
44,29,34,16,28
45,43,36,20,22
46,42,37,5,3
47,38,44,11,29
48,47,47,15,2
49,38,48,18,27
50,48,45,25,8
51,44,36,30,9
52,44,41,19,7
53,42,35,21,13
54,47,41,24,10
55,36,35,6,22
56,42,45,9,1
57,52,49,20,4
58,46,40,28,23
59,39,34,17,2
60,43,37,5,12
61,52,43,18,27
62,38,36,29,11
63,42,40,8,14
64,34,44,25,16
65,43,41,2,7
66,47,44,21,13
67,46,39,10,16
68,40,49,26,15
69,37,55,9,1
70,42,33,22,4
71,42,45,3,6
72,33,43,28,23
73,41,41,30,12
74,42,37,17,20
75,41,37,18,14
76,46,47,27,5
77,39,38,8,29
78,48,38,24,19
79,48,40,25,11
80,42,38,26,16
81,43,44,4,10
82,41,40,2,12
83,36,39,5,23
84,45,45,17,1
85,38,44,7,21
86,45,50,29,15
87,36,46,13,19
88,36,38,3,30
89,41,45,6,20
90,40,39,9,10
91,36,40,27,18
92,41,37,7,22
93,45,38,24,11
94,46,41,14,8
95,43,37,4,26
96,38,46,30,23
97,43,41,2,12
98,46,39,28,1
99,38,41,17,9
100,42,38,29,15
101,37,34,13,11
102,36,39,2,5
103,40,39,16,10
104,45,39,21,22
105,41,37,24,18
106,42,38,6,3
107,39,45,23,30
108,44,41,16,26
109,37,44,20,1
110,38,36,5,4
111,37,41,11,13
112,43,33,17,9
113,37,57,27,28
114,42,39,7,29
115,36,38,25,15
116,45,47,14,19
117,42,50,22,10
118,45,45,21,8
119,31,44,9,6
120,37,31,12,16
121,37,37,23,20
122,30,50,30,2
123,41,43,3,5
124,50,33,15,4
125,42,42,27,13
126,39,39,7,28
127,41,35,19,10
128,39,41,18,17
129,36,43,24,25
130,40,52,14,29
131,50,47,22,26
132,32,33,4,2
133,47,47,1,19
134,46,47,20,3
135,38,36,17,21
136,49,40,18,11
137,53,39,8,27
138,35,30,24,25
139,40,37,14,6
140,44,40,28,5
141,39,41,15,30
142,43,35,13,29
143,42,42,4,30
144,45,46,22,11
145,39,41,9,21
146,43,48,12,19
147,31,32,23,24
148,46,36,1,17
149,40,38,16,25
150,42,36,5,28
151,41,38,15,3
152,38,39,18,20
153,43,47,27,8
154,32,35,7,2
155,44,37,10,26
156,53,40,29,14
157,40,43,13,6
158,34,40,4,25
159,45,43,12,8
160,36,32,22,7
161,51,44,1,29
162,47,37,3,9
163,42,28,2,20
164,42,37,28,11
165,44,42,5,19
166,41,47,18,24
167,50,50,21,17
168,47,50,27,15
169,41,40,13,14
170,40,46,26,6
171,41,37,30,7
172,39,32,1,23
173,39,43,16,4
174,33,37,19,25
175,50,42,3,8
176,43,38,22,24
177,42,37,20,9
178,52,38,21,28
179,43,32,27,17
180,44,37,15,18
181,40,37,10,6
182,42,45,14,26
183,34,40,13,2
184,44,44,30,29
185,37,39,9,3
186,41,37,12,28
187,44,40,23,1
188,49,46,16,4
189,41,36,7,25
190,42,40,19,11
191,48,55,20,21
192,40,46,6,18
193,36,38,30,15
194,40,37,23,29
195,40,48,5,8
196,47,42,26,10
197,44,36,14,2
198,35,40,9,28
199,36,42,22,4
200,46,47,3,21
201,38,48,16,24
202,39,41,11,13
203,34,44,17,1
204,47,36,10,27
205,43,38,19,15
206,35,34,7,13
207,36,44,29,20
208,41,44,25,27
209,56,40,26,2
210,43,44,4,12
211,42,46,22,18
212,44,44,30,21
213,42,48,1,3
214,44,36,28,16
215,41,36,17,6
216,43,44,19,5
217,31,35,7,11
218,36,37,8,20
219,44,42,24,10
220,36,40,25,2
221,48,46,26,27
222,33,33,13,9
223,41,35,30,16
224,49,44,6,4
225,40,41,23,17
226,41,38,5,22
227,29,33,11,12
228,39,45,15,21
229,46,38,7,8
230,43,41,19,3
231,51,49,29,24
232,41,30,10,20
233,43,43,14,9
234,46,48,1,28
235,41,39,12,22
236,34,40,23,18
237,39,42,25,29
238,44,36,13,27
239,43,34,24,20
240,40,39,30,4
241,47,47,26,9
