,home,away,hometeam,awayteam
0,22,24,3,23
1,17,19,10,14
2,19,14,9,22
3,14,19,12,30
4,20,14,1,11
5,18,18,2,19
6,22,21,16,5
7,23,19,28,6
8,14,15,15,20
9,27,18,18,21
10,15,20,27,4
11,23,17,29,8
12,19,21,24,7
13,13,26,26,25
14,11,9,23,17
15,22,20,14,13
16,11,32,4,19
17,21,32,12,27
18,10,27,30,5
19,15,24,1,22
20,20,12,2,28
21,12,15,16,3
22,14,19,20,9
23,18,20,11,15
24,17,14,18,29
25,24,21,10,8
26,31,15,25,24
27,21,12,23,27
28,18,23,12,9
29,15,23,22,3
30,25,21,16,28
31,21,16,5,6
32,13,17,17,11
33,30,19,7,15
34,18,18,8,21
35,15,20,26,13
36,16,22,14,25
37,23,21,1,4
38,22,9,6,30
39,17,23,19,29
40,15,14,21,18
41,26,20,10,26
42,14,11,13,24
43,25,18,23,12
44,24,16,16,28
45,18,23,20,22
46,26,10,5,3
47,27,9,11,29
48,24,21,15,2
49,22,7,18,27
50,23,8,25,8
51,22,19,30,9
52,13,17,19,7
53,20,14,21,13
54,28,13,24,10
55,21,16,6,22
56,15,20,9,1
57,19,20,20,4
58,11,13,28,23
59,22,24,17,2
60,22,19,5,12
61,10,20,18,27
62,20,18,29,11
63,17,11,8,14
64,18,16,25,16
65,27,27,2,7
66,7,13,21,13
67,13,18,10,16
68,18,13,26,15
69,31,14,9,1
70,19,16,22,4
71,26,26,3,6
72,15,10,28,23
73,23,30,30,12
74,22,22,17,20
75,16,19,18,14
76,21,21,27,5
77,22,15,8,29
78,18,20,24,19
79,16,17,25,11
80,21,26,26,16
81,24,12,4,10
82,20,22,2,12
83,26,22,5,23
84,19,12,17,1
85,27,24,7,21
86,15,11,29,15
87,8,5,13,19
88,19,11,3,30
89,16,8,6,20
90,34,24,9,10
91,19,14,27,18
92,21,20,7,22
93,22,22,24,11
94,16,13,14,8
95,8,24,4,26
96,25,14,30,23
97,19,16,2,12
98,33,20,28,1
99,23,18,17,9
100,18,23,29,15
101,12,17,13,11
102,15,18,2,5
103,20,13,16,10
104,16,20,21,22
105,17,20,24,18
106,19,26,6,3
107,14,26,23,30
108,11,12,16,26
109,15,12,20,1
110,16,9,5,4
111,16,15,11,13
112,20,14,17,9
113,12,15,27,28
114,8,12,7,29
115,21,22,25,15
116,20,15,14,19
117,33,10,22,10
118,14,14,21,8
119,13,13,9,6
120,15,26,12,16
121,17,23,23,20
122,18,14,30,2
123,32,22,3,5
124,14,25,15,4
125,10,14,27,13
126,21,21,7,28
127,20,23,19,10
128,13,16,18,17
129,20,12,24,25
130,25,9,14,29
131,19,17,22,26
132,16,20,4,2
133,21,20,1,19
134,15,12,20,3
135,15,10,17,21
136,16,21,18,11
137,5,11,8,27
138,21,15,24,25
139,12,32,14,6
140,15,11,28,5
141,16,7,15,30
142,8,25,13,29
143,11,19,4,30
144,25,18,22,11
145,25,11,9,21
146,21,12,12,19
147,26,18,23,24
148,14,13,1,17
149,13,18,16,25
150,18,16,5,28
151,9,21,15,3
152,20,23,18,20
153,11,13,27,8
154,20,14,7,2
155,14,25,10,26
156,17,27,29,14
157,22,15,13,6
158,17,14,4,25
159,15,24,12,8
160,14,12,22,7
161,9,20,1,29
162,16,31,3,9
163,14,17,2,20
164,17,26,28,11
165,16,28,5,19
166,26,19,18,24
167,14,19,21,17
168,16,10,27,15
169,20,11,13,14
170,30,17,26,6
171,19,13,30,7
172,20,25,1,23
173,29,12,16,4
174,19,20,19,25
175,15,16,3,8
176,13,8,22,24
177,27,31,20,9
178,13,26,21,28
179,13,17,27,17
180,19,19,15,18
181,11,19,10,6
182,20,18,14,26
183,16,14,13,2
184,17,10,30,29
185,18,21,9,3
186,17,23,12,28
187,25,23,23,1
188,18,14,16,4
189,21,27,7,25
190,27,14,19,11
191,29,18,20,21
192,27,25,6,18
193,11,7,30,15
194,21,13,23,29
195,17,17,5,8
196,12,15,26,10
197,17,24,14,2
198,31,27,9,28
199,19,21,22,4
200,24,17,3,21
201,22,2,16,24
202,19,26,11,13
203,32,26,17,1
204,15,13,10,27
205,9,17,19,15
206,16,21,7,13
207,25,19,29,20
208,20,13,25,27
209,21,30,26,2
210,15,26,4,12
211,15,22,22,18
212,15,17,30,21
213,10,9,1,3
214,17,19,28,16
215,15,14,17,6
216,21,11,19,5
217,18,21,7,11
218,17,24,8,20
219,21,17,24,10
220,22,18,25,2
221,22,9,26,27
222,19,19,13,9
223,10,25,30,16
224,26,20,6,4
225,17,8,23,17
226,20,20,5,22
227,27,21,11,12
228,29,9,15,21
229,22,13,7,8
230,10,15,19,3
231,16,26,29,24
232,11,32,10,20
233,35,24,14,9
234,25,18,1,28
235,14,19,12,22
236,27,20,23,18
237,22,20,25,29
238,10,18,13,27
239,13,20,24,20
240,13,16,30,4
241,31,20,26,9
242,11,17,2,15
243,12,19,6,16
244,23,11,11,10
245,12,15,7,8
246,21,3,14,27
247,20,15,6,1
248,24,19,12,22
249,15,12,5,3
250,16,15,17,25
251,17,20,18,16
252,15,17,19,10
253,25,16,21,20
254,18,22,13,29
255,13,9,23,2
256,19,20,15,26
257,17,12,8,9
258,3,29,24,14
259,13,16,4,23
260,20,13,6,25
261,11,13,12,18
262,22,15,1,26
263,18,13,3,7
264,19,11,16,30
265,19,5,28,2
266,19,14,17,5
267,24,33,21,8
268,18,21,27,19
269,16,25,29,9
270,9,18,10,13
271,22,17,4,18
272,22,15,22,23
273,24,38,20,25
274,24,23,3,26
275,30,8,12,2
276,19,16,16,30
277,34,29,11,1
278,20,27,15,19
279,18,22,17,6
280,28,19,21,5
281,12,17,27,14
282,17,15,24,9
283,5,15,10,29
284,19,16,13,8
285,21,19,28,7
286,10,19,11,21
287,14,32,27,14
288,23,19,24,29
289,14,15,2,25
290,22,17,18,10
291,24,19,13,12
292,18,17,1,16
293,26,26,3,30
294,14,28,9,6
295,25,23,20,15
296,19,22,22,23
297,11,16,17,7
298,16,15,23,1
299,23,36,30,18
300,6,10,3,4
301,12,13,2,22
302,14,13,28,6
303,18,21,19,21
304,17,19,8,11
305,6,22,29,5
306,16,12,26,24
307,24,13,14,12
308,13,16,9,20
309,17,18,7,10
310,11,23,25,13
311,8,15,6,23
312,22,15,22,1
313,20,9,3,16
314,24,23,2,30
315,13,21,20,17
316,15,18,18,15
317,22,13,19,28
318,14,19,21,27
319,15,14,8,11
320,19,27,24,5
321,21,28,29,13
322,25,22,26,12
323,18,17,14,25
324,14,14,9,7
325,25,26,4,30
326,9,7,1,8
327,21,13,3,16
328,15,22,2,28
329,9,8,6,22
330,12,18,17,14
331,22,15,15,23
332,12,25,27,19
333,14,34,24,11
334,32,27,29,12
335,15,16,10,5
336,20,11,20,7
337,21,20,13,26
338,23,15,4,17
339,18,21,28,22
340,24,28,18,21
341,5,18,10,11
342,22,24,29,25
343,28,16,19,8
344,13,16,27,24
345,15,18,2,3
346,25,21,9,15
347,17,15,20,6
348,11,16,30,14
349,17,16,26,5
350,15,10,25,12
351,11,14,4,13
352,26,20,22,17
353,13,23,1,21
354,22,15,28,3
355,34,28,11,23
356,9,17,15,16
357,22,18,7,24
358,15,11,10,12
359,13,20,6,14
360,20,11,16,9
361,22,27,8,7
362,28,18,22,13
363,12,12,2,4
364,22,19,20,1
365,20,32,28,14
366,15,20,5,30
367,13,20,15,21
368,20,15,17,26
369,25,18,18,12
370,18,13,19,9
371,17,19,29,10
372,16,11,24,3
373,11,19,16,13
374,13,11,27,11
375,16,15,25,8
376,22,26,4,20
377,17,19,12,30
378,19,27,22,28
379,17,14,2,1
380,17,20,6,26
381,19,23,23,14
382,17,20,15,9
383,28,9,19,24
384,17,20,29,18
385,10,19,7,17
386,20,24,16,27
387,18,23,12,2
388,17,15,30,13
389,18,16,6,21
390,17,22,5,7
391,16,19,10,3
392,13,17,8,29
393,25,18,25,18
394,21,13,19,24
395,14,21,9,14
396,24,23,20,26
397,25,33,22,28
398,26,26,23,4
399,16,19,1,5
400,11,14,11,17
401,15,14,12,16
402,15,16,30,2
403,15,17,15,1
404,21,20,7,21
405,11,16,27,6
406,16,10,25,18
407,15,18,13,3
408,21,17,23,26
409,26,15,17,10
410,31,18,11,24
411,8,22,29,19
412,22,11,14,3
413,23,27,4,9
414,21,25,12,10
415,25,24,22,1
416,23,17,28,26
417,19,20,5,20
418,17,12,21,16
419,11,12,27,25
420,19,15,7,6
421,29,13,8,30
422,17,22,13,18
423,11,17,11,16
424,18,18,15,17
425,30,23,29,19
426,15,14,13,24
427,13,28,4,1
428,25,24,9,26
429,28,24,3,22
430,28,17,6,12
431,25,11,23,10
432,25,18,28,2
433,7,23,5,20
434,17,14,21,18
435,22,19,7,25
436,18,21,14,8
437,16,12,13,30
438,25,16,27,16
439,13,12,6,7
