,home,away,hometeam,awayteam
0,126,117,3,23
1,123,109,10,14
2,113,109,9,22
3,107,114,12,30
4,117,107,1,11
5,108,130,2,19
6,108,116,16,5
7,108,105,28,6
8,115,112,15,20
9,115,108,18,21
10,102,129,27,4
11,123,102,29,8
12,107,105,24,7
13,108,115,26,25
14,88,90,23,17
15,97,103,14,13
16,112,124,4,19
17,134,137,12,27
18,102,100,30,5
19,108,98,1,22
20,109,105,2,28
21,104,111,16,3
22,130,106,20,9
23,122,129,11,15
24,126,132,18,29
25,123,128,10,8
26,113,111,25,24
27,105,114,23,27
28,124,115,12,9
29,120,126,22,3
30,112,109,16,28
31,96,128,5,6
32,125,105,17,11
33,137,96,7,15
34,122,117,8,21
35,109,111,26,13
36,104,106,14,25
37,109,126,1,4
38,117,107,6,30
39,121,122,19,29
40,106,116,21,18
41,130,125,10,26
42,95,112,13,24
43,120,106,23,12
44,90,98,16,28
45,115,102,20,22
46,120,102,5,3
47,114,108,11,29
48,134,124,15,2
49,106,115,18,27
50,135,110,25,8
51,120,99,30,9
52,113,111,19,7
53,108,94,21,13
54,134,105,24,10
55,103,92,6,22
56,113,118,9,1
57,134,131,20,4
58,119,109,28,23
59,110,99,17,2
60,124,109,5,12
61,134,122,18,27
62,109,101,29,11
63,110,99,8,14
64,98,119,25,16
65,125,129,2,7
66,118,110,21,13
67,123,110,10,16
68,110,125,26,15
69,112,136,9,1
70,113,93,22,4
71,123,132,3,6
72,90,112,28,23
73,117,127,30,12
74,119,108,17,20
75,111,102,18,14
76,129,124,27,5
77,117,101,8,29
78,124,111,24,19
79,125,111,25,11
80,119,113,26,16
81,120,113,4,10
82,116,125,2,12
83,109,114,5,23
84,123,115,17,1
85,111,117,7,21
86,124,123,29,15
87,91,112,13,19
88,112,94,3,30
89,121,108,6,20
90,128,114,9,10
91,107,98,27,18
92,114,105,7,22
93,124,109,24,11
94,121,110,14,8
95,108,115,4,26
96,111,118,30,23
97,116,109,2,12
98,139,109,28,1
99,110,108,17,9
100,121,105,29,15
101,95,93,13,11
102,99,108,2,5
103,116,109,16,10
104,116,108,21,22
105,116,107,24,18
106,114,113,6,3
107,111,121,23,30
108,110,107,16,26
109,99,112,20,1
110,106,88,5,4
111,101,109,11,13
112,116,91,17,9
113,100,143,27,28
114,103,100,7,29
115,106,111,25,15
116,120,117,14,19
117,130,129,22,10
118,110,122,21,8
119,88,112,9,6
120,101,99,12,16
121,104,106,23,20
122,86,128,30,2
123,123,119,3,5
124,130,99,15,4
125,106,113,27,13
126,111,110,7,28
127,114,105,19,10
128,102,115,18,17
129,106,108,24,25
130,116,130,14,29
131,123,126,22,26
132,94,98,4,2
133,124,121,1,19
134,118,133,20,3
135,108,94,17,21
136,129,117,18,11
137,126,101,8,27
138,102,82,24,25
139,100,114,14,6
140,113,104,28,5
141,103,97,15,30
142,102,110,13,29
143,100,108,4,30
144,127,134,22,11
145,112,103,9,21
146,129,122,12,19
147,100,88,23,24
148,117,98,1,17
149,107,110,16,25
150,111,97,5,28
151,106,109,15,3
152,107,120,18,20
153,109,115,27,8
154,96,94,7,2
155,116,113,10,26
156,139,116,29,14
157,119,117,13,6
158,95,105,4,25
159,119,122,12,8
160,94,87,22,7
161,119,125,1,29
162,128,112,3,9
163,112,85,2,20
164,116,109,28,11
165,111,115,5,19
166,117,129,18,24
167,132,136,21,17
168,122,124,27,15
169,114,101,13,14
170,127,120,26,6
171,113,105,30,7
172,104,95,1,23
173,117,112,16,4
174,95,106,19,25
175,131,112,3,8
176,114,97,22,24
177,121,112,20,9
178,132,113,21,28
179,111,93,27,17
180,114,103,15,18
181,106,101,10,6
182,114,120,14,26
183,95,110,13,2
184,121,112,30,29
185,108,117,9,3
186,118,104,12,28
187,121,109,23,1
188,132,115,16,4
189,117,112,7,25
190,119,106,19,11
191,135,145,20,21
192,124,129,6,18
193,102,92,30,15
194,105,98,23,29
195,103,126,5,8
196,122,115,26,10
197,116,103,14,2
198,111,115,9,28
199,105,112,22,4
200,126,122,3,21
201,113,112,16,24
202,106,122,11,13
203,106,121,17,1
204,132,95,10,27
205,113,102,19,15
206,103,101,7,13
207,111,118,29,20
208,117,110,25,27
209,153,121,26,2
210,113,125,4,12
211,108,126,22,18
212,120,121,30,21
213,101,126,1,3
214,112,104,28,16
215,113,98,17,6
216,124,110,19,5
217,92,101,7,11
218,103,106,8,20
219,130,119,24,10
220,107,109,25,2
221,130,112,26,27
222,96,91,13,9
223,107,106,30,16
224,132,122,6,4
225,110,102,23,17
226,107,108,5,22
227,91,99,11,12
228,121,110,15,21
229,127,99,7,8
230,109,117,19,3
231,134,133,29,24
232,111,101,10,20
233,128,121,14,9
234,124,122,1,28
235,114,113,12,22
236,109,112,23,18
237,113,118,25,29
238,119,97,13,27
239,116,95,24,20
240,106,102,30,4
241,137,129,26,9
242,127,115,2,15
243,113,87,6,16
244,120,127,11,10
245,97,98,7,8
246,123,92,14,27
247,114,102,6,1
248,123,102,12,22
249,121,107,5,3
250,119,111,17,25
251,105,101,18,16
252,128,83,19,10
253,119,129,21,20
254,121,114,13,29
255,115,106,23,2
256,109,113,15,26
257,108,110,8,9
258,115,105,24,14
259,107,101,4,23
260,114,96,6,25
261,101,115,12,18
262,115,106,1,26
263,125,112,3,7
264,113,105,16,30
265,98,112,28,2
266,113,118,17,5
267,126,131,21,8
268,110,129,27,19
269,116,125,29,9
270,124,107,10,13
271,110,108,4,18
272,99,107,22,23
273,129,132,20,25
274,122,104,3,26
275,128,117,12,2
276,110,107,16,30
277,128,122,11,1
278,132,111,15,19
279,117,102,17,6
280,123,119,21,5
281,94,105,27,14
282,108,102,24,9
283,129,118,10,29
284,104,114,13,8
285,105,100,28,7
286,118,105,11,21
287,138,143,27,14
288,113,112,24,29
289,111,97,2,25
290,114,137,18,10
291,114,100,13,12
292,98,106,1,16
293,130,121,3,30
294,94,102,9,6
295,123,127,20,15
296,103,133,22,23
297,124,115,17,7
298,104,101,23,1
299,142,127,30,18
300,140,105,3,4
301,109,102,2,22
302,100,88,28,6
303,105,101,19,21
304,129,113,8,11
305,107,114,29,5
306,117,122,26,24
307,115,116,14,12
308,110,140,9,20
309,116,113,7,10
310,112,118,25,13
311,113,85,6,23
312,108,125,22,1
313,134,121,3,16
314,113,107,2,30
315,103,109,20,17
316,109,101,18,15
317,126,108,19,28
318,119,111,21,27
