,home,away,hometeam,awayteam
0,12,13,3,23
1,16,10,10,14
2,14,11,9,22
3,15,11,12,30
4,7,9,1,11
5,10,12,2,19
6,12,13,16,5
7,13,10,28,6
8,17,9,15,20
9,10,14,18,21
10,7,13,27,4
11,16,5,29,8
12,8,14,24,7
13,17,11,26,25
14,5,13,23,17
15,9,9,14,13
16,13,8,4,19
17,11,17,12,27
18,10,7,30,5
19,13,8,1,22
20,13,11,2,28
21,8,14,16,3
22,16,9,20,9
23,16,19,11,15
24,11,20,18,29
25,15,15,10,8
26,10,10,25,24
27,10,16,23,27
28,16,18,12,9
29,15,19,22,3
30,11,14,16,28
31,7,16,5,6
32,16,16,17,11
33,17,9,7,15
34,20,15,8,21
35,14,9,26,13
36,6,10,14,25
37,8,11,1,4
38,13,12,6,30
39,8,13,19,29
40,9,10,21,18
41,14,11,10,26
42,9,15,13,24
43,19,12,23,12
44,8,14,16,28
45,11,7,20,22
46,10,18,5,3
47,11,11,11,29
48,16,9,15,2
49,8,12,18,27
50,16,12,25,8
51,10,8,30,9
52,12,12,19,7
53,4,10,21,13
54,12,10,24,10
55,10,6,6,22
56,14,8,9,1
57,11,13,20,4
58,16,16,28,23
59,10,7,17,2
60,16,16,5,12
61,20,16,18,27
62,13,11,29,11
63,9,8,8,14
64,12,15,25,16
65,12,20,2,7
66,17,9,21,13
67,18,14,10,16
68,12,14,26,15
69,7,12,9,1
70,10,11,22,4
71,13,16,3,6
72,9,16,28,23
73,12,15,30,12
74,13,12,17,20
75,13,9,18,14
76,16,9,27,5
77,17,10,8,29
78,10,15,24,19
79,13,14,25,11
80,14,11,26,16
81,10,13,4,10
82,14,23,2,12
83,11,14,5,23
84,14,13,17,1
85,8,5,7,21
86,19,12,29,15
87,11,15,13,19
88,21,7,3,30
89,23,10,6,20
90,14,12,9,10
91,16,4,27,18
92,11,11,7,22
93,12,11,24,11
94,13,15,14,8
95,14,17,4,26
96,10,12,30,23
97,11,11,2,12
98,14,11,28,1
99,11,8,17,9
100,19,6,29,15
101,9,8,13,11
102,12,12,2,5
103,16,18,16,10
104,10,10,21,22
105,17,13,24,18
106,11,11,6,3
107,19,5,23,30
108,11,13,16,26
109,10,12,20,1
110,14,7,5,4
111,11,12,11,13
112,10,11,17,9
113,14,14,27,28
114,11,10,7,29
115,13,13,25,15
116,10,8,14,19
117,13,19,22,10
118,6,18,21,8
119,13,11,9,6
120,12,11,12,16
121,13,9,23,20
122,8,14,30,2
123,9,11,3,5
124,16,8,15,4
125,12,15,27,13
126,12,11,7,28
127,12,12,19,10
128,11,17,18,17
129,14,10,24,25
130,11,17,14,29
131,4,15,22,26
132,14,12,4,2
133,9,7,1,19
134,11,27,20,3
135,17,12,17,21
136,15,16,18,11
137,15,12,8,27
138,11,7,24,25
139,8,8,14,6
140,10,13,28,5
141,9,8,15,30
142,8,15,13,29
143,5,5,4,30
144,12,24,22,11
145,9,10,9,21
146,22,14,12,19
147,12,6,23,24
148,11,13,1,17
149,14,16,16,25
