,home,away,hometeam,awayteam
0,34,27,3,23
1,29,30,10,14
2,26,31,9,22
3,24,31,12,30
4,38,33,1,11
5,30,38,2,19
6,25,28,16,5
7,23,28,28,6
8,25,35,15,20
9,29,24,18,21
10,33,35,27,4
11,26,35,29,8
12,32,21,24,7
13,22,28,26,25
14,31,21,23,17
15,24,28,14,13
16,31,34,4,19
17,40,27,12,27
18,31,26,30,5
19,27,25,1,22
20,25,30,2,28
21,34,27,16,3
22,34,30,20,9
23,28,26,11,15
24,38,29,18,29
25,27,31,10,8
26,26,33,25,24
27,27,27,23,27
28,29,19,12,9
29,30,23,22,3
30,27,23,16,28
31,27,32,5,6
32,32,20,17,11
33,28,25,7,15
34,22,27,8,21
35,26,32,26,13
36,35,27,14,25
37,31,36,1,4
38,28,31,6,30
39,40,30,19,29
40,32,36,21,18
41,31,36,10,26
42,27,28,13,24
43,19,26,23,12
44,21,20,16,28
45,32,29,20,22
46,32,19,5,3
47,27,33,11,29
48,31,38,15,2
49,30,36,18,27
50,32,33,25,8
51,34,28,30,9
52,32,29,19,7
53,38,25,21,13
54,35,31,24,10
55,26,29,6,22
56,28,37,9,1
57,41,36,20,4
58,30,24,28,23
59,29,27,17,2
60,27,21,5,12
61,32,27,18,27
62,25,25,29,11
63,33,32,8,14
64,22,29,25,16
65,31,21,2,7
66,30,35,21,13
67,28,25,10,16
68,28,35,26,15
69,30,43,9,1
70,32,22,22,4
71,29,29,3,6
72,24,27,28,23
73,29,26,30,12
74,29,25,17,20
75,28,28,18,14
76,30,38,27,5
77,22,28,8,29
78,38,23,24,19
79,35,26,25,11
80,28,27,26,16
81,33,31,4,10
82,27,17,2,12
83,25,25,5,23
84,31,32,17,1
85,30,39,7,21
86,26,38,29,15
87,25,31,13,19
88,15,31,3,30
89,18,35,6,20
90,26,27,9,10
91,20,36,27,18
92,30,26,7,22
93,33,27,24,11
94,33,26,14,8
95,29,20,4,26
96,28,34,30,23
97,32,30,2,12
98,32,28,28,1
99,27,33,17,9
100,23,32,29,15
101,28,26,13,11
102,24,27,2,5
103,24,21,16,10
104,35,29,21,22
105,24,24,24,18
106,31,27,6,3
107,20,40,23,30
108,33,28,16,26
109,27,32,20,1
110,24,29,5,4
111,26,29,11,13
112,33,22,17,9
113,23,43,27,28
114,31,29,7,29
115,23,25,25,15
116,35,39,14,19
117,29,31,22,10
118,39,27,21,8
119,18,33,9,6
120,25,20,12,16
121,24,28,23,20
122,22,36,30,2
123,32,32,3,5
124,34,25,15,4
125,30,27,27,13
126,27,28,7,28
127,29,23,19,10
128,28,24,18,17
129,22,33,24,25
130,29,35,14,29
131,46,32,22,26
132,18,21,4,2
133,38,40,1,19
134,35,20,20,3
135,21,24,17,21
136,34,24,18,11
137,38,27,8,27
138,24,23,24,25
139,32,29,14,6
140,34,27,28,5
141,30,33,15,30
142,35,20,13,29
143,37,37,4,30
144,33,22,22,11
145,30,31,9,21
146,21,34,12,19
147,19,26,23,24
148,35,23,1,17
149,26,22,16,25
150,33,27,5,28
151,26,26,15,3
152,27,20,18,20
153,31,39,27,8
154,20,25,7,2
155,30,23,10,26
156,37,31,29,14
157,23,27,13,6
158,24,29,4,25
159,31,31,12,8
160,28,21,22,7
161,43,27,1,29
162,29,30,3,9
163,28,16,2,20
164,27,28,28,11
165,37,39,5,19
166,32,31,18,24
167,32,33,21,17
168,35,36,27,15
169,29,30,13,14
170,23,35,26,6
171,29,19,30,7
172,33,26,1,23
173,29,29,16,4
174,23,25,19,25
175,34,30,3,8
176,28,25,22,24
177,32,30,20,9
178,37,27,21,28
179,31,20,27,17
180,37,27,15,18
181,25,29,10,6
182,32,33,14,26
183,23,24,13,2
184,28,30,30,29
185,21,21,9,3
186,22,30,12,28
187,36,34,23,1
188,33,37,16,4
189,27,23,7,25
190,34,28,19,11
191,38,38,20,21
192,23,34,6,18
193,17,29,30,15
194,36,26,23,29
195,34,35,5,8
196,31,26,26,10
197,33,29,14,2
198,25,32,9,28
199,22,35,22,4
200,36,36,3,21
201,23,34,16,24
202,30,27,11,13
203,28,37,17,1
204,24,26,10,27
205,25,29,19,15
206,18,22,7,13
207,22,33,29,20
208,26,35,25,27
209,36,29,26,2
210,31,33,4,12
211,33,34,22,18
212,27,28,30,21
213,35,27,1,3
214,37,23,28,16
215,25,24,17,6
216,26,33,19,5
217,19,25,7,11
