x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299
0,0,0,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4
2,4011,9563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,6,6,8,8,8,9,9,10,10,10,10,11,11,11,11,12,12,12,13,14,13,13,13,16,16,17,17,18,18,18,18,18,19,19,18,21,26,26,26,27,29,32,32,33,33,38,40,38,39,40,40,39,39,39,40,40,48,54,52,52,54,55,55,55,57,57,57,58,58,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,58,58,58,59,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,62,62,62,62,64,66,70,68,72,72,71,82,82,84,100,100,102,102,103,101,101,101,102,104,104,104,106,106,107,109,116,116,117,120,122,127,128,129,129,132,142,146,154,171,174,181,187,194,208,215,218,224,228,239,248,265,277,286,293,294,297,304,309,312,320,326,331,338,341,342,347,354,354,354,359,364,365,372,376,379,382,387,392,400
3,5013,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,5,6,7,8,8,8,10,10,9,10,10,12,12,13,13,13,13,13,13,15,16,16,17,17,17,17,17,16,16,16,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,24,25,25,25,26,26,28,28,29,31,31,32,32,34,34,34,34,34,34,35,36,36,36,36,36,36,36,36,36,37,37,37,38,38,38,39,39,39,39,40,41,42,42,42,44,46,47,48,48,48,49,53,53,53,54,57,59,60,60,60,71,74,76,79,81,87,91,95,100,105,104,110,111,113,117,125,127,127,130,132,138,142,144,147,147,150,153,155,155,158,161,161,162,167,167,171,174,175,177,177,180,181,187,191,194,196,200,203,209,213,216,216,218,218,221,227,234
3,5117,8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,5,5,6,7,7,7,9,12,12,12,12,13,16,16,18,19,19,20,20,20,20,21,21,21,21,22,22,22,25,26,28,28,30,30,38,39,39,40,44,45,49,52,52,53,56,56,56,56,56,57,57,59,63,66,74,76,78,80,87,90,91,96,100,102,104,107,108,109,111,112,112,112,113,114,114,114,114,114,114,114,114,115,115,115,115,118,120,121,121,121,122,124,124,124,130,131,131,133,133,134,134,136,136,137,138,142,146,146,150,150,150,150,154,158,159,159,161,164,166,169,174,175,177,181,181,181,185,186,191,192,192,193,194,195,200,202,204,205,207,224,231,236,239,240,248,251,252,262,266,267,271,275,281,288,304,308,308,312,317,319,324,329,330,335,337,338,342,345,348,350,352,357,359,360,361,366,373,376,378,380,382,389,390,392,396,412,416,418,427,433,435,442,449,453,456,493,500,512,511,512,515,519,526,532,545
4,6055,138019,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,7,10,10,11,15,16,19,19,21,21,21,22,24,26,29,33,35,35,35,39,39,40,45,47,47,49,54,58,58,58,61,61,65,67,67,68,69,71,71,75,76,79,79,79,79,79,80,82,82,84,84,91,91,93,93,95,96,97,102,102,105,110,110,113,114,114,114,115,115,125,127,130,142,142,154,158,162,164,169,184,184,191,200,203,207,217,225,225,240,246,252,259,271,278,283,311,318,343,348,377,389,427,451,455,460,469,478,497,510,520,535,558,575,583,599,610,633,662,686,712,738,742,747,770,807,860,867,889,898,924,964,981,1008,1026,1047,1056,1063,1075,1130,1144,1171,1207,1231,1233,1246,1265,1283,1296,1308,1318,1329,1349,1366,1378,1394,1398,1404,1414,1432,1445,1453,1457,1467,1476,1485,1502,1515,1529,1533,1537,1544,1557,1564,1577,1581,1588,1593,1605,1615,1627,1642,1653,1654,1662,1670,1682,1691,1706,1728,1729,1730,1738,1753,1760,1761,1771,1778,1794,1796,1805,1818,1824,1833,1841,1852,1856,1867,1889,1909,1914,1924,1938,1943,1958,1963,1976,1993,2003,2022,2029,2041,2076,2109,2131,2150,2182,2190,2243,2300,2332,2342,2386,2433,2441,2474,2522,2554,2591,2624,2696,2719,2758,2788,2885,2932,2946,2989,2989,3034,3091,3096,3227,3299,3389,3433,3566,3651,3734,3814,3936,4014,4055,4114,4248,4384,4456,4545,4647,4689,4773,4866,4966,5092,5173,5266,5352,5428,5497,5616,5665,5742
7,10005,237378,0,0,0,0,0,0,1,3,3,7,8,12,20,23,26,33,38,59,66,81,88,101,105,117,125,151,159,210,279,294,336,404,464,551,639,678,698,811,886,886,1055,1139,1317,1377,1394,1490,1801,1870,2114,2169,2216,2292,2359,2461,2497,2520,2764,2834,2936,2990,3059,3091,3205,3336,3503,3565,3658,3739,3861,3904,3960,4006,4048,4084,4103,4118,4132,4140,4151,4155,4215,4253,4272,4299,4305,4314,4322,4342,4346,4353,4361,4373,4379,4389,4401,4406,4416,4428,4429,4431,4470,4487,4495,4501,4509,4522,4538,4519,4542,4608,4637,4681,4690,4779,4847,4854,4903,4952,4977,4988,5008,5045,5076,5093,5119,5130,5153,5171,5244,5264,5304,5333,5365,5375,5407,5508,5488,5506,5529,5564,5575,5583,5608,5630,5656,5673,5685,5778,5786,5803,5821,5839,5848,5867,5881,5928,6167,6172,6181,6197,6209,6213,6221,6235,6242,6245,6249,6239,6225,6208,6237,6350,6317,6330,6357,6335,6346,6365,6374,6396,6420,6432,6432,6456,6471,6491,6504,6519,6567,6578,6585,6570,6600,6631,6649,6666,6673,6691,6718,6727,6740,6761,6782,6791,6807,6913,6962,6996,7024,7050,7066,7112,7148,7188,7221,7267,7302,7328,7346,7390,7476,7518,7560,7593,7609,7660,7711,7770,7802,7854,7882,7925,7968,8036,8099,8170,8213,8255,8299,8342,8408,8461,8528,8589,8645,8700,8752,8854,8932,9035,9139,9194,9247,9341,9493,9585,9682,9793,9876,9918,10069,10175,10253,10377,10436,10558,10620,10746,10899,11007,11165,11355,11499,11618,11702,11912,12108,12286,12526,12651,12780,12976,13079,13318,13460,13611,13727,13815,14021,14129,14325,14458,14555,14689,14758,14936
10,13067,766149,8,8,8,15,19,22,25,29,38,51,56,67,79,90,109,119,163,185,228,250,287,304,341,422,453,474,517,566,608,653,681,705,728,816,895,950,1014,1085,1104,1148,1196,1230,1272,1326,1368,1395,1428,1483,1539,1581,1621,1679,1749,1768,1839,1887,1998,2024,2072,2128,2175,2186,2253,2280,2363,2395,2407,2406,2429,2503,2584,2625,2655,2661,2702,2795,2854,2907,2948,2987,3009,3027,3052,3056,3097,3165,3223,3242,3249,3298,3337,3370,3471,3522,3557,3581,3618,3679,3712,3751,3807,3841,3893,3969,4134,4269,4347,4433,4526,4607,4630,4877,5081,5301,5507,5679,5758,5857,6082,6255,6369,6708,6940,7049,7235,7388,7571,7713,7972,8223,8370,8510,8759,8966,9380,9717,10009,10120,10240,10453,10653,10920,11206,11436,11690,11844,12135,12489,12718,13049,13336,13564,13729,14006,14279,14463,14690,14826,14893,14962,15086,15247,15449,15687,15816,15931,16055,16144,16369,16536,16630,16840,16896,16966,17097,17210,17375,17479,17595,17734,17792,17850,18005,18155,18255,18433,18495,18550,18601,18719,18839,18941,19000,19041,19092,19174,19283,19354,19430,19513,19551,19576,19634,19740,19829,19872,19968,20010,21540,21606,21710,21780,21853,21925,22031,22299,22368,22527,22613,22730,22807,22847,22865,22924,23036,23122,23232,23345,23419,23727,23780,23890,23972,24045,24255,24288,24528,24685,24930,25090,25303,25435,25521,25624,26016,26167,26328,26468,26705,26857,26939,27265,27528,27754,28012,28577,28750,28883,29085,29342,29540,29758,29952,30056,30194,30530,30946,31341,31809,32103,32227,32558,32995,33359,33848,34327,34816,35230,35562,36011,36545,37120,37718,38258,38720,38972,39552,40012,40787,41323,41622,41854,42238,42826,43541,44345
10,13211,20097,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,10,12,13,14,14,14,15,15,17,19,19,20,22,22,23,23,25,25,24,22,25,24,28,28,27,27,28,29,30,30,30,30,32,33,33,33,33,33,33,33,33,34,34,34,34,35,36,36,37,37,37,37,37,37,37,38,38,38,38,39,39,39,39,40,40,40,40,40,40,40,41,42,42,44,44,45,45,45,45,46,46,46,49,49,52,52,54,64,65,66,66,68,67,71,74,78,80,81,88,91,94,100,102,107,115,112,119,129,132,147,155,157,175,177,183,191,216,219,226,231,236,246,253,271,274,279,283,295,301,308,318,320,329,335,341,361,373,379,381,381,394,396,406,410,411,414,415,419,420,425,429,434,436,436,440,441,442,446,448,451,452,454,459,465,467,468,470,472,473,476,476,478,481,481,481,485,485,487,487,489,489,611,612,618,619,620,622,625,627,628,631,633,636,635,638,640,641,641,644,646,649,649,662,665,668,672,673,676,677,705,704,714,719,724,726,726,725,725,739,751,753,755,755,761,765,775,779,789,791,793,797,800,812,820,819,824,826,826,842,849,858,867,870,872,881,887,892,901,907,922,929,937,945,967,989,1006,1017,1025,1039,1045,1058,1080,1087,1089,1095,1103,1135,1145,1159
12,17097,109658,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,4,4,5,6,6,6,6,7,8,11,15,17,17,19,18,20,21,23,24,25,27,27,28,30,33,38,39,42,43,44,46,49,49,53,54,65,67,70,69,84,91,93,102,105,105,106,111,113,117,121,120,121,121,130,129,130,134,139,140,140,140,141,147,150,153,153,154,157,159,160,160,164,166,168,172,175,177,177,178,181,183,183,189,188,188,190,190,191,195,199,201,205,205,208,216,219,220,224,225,226,228,233,237,239,246,254,259,270,280,286,298,306,313,328,343,350,362,379,388,409,414,419,428,442,463,480,497,515,560,577,590,666,684,739,766,783,801,825,878,910,932,953,960,992,1008,1031,1063,1085,1093,1115,1128,1148,1180,1203,1219,1237,1256,1273,1291,1302,1357,1376,1399,1406,1413,1419,1429,1457,1475,1496,1508,1518,1530,1546,1568,1590,1608,1616,1630,1640,1658,1682,1701,1712,1725,1742,1758,1768,1794,1818,1831,1855,1861,1873,1910,1926,1947,1974,1995,2004,2041,2069,2100,2128,2157,2184,2207,2235,2281,2320,2378,2408,2426,2473,2554,2584,2652,2652,2776,2842,2937,2997,3136,3356,3490,3606,3763,3891,4046,4174,4386,4559,4658,4775,4885,5059,5187,5331,5450,5548,5608,5687,5808,5907,5975,6041,6108,6161,6274,6358,6471,6587,6728,6797,6885,6971,7041,7157,7274,7364,7430,7504,7542,7629,7679,7727,7762,7810,7828,7868,7951,8008,8059,8108,8135,8160,8199,8292,8363
12,17165,257400,0,0,0,2,2,2,2,3,3,3,3,3,4,7,7,13,15,18,31,36,43,53,55,57,80,86,92,109,127,144,159,173,189,202,220,225,239,254,265,271,276,289,316,330,350,363,391,403,434,442,475,492,507,537,551,579,601,623,648,689,711,761,771,788,788,805,850,875,893,905,926,961,983,1016,1079,1097,1117,1117,1167,1198,1217,1230,1257,1299,1331,1362,1404,1440,1450,1467,1490,1490,1546,1569,1610,1626,1662,1668,1698,1716,1748,1772,1799,1799,1816,1869,1896,1921,1956,1956,2039,2086,2133,2167,2167,2208,2208,2208,2297,2297,2412,2471,2471,2471,2471,2471,2732,2803,2871,2976,3053,3095,3138,3210,3270,3357,3433,3473,3530,3593,3659,3708,3792,3862,3907,4015,4074,4134,4224,4282,4344,4409,4441,4518,4584,4662,4726,4795,4861,4927,5005,5077,5137,5205,5296,5370,5449,5503,5549,5617,5683,5775,5794,5850,5935,5992,6041,6167,6231,6259,6306,6356,6421,6516,6583,6632,6652,6704,6750,6808,6852,6914,6967,6989,7044,7074,7110,7153,7219,7308,7357,7426,7490,7523,7571,7617,7663,7690,7721,7754,7810,7894,7952,7993,8038,8105,8147,8187,8249,8309,8354,8419,8475,8541,8603,8696,8762,8827,8884,8967,9023,9078,9152,9246,9344,9431,9500,9608,9679,9786,9942,10134,10276,10464,10676,10881,11031,11239,11427,11572,11851,12085,12245,12385,12626,12866,13077,13340,13632,13858,13858,14273,14532,14783,14980,15207,15469,15678,15964,16277,16430,16684,16905,17074,17348,17589,17780,17959,18155,18354,18540,18764,18891,19048,19162,19304,19463,19580,19779,19779,20035,20204,20350,20449,20662,20854
