x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137
2.087,3.691,1.0075,2.8305,3.2125,3.178,1.004,1.1585,2.388,3.5665,1.199,1.6485,1.0035,3.23,1.1135,3.617,1.633,2.415,1.077,2.028,3.349,1.0725,1.0035,1.262,4.0935,1.0195,1.09,3.5565,1.001,1.071,1.6895,1.5305,1.0025,1.7845,1.026,1.011,2.2255,2.193,1.3755,1.9195,1.2065,3.0825,1.2925,1.0,2.165,1.044,3.423,4.104,1.511,1.014,1.165,1.029,1.0765,1.0295,2.637,2.45,2.098,1.0025,1.0645,1.025,2.2395,2.093,3.6695,3.579,1.856,1.996,2.108,1.6305,2.706,2.307,1.19,1.0335,1.4635,1.063,1.011,1.461,1.009,1.224,3.1055,1.366,3.016,1.164,1.131,2.8535,1.118,1.8465,1.0065,1.163,1.2285,1.035,1.1165,1.0115,1.3635,1.055,1.0065,1.0,1.069,1.552,1.023,1.041,1.141,3.3995,1.0725,1.7025,1.625,1.8465,2.5645,1.0325,1.0375,1.0585,1.3275,3.49,1.2685,1.1105,1.0665,1.774,1.148,2.416,1.0165,1.5305,1.1665,1.0325,1.304,1.289,1.6355,1.3775,1.283,1.3525,1.092,1.6895,1.2845,1.494,1.4085,1.1815,1.3895,1.25,1.052
2.257,3.784,1.1935,2.9845,1.8,2.1725,1.3255,1.657,2.3815,3.5755,2.5615,1.606,1.1585,2.9895,2.368,2.8245,1.0255,1.2875,1.0,2.0675,2.293,1.0395,1.0,1.38,4.166,1.0025,1.0035,1.936,1.005,1.0855,1.1595,3.021,1.0005,1.6675,1.2205,1.0045,1.792,1.049,1.071,1.263,1.4545,1.5995,1.123,1.232,1.25,1.5375,2.7535,4.292,2.313,1.0555,1.0595,1.028,1.044,1.024,3.6645,1.9475,1.1165,1.0025,1.019,1.0095,2.462,1.2325,4.0465,3.225,1.0285,1.655,2.3485,2.353,4.1645,3.3205,1.8265,1.003,1.348,1.213,1.0305,1.422,1.1465,1.001,2.3975,1.432,2.934,1.115,1.2085,2.9415,1.112,2.7455,1.0755,1.188,1.2135,1.016,1.1865,1.015,1.4145,1.0255,1.001,1.0115,1.0445,1.641,1.008,1.1215,1.2745,3.3145,1.2225,2.1315,1.763,1.971,3.127,1.038,1.1255,1.206,1.5435,2.6665,1.456,1.0345,1.0185,1.734,1.128,2.791,1.0695,1.2925,1.4245,1.056,1.3035,1.2285,1.351,1.272,1.3415,1.271,1.248,1.4175,1.3035,1.346,1.3525,1.1775,1.2865,1.19,1.0435
2.4155,4.0765,1.028,3.349,3.5045,3.097,2.1875,1.1385,2.6375,3.238,1.5995,1.124,1.26,3.209,1.7685,3.5955,1.9515,1.612,1.0195,3.3055,3.3655,1.296,1.0855,1.0375,4.5095,1.005,1.0,3.7175,1.1145,1.838,1.974,2.2185,1.0165,1.6105,1.7335,1.012,2.3235,2.123,1.3315,1.978,1.158,2.4395,1.237,1.0015,2.165,1.6325,3.888,4.5345,1.2545,1.0475,1.0335,1.032,1.1355,1.1765,3.761,2.303,2.1675,1.005,1.1025,1.013,3.598,1.43,4.202,3.4485,1.4495,1.851,2.609,2.8775,3.6095,3.058,1.36,1.105,2.329,1.595,1.0665,1.9235,1.0075,1.003,3.2845,1.42,2.723,1.2605,1.179,3.0335,1.251,2.3985,1.0235,1.1705,1.108,1.026,1.1415,1.026,1.464,1.06,1.0095,1.0,1.1325,1.739,1.013,1.0915,1.186,3.412,1.0925,1.9315,1.8055,2.052,2.9165,1.0775,1.166,1.065,1.384,3.3985,1.372,1.185,1.0645,1.878,1.24,2.411,1.005,1.4315,1.25,1.022,1.508,1.472,1.524,1.344,1.218,1.3885,1.1365,1.723,1.2935,1.5025,1.41,1.21,1.4595,1.1605,1.0675
3.221,3.7465,1.181,3.7405,2.7995,1.036,1.5745,1.144,3.088,1.4075,2.2345,1.058,1.002,3.679,1.1025,3.5575,1.0485,1.414,1.006,2.975,3.0735,1.095,1.007,1.1245,4.3425,1.0015,1.0055,2.624,1.166,2.148,2.039,2.1535,1.0025,1.205,1.1745,1.003,2.0815,1.9955,1.3355,1.2225,1.3685,2.067,1.1295,1.0105,1.4745,1.107,3.3465,4.376,2.2725,1.02,1.028,1.4605,1.0515,1.024,2.658,2.324,1.2565,1.003,1.034,1.0105,3.149,2.1,3.8315,3.508,1.003,1.599,2.735,2.2585,3.8825,2.3975,1.7075,1.0015,1.592,1.176,1.0145,1.254,1.0245,1.004,3.4515,1.301,2.994,1.2125,1.193,3.073,1.219,2.1485,1.015,1.138,1.195,1.0105,1.066,1.034,1.464,1.003,1.002,1.0005,1.063,1.4015,1.01,1.243,1.315,3.4655,1.2855,1.9805,1.472,1.7145,3.1665,1.024,1.075,1.067,1.3865,2.981,1.2405,1.0555,1.0355,2.0255,1.152,2.724,1.012,1.376,1.1665,1.0195,1.2865,1.226,1.259,1.327,1.141,1.4245,1.2595,1.5305,1.1935,1.3945,1.442,1.1635,1.473,1.1055,1.045
1.912,4.0805,1.0265,4.1695,3.8455,2.746,2.7995,1.0535,3.3895,3.676,1.521,1.755,1.0055,3.4265,2.2525,3.7085,1.073,1.294,1.118,2.83,3.3575,2.441,1.0,1.1145,4.585,1.0055,1.0,3.223,1.016,1.8805,2.7755,1.2255,1.0015,1.2965,1.2495,1.0755,3.12,1.5415,1.1145,1.8905,1.208,1.042,1.691,1.001,1.8855,1.162,3.9935,4.635,1.8995,1.016,1.0325,1.0955,1.2495,1.346,3.0915,2.2225,1.3225,1.003,1.0305,1.012,3.5775,1.4685,4.368,3.2705,1.0345,1.681,3.5205,2.6035,4.258,2.7545,1.5405,1.004,1.6625,1.105,1.0045,1.1875,1.001,1.0005,4.0905,1.6385,3.537,1.7345,1.595,3.273,1.126,1.9405,1.043,1.0705,1.1765,1.006,1.053,1.018,2.101,1.009,1.004,1.0,1.056,1.6445,1.015,1.031,1.1135,3.3595,1.0585,2.003,1.5785,1.6175,3.3645,1.016,1.0725,1.037,1.367,3.184,1.193,1.1085,1.039,1.8955,1.1795,2.2915,1.006,1.6155,1.173,1.031,1.3085,1.384,1.357,1.2725,1.1475,1.4075,1.102,1.7465,1.209,1.395,1.2955,1.181,1.343,1.148,1.052
1.003,2.5285,1.3505,4.104,4.1965,3.0285,2.807,1.1135,2.4575,3.743,1.5085,2.7825,1.011,3.3925,1.1005,3.6385,1.058,1.57,1.0435,3.0575,3.7795,2.939,1.057,1.0315,4.389,1.009,1.0,3.4295,1.0275,1.5375,1.8305,2.238,1.009,1.197,1.0025,1.0225,2.0395,2.147,1.0625,1.469,1.086,2.4705,1.4625,1.0,2.0925,1.145,3.8255,4.5135,1.4385,1.089,1.075,1.2385,1.065,1.0775,2.712,2.369,2.1185,1.0005,1.046,1.025,3.278,1.3125,4.3905,2.63,2.135,1.7695,3.757,1.8405,4.1545,3.1945,1.2075,1.0045,1.499,1.3295,1.0155,1.351,1.136,1.015,3.557,1.2725,3.567,1.7275,1.903,3.8055,1.3245,2.4375,1.006,1.25,1.2415,1.025,1.084,1.01,2.019,1.033,1.0025,1.0,1.0695,2.018,1.0315,1.169,1.1445,3.288,1.147,2.142,1.6655,1.894,3.298,1.0155,1.0185,1.033,1.393,3.3985,1.281,1.1045,1.1705,1.7325,1.163,2.2405,1.0265,1.643,1.143,1.0295,1.386,1.373,1.5665,1.224,1.2105,1.3315,1.1365,1.767,1.24,1.484,1.4685,1.1525,1.396,1.227,1.0435
1.812,1.0245,3.1005,1.0775,1.636,1.0255,1.3915,3.541,1.212,1.187,1.689,2.3565,1.121,1.0235,2.4325,1.2725,1.474,1.0695,2.2825,1.0475,1.444,2.333,1.021,3.3605,1.082,1.0035,1.7895,1.2885,2.9135,1.0645,1.197,1.0005,1.2005,1.7455,1.0145,2.164,2.4555,1.016,1.186,1.128,1.0205,1.338,1.0645,1.0405,1.05,1.186,1.137,1.1465,2.059,1.1135,1.0675,1.328,1.052,1.0085,1.552,2.075,1.1155,1.0175,1.0245,1.5145,1.038,1.036,1.211,2.277,1.428,1.1275,1.7085,1.006,1.0445,1.0595,1.223,1.013,1.025,1.152,1.1375,1.2425,2.184,1.031,1.228,1.2335,2.7375,1.0875,1.0345,2.3355,1.0125,1.1345,1.1865,1.649,2.5535,1.0155,1.364,2.029,1.338,1.1735,1.022,1.0075,1.0055,1.419,1.0885,1.0755,1.0755,2.576,1.0535,1.796,1.2235,1.482,2.52,1.0075,1.0105,1.7935,2.002,2.311,1.0825,1.066,1.0885,1.3145,1.0185,2.404,1.0035,1.3885,1.0555,1.2075,1.084,1.0435,1.388,1.7335,1.1205,1.2225,1.129,1.464,1.415,1.5055,1.429,1.1145,1.2595,1.4155,1.052
1.0085,1.11,1.9215,1.0035,1.431,4.1985,1.0555,4.021,1.275,1.192,2.1525,3.282,3.8245,1.015,1.0045,1.132,3.442,1.0715,1.3705,1.1235,2.8925,3.5475,1.0885,3.5525,1.051,1.003,4.2135,1.127,1.6955,1.0035,1.066,1.002,1.3575,2.7205,1.03,3.4655,2.475,1.0595,1.56,1.3835,1.035,2.5795,1.242,1.023,1.517,1.9,1.226,1.0805,1.081,2.942,1.9845,2.0455,1.3505,1.37,1.6615,1.6135,1.1755,1.2945,1.1375,2.4025,1.2025,1.0105,1.1505,1.698,3.642,1.1835,1.256,1.016,1.0295,1.1435,1.752,1.0875,1.035,1.0205,1.0455,1.786,3.6115,2.897,1.5525,1.7645,2.037,1.122,1.059,1.925,1.048,1.1825,1.3405,2.58,1.292,1.0465,3.036,1.2655,1.838,3.725,1.7545,1.2085,1.032,1.429,1.5935,1.1355,1.214,2.198,1.041,1.773,2.0735,2.014,1.88,1.19,1.014,1.8535,1.4765,2.54,1.152,1.399,1.3175,1.2785,1.078,1.825,1.0485,1.816,1.045,1.151,1.1825,1.2405,2.6195,1.881,1.1085,1.2255,1.0695,1.963,1.5005,1.7975,1.4155,1.2765,1.293,1.5985,1.1905
1.2935,1.0635,1.7415,1.0025,1.3275,1.397,1.648,1.2415,1.062,1.09,1.001,1.258,1.005,1.198,1.003,1.0405,1.0785,1.009,1.007,1.009,1.0805,1.016,1.1425,1.452,1.0285,1.0005,1.445,1.007,1.393,1.015,1.0355,1.0025,1.2505,1.0275,1.1595,1.5665,1.3445,1.009,1.0955,1.0895,1.006,1.0315,1.0085,1.5755,1.0075,1.2255,1.0115,1.0405,1.056,1.6145,1.0025,1.4175,1.07,1.0375,1.3195,1.1815,1.008,1.1665,1.0245,1.079,1.039,1.0035,1.0165,1.0925,1.0085,1.073,1.025,1.003,1.012,1.038,1.0825,1.0095,1.0065,1.004,1.12,1.234,1.948,1.864,1.0775,1.317,1.514,1.031,1.164,1.9105,1.0055,1.08,1.2415,1.4425,1.0395,1.0125,1.2885,1.0845,1.096,1.471,1.073,1.008,1.0025,1.1195,1.052,1.0225,1.11,2.384,1.071,1.638,1.304,1.6405,2.069,1.0085,1.041,1.259,1.4785,2.072,1.0375,1.064,1.0645,1.343,1.014,1.8755,1.0105,1.1045,1.035,1.0475,1.0625,1.065,1.212,1.521,1.0695,1.035,1.0345,1.1695,1.1445,1.147,1.101,1.0255,1.104,1.0735,1.0045
1.692,3.095,1.06,1.0765,1.3585,1.142,1.3665,1.3875,1.4595,1.6125,1.568,1.3675,1.3215,2.161,1.2185,1.399,1.2505,1.23,1.0365,1.231,1.346,1.131,1.3805,1.303,1.516,1.0625,1.1125,1.322,1.004,1.189,2.121,1.6695,1.0445,1.1555,1.454,1.1885,1.132,1.2105,1.2955,1.348,1.091,1.3545,1.047,1.0455,1.0865,1.1145,1.6145,1.546,1.417,1.0175,1.0325,1.085,1.1745,1.0535,1.716,1.491,1.166,1.0415,1.1555,1.9085,1.479,1.0735,1.519,1.4195,1.0545,1.368,1.085,1.146,1.538,1.394,1.6115,1.097,1.251,1.1,1.104,1.509,1.0395,1.0115,1.7415,1.526,2.028,1.101,1.1815,2.329,1.064,1.7335,1.0675,1.143,1.571,1.8245,1.1975,1.04,1.116,1.2845,1.08,1.038,1.0485,1.241,1.039,1.17,1.675,2.741,1.206,1.9555,1.441,1.7495,2.228,1.0575,1.2215,1.1775,1.417,2.4845,1.2565,1.335,1.1515,1.7775,1.1215,2.483,1.0805,1.3415,1.333,1.066,1.2205,1.1785,1.3275,1.465,1.3615,1.151,1.1105,1.3665,1.38,1.268,1.188,1.109,1.1775,1.1795,1.0345
