K,P,maskSeed,lppd,lppd1,lppd2,lppd3,lppd4,lppd5
1.0,25.0,101.0,0.0521418291762743,0.03664322196458292,0.04443737067901932,0.12294689324469532,0.2863030458865632,0.10692262056507529
1.0,25.0,102.0,0.05189304439168718,0.03496000037640057,0.040310813067172546,0.15750476101634447,0.26977963902628765,0.11141441873057945
1.0,25.0,103.0,0.05271234551707593,0.03580140212577776,0.04417554254562628,0.12575179309804652,0.28131905753894326,0.11077173584299471
1.0,25.0,104.0,0.0499197861952696,0.03649677310517152,0.03801940628707712,0.12898748318728925,0.26060330106214913,0.09828253187236324
1.0,25.0,105.0,0.04768111666851449,0.03357009919548659,0.028748452477257658,0.12835979469180314,0.268913413008419,0.09767095279238669
5.0,25.0,101.0,0.009446643118737219,0.006744384448597485,0.00938416146936083,0.11541594672607092,0.40903119903883267,0.027526115839058063
5.0,25.0,102.0,0.006101883066889968,0.0045759849818594045,0.0046547758165991215,0.07499786566675581,0.28986098796194426,0.016402921746989874
5.0,25.0,103.0,-0.02467188110100027,-0.02633419324782249,-0.01986353130606977,0.007965572987738145,0.25945230123726315,-0.013588297321552867
5.0,25.0,104.0,-0.03199921840512299,-0.0367663904261778,-0.0071232946460697555,0.053510696677938174,0.1244931685620756,0.0024482219156674034
5.0,25.0,105.0,-0.002164680868572466,-0.012495297950443796,0.048275732371768854,0.14384616924052196,0.17644266460046865,0.06219533227802243
10.0,25.0,101.0,-0.006461505686638391,-0.007610283283984387,-0.004903415066740413,0.1487890067358939,-0.005172873992473015,0.006555094608047707
10.0,25.0,102.0,0.010439115608850358,0.00921803176442626,0.02086404932848196,0.046923671137055756,0.6677431815970385,0.025106952719771813
10.0,25.0,103.0,0.00386587963458096,0.0024038559674791626,0.017398468974006542,0.02007092887221651,0.7898542478420603,0.020487261199943818
10.0,25.0,104.0,0.0028609570042077426,0.0009727618092141288,0.014684705772203932,0.08865545060671831,0.45096390914656803,0.023603268347739847
10.0,25.0,105.0,0.002598818603391617,0.0008873231406466564,0.019364176381033937,0.032606848614371575,0.31796787816273886,0.022481911806733645
25.0,25.0,101.0,-0.009763889616892563,-0.010659343142560784,0.014374924607709616,0.059401070758684504,NaN,0.01762721445809934
25.0,25.0,102.0,0.0003715910310244652,-0.0003717000057873454,0.022962129306044687,0.05843261868398608,NaN,0.025454650181250926
25.0,25.0,103.0,-0.0035158485197013256,-0.001562902475620187,-0.06646162264216748,0.07441836340562924,0.1652690950809692,-0.05487159518217544
25.0,25.0,104.0,0.0008298944972354727,0.001340246157221281,-0.012928730923292164,-0.014572837787659054,NaN,-0.013049900648845814
25.0,25.0,105.0,0.005698239844247999,0.005871589392243748,-0.0012966282591566625,0.01841971430964895,-0.04097389157174991,0.0004229806593287755
