K,D,maskSeed,cov80,cov90,cov95,cov99
1.0,0.0,101.0,0.7734789391575663,0.8455538221528861,0.8851794071762871,0.9297971918876755
1.0,0.0,102.0,0.7913312693498452,0.8636222910216719,0.9007739938080496,0.9417956656346749
1.0,0.0,103.0,0.7837282780410743,0.8646129541864139,0.9074249605055292,0.9475513428120064
1.0,0.0,104.0,0.7862776025236593,0.8623028391167192,0.900788643533123,0.9353312302839116
1.0,0.0,105.0,0.76953125,0.84765625,0.8871875,0.93140625
5.0,0.0,101.0,0.802028081123245,0.8722308892355695,0.9053042121684868,0.94399375975039
5.0,0.0,102.0,0.8448916408668731,0.9105263157894737,0.9417956656346749,0.9696594427244583
5.0,0.0,103.0,0.8492890995260663,0.9086887835703001,0.9436018957345972,0.9723538704581358
5.0,0.0,104.0,0.8258675078864354,0.8927444794952681,0.9250788643533123,0.9589905362776026
5.0,0.0,105.0,0.79578125,0.8715625,0.9128125,0.94765625
10.0,0.0,101.0,0.8563182527301092,0.9196567862714509,0.9469578783151326,0.9741029641185648
10.0,0.0,102.0,0.8561919504643963,0.9173374613003096,0.9490712074303406,0.9739938080495356
10.0,0.0,103.0,0.8478672985781991,0.9096366508688783,0.9437598736176935,0.9707740916271722
10.0,0.0,104.0,0.8509463722397477,0.9165615141955836,0.9441640378548896,0.9682965299684543
10.0,0.0,105.0,0.8453125,0.90734375,0.93625,0.96328125
25.0,0.0,101.0,0.8516380655226209,0.9140405616224649,0.9425897035881435,0.9712948517940717
25.0,0.0,102.0,0.8643962848297214,0.9255417956656347,0.9526315789473684,0.9761609907120743
25.0,0.0,103.0,0.8761453396524487,0.9308056872037914,0.9510268562401264,0.9744075829383886
25.0,0.0,104.0,0.8563091482649843,0.9203470031545742,0.9474763406940063,0.9717665615141956
25.0,0.0,105.0,0.86546875,0.92046875,0.9496875,0.969375
1.0,1.0,101.0,0.9088923556942278,0.9438377535101404,0.9636505460218409,0.9792511700468018
1.0,1.0,102.0,0.9184210526315789,0.9487616099071208,0.9647058823529412,0.9794117647058823
1.0,1.0,103.0,0.931911532385466,0.9563981042654028,0.9717219589257504,0.9848341232227488
1.0,1.0,104.0,0.9220820189274448,0.9493690851735016,0.9637223974763407,0.9752365930599369
1.0,1.0,105.0,0.91484375,0.946875,0.96078125,0.9765625
5.0,1.0,101.0,0.9410296411856475,0.9645865834633386,0.9750390015600624,0.9864274570982839
5.0,1.0,102.0,0.9456656346749226,0.9643962848297214,0.974922600619195,0.9842105263157894
5.0,1.0,103.0,0.9652448657187994,0.9816745655608214,0.9906793048973144,0.9968404423380727
5.0,1.0,104.0,0.9386435331230284,0.9613564668769716,0.9741324921135647,0.987223974763407
5.0,1.0,105.0,0.950625,0.96859375,0.97890625,0.98609375
10.0,1.0,101.0,0.9524180967238689,0.9773790951638065,0.9870514820592824,0.9942277691107644
10.0,1.0,102.0,0.9678018575851394,0.9835913312693498,0.9905572755417956,0.996594427244582
10.0,1.0,103.0,0.9671406003159557,0.9816745655608214,0.9908372827804107,0.9957345971563981
10.0,1.0,104.0,0.9309148264984227,0.954416403785489,0.966403785488959,0.9810725552050473
10.0,1.0,105.0,0.96859375,0.98125,0.98765625,0.99359375
25.0,1.0,101.0,0.9508580343213728,0.9728549141965679,0.9826833073322933,0.990795631825273
25.0,1.0,102.0,0.9695046439628483,0.9814241486068112,0.9904024767801858,0.9964396284829722
25.0,1.0,103.0,0.9682464454976303,0.982780410742496,0.9913112164296999,0.9968404423380727
25.0,1.0,104.0,0.9556782334384858,0.9763406940063092,0.9862776025236593,0.9914826498422713
25.0,1.0,105.0,0.945,0.966875,0.97671875,0.98515625
