K,D,maskSeed,cov80,cov90,cov95,cov99
1.0,0.0,101.0,0.858034321372855,0.9109204368174727,0.9436817472698908,0.9755070202808113
1.0,0.0,102.0,0.8760061919504644,0.9239938080495356,0.9458204334365325,0.9736842105263158
1.0,0.0,103.0,0.8737756714060032,0.9322274881516588,0.9584518167456556,0.9805687203791469
1.0,0.0,104.0,0.8719242902208202,0.9217665615141956,0.9493690851735016,0.9744479495268139
1.0,0.0,105.0,0.8603125,0.9190625,0.94453125,0.9721875
5.0,0.0,101.0,0.9134165366614665,0.9572542901716069,0.9758190327613104,0.9911076443057723
5.0,0.0,102.0,0.9289473684210526,0.9670278637770898,0.9815789473684211,0.9936532507739938
5.0,0.0,103.0,0.9341232227488152,0.9688783570300158,0.9832543443917852,0.9951026856240126
5.0,0.0,104.0,0.9252365930599369,0.9641955835962145,0.9802839116719243,0.9908517350157728
5.0,0.0,105.0,0.91703125,0.9578125,0.9765625,0.98890625
10.0,0.0,101.0,0.916380655226209,0.9578783151326054,0.9769110764430577,0.9912636505460218
10.0,0.0,102.0,0.9373065015479877,0.9718266253869969,0.9845201238390093,0.9936532507739938
10.0,0.0,103.0,0.9385466034755134,0.9721958925750395,0.9860979462875198,0.9949447077409163
10.0,0.0,104.0,0.9381703470031546,0.9711356466876971,0.9837539432176656,0.9932176656151419
10.0,0.0,105.0,0.945625,0.97109375,0.985,0.9940625
1.0,1.0,101.0,0.9117004680187207,0.9489859594383775,0.9686427457098284,0.985179407176287
1.0,1.0,102.0,0.9264705882352942,0.9530959752321981,0.9695046439628483,0.9856037151702787
1.0,1.0,103.0,0.9334913112164297,0.9587677725118483,0.9750394944707741,0.9862559241706161
1.0,1.0,104.0,0.9255520504731861,0.9533123028391167,0.9678233438485805,0.9802839116719243
1.0,1.0,105.0,0.919375,0.9484375,0.9665625,0.97875
5.0,1.0,101.0,0.9572542901716069,0.9765990639625585,0.9882995319812793,0.9965678627145086
5.0,1.0,102.0,0.9566563467492261,0.9752321981424149,0.9835913312693498,0.9938080495356038
5.0,1.0,103.0,0.9805687203791469,0.9916271721958926,0.9962085308056872,0.9985781990521327
5.0,1.0,104.0,0.955205047318612,0.976813880126183,0.9856466876971609,0.9921135646687698
5.0,1.0,105.0,0.96,0.9790625,0.98765625,0.9946875
10.0,1.0,101.0,0.9741029641185648,0.9867394695787831,0.9932917316692668,0.9982839313572542
10.0,1.0,102.0,0.9767801857585139,0.9886996904024767,0.9956656346749226,0.9987616099071207
10.0,1.0,103.0,0.9778830963665087,0.9892575039494471,0.9938388625592417,0.9977883096366509
10.0,1.0,104.0,0.9761829652996845,0.9894321766561515,0.9947949526813881,0.9968454258675079
10.0,1.0,105.0,0.9734375,0.98671875,0.99265625,0.9965625
