D,j,K,mask,lppd
1.0,1.0,1.0,101.0,-4.817863075734604
1.0,1.0,5.0,101.0,-4.811235750253926
1.0,1.0,10.0,101.0,-4.805658406503615
1.0,1.0,25.0,101.0,-4.806616162021674
3.0,2.0,1.0,101.0,-4.615861603009843
3.0,2.0,5.0,101.0,-4.573235300540325
3.0,2.0,10.0,101.0,-4.575374780127252
3.0,2.0,25.0,101.0,-4.578427636993715
5.0,3.0,1.0,101.0,-4.57715827799969
5.0,3.0,5.0,101.0,-4.495570299158116
5.0,3.0,10.0,101.0,-4.489416534399702
5.0,3.0,25.0,101.0,-4.51509352476677
7.0,4.0,1.0,101.0,-4.60971793797017
7.0,4.0,5.0,101.0,-4.4720456220799125
7.0,4.0,10.0,101.0,-4.480082064385825
7.0,4.0,25.0,101.0,-4.480997818471834
9.0,5.0,1.0,101.0,-4.675517893424174
9.0,5.0,5.0,101.0,-4.546421213949076
9.0,5.0,10.0,101.0,-4.52001328358014
9.0,5.0,25.0,101.0,-4.511289243873922
11.0,6.0,1.0,101.0,-4.764790309300431
11.0,6.0,5.0,101.0,-4.605817409454224
11.0,6.0,10.0,101.0,-4.51017752949203
11.0,6.0,25.0,101.0,-4.5306874005239495
1.0,1.0,1.0,102.0,-4.7510574297225645
1.0,1.0,5.0,102.0,-4.746561840155842
1.0,1.0,10.0,102.0,-4.746868028641094
1.0,1.0,25.0,102.0,-4.746632176729622
3.0,2.0,1.0,102.0,-4.51406611689714
3.0,2.0,5.0,102.0,-4.485544896493359
3.0,2.0,10.0,102.0,-4.477322459814911
3.0,2.0,25.0,102.0,-4.485369685825657
5.0,3.0,1.0,102.0,-4.45350784284118
5.0,3.0,5.0,102.0,-4.4126536605475435
5.0,3.0,10.0,102.0,-4.382772995338089
5.0,3.0,25.0,102.0,-4.38107546060458
7.0,4.0,1.0,102.0,-4.464660469020481
7.0,4.0,5.0,102.0,-4.382058381469898
7.0,4.0,10.0,102.0,-4.353838405377865
7.0,4.0,25.0,102.0,-4.3512053970693865
9.0,5.0,1.0,102.0,-4.508317506162684
9.0,5.0,5.0,102.0,-4.420549882436733
9.0,5.0,10.0,102.0,-4.3629377249985115
9.0,5.0,25.0,102.0,-4.3713076885646585
11.0,6.0,1.0,102.0,-4.577509502795014
11.0,6.0,5.0,102.0,-4.417131295781097
11.0,6.0,10.0,102.0,-4.380192400683826
11.0,6.0,25.0,102.0,-4.38113826935539
1.0,1.0,1.0,103.0,-4.821382013837045
1.0,1.0,5.0,103.0,-4.8112533593884494
1.0,1.0,10.0,103.0,-4.809309219185158
1.0,1.0,25.0,103.0,-4.810751784597531
3.0,2.0,1.0,103.0,-4.59137835112718
3.0,2.0,5.0,103.0,-4.5549038110322995
3.0,2.0,10.0,103.0,-4.547722205200187
3.0,2.0,25.0,103.0,-4.562766717423582
5.0,3.0,1.0,103.0,-4.525673074022829
5.0,3.0,5.0,103.0,-4.47418516582441
5.0,3.0,10.0,103.0,-4.462009902065629
5.0,3.0,25.0,103.0,-4.46980198908737
7.0,4.0,1.0,103.0,-4.530045515343733
7.0,4.0,5.0,103.0,-4.436351130400441
7.0,4.0,10.0,103.0,-4.4055845894715935
7.0,4.0,25.0,103.0,-4.434766921345413
9.0,5.0,1.0,103.0,-4.569650448643532
9.0,5.0,5.0,103.0,-4.4574984265580495
9.0,5.0,10.0,103.0,-4.435344422131949
9.0,5.0,25.0,103.0,-4.45434312463824
11.0,6.0,1.0,103.0,-4.633853102654091
11.0,6.0,5.0,103.0,-4.493322972804684
11.0,6.0,10.0,103.0,-4.437357719971795
11.0,6.0,25.0,103.0,-4.4440746062684475
1.0,1.0,1.0,104.0,-4.893039363902274
1.0,1.0,5.0,104.0,-4.863831072922314
1.0,1.0,10.0,104.0,-4.860020901613402
1.0,1.0,25.0,104.0,-4.871222834335421
3.0,2.0,1.0,104.0,-4.7355339717537905
3.0,2.0,5.0,104.0,-4.666161186232273
3.0,2.0,10.0,104.0,-4.664258811291495
3.0,2.0,25.0,104.0,-4.670675765858687
5.0,3.0,1.0,104.0,-4.715740400356388
5.0,3.0,5.0,104.0,-4.638570043454403
5.0,3.0,10.0,104.0,-4.601093889395441
5.0,3.0,25.0,104.0,-4.613586503963111
7.0,4.0,1.0,104.0,-4.764978404364774
7.0,4.0,5.0,104.0,-4.646870886191899
7.0,4.0,10.0,104.0,-4.616379622932439
7.0,4.0,25.0,104.0,-4.64324324271308
9.0,5.0,1.0,104.0,-4.849574946012245
9.0,5.0,5.0,104.0,-4.728370514243715
9.0,5.0,10.0,104.0,-4.608557489966609
9.0,5.0,25.0,104.0,-4.656131606112945
11.0,6.0,1.0,104.0,-4.958808621590295
11.0,6.0,5.0,104.0,-4.757707264272081
11.0,6.0,10.0,104.0,-4.694951415681217
11.0,6.0,25.0,104.0,-4.79923737484174
