mask,chain,K,D,j,lppd,lppd1,lppd2
101.0,101.0,1.0,1.0,1.0,-4.284113411333764,-3.7506325981779574,-4.817594224489559
101.0,101.0,10.0,1.0,1.0,-4.270290623977525,-3.7341171876946118,-4.806464060260487
101.0,101.0,20.0,1.0,1.0,-4.274120332048912,-3.736945835589978,-4.811294828507836
101.0,101.0,5.0,1.0,1.0,-4.279854892255959,-3.740999890219685,-4.818709894292235
101.0,101.0,1.0,3.0,2.0,-4.063884762657429,-3.492842329681883,-4.634927195632973
101.0,101.0,10.0,3.0,2.0,-4.044843575660461,-3.449213358057856,-4.640473793263044
101.0,101.0,20.0,3.0,2.0,-4.042892624049697,-3.4393850992430552,-4.646400148856316
101.0,101.0,5.0,3.0,2.0,-4.04371480289025,-3.474398364902383,-4.613031240878057
102.0,101.0,1.0,1.0,1.0,-4.2176972716496195,-3.6839019866157066,-4.751492556683527
102.0,101.0,10.0,1.0,1.0,-4.207557143049621,-3.6718872196521355,-4.743227066447076
102.0,101.0,20.0,1.0,1.0,-4.203191407499485,-3.6642785714876336,-4.742104243511319
102.0,101.0,5.0,1.0,1.0,-4.216973883448623,-3.674641639611316,-4.759306127285947
102.0,101.0,1.0,3.0,2.0,-3.9568988470067663,-3.399500545188108,-4.514297148825407
102.0,101.0,10.0,3.0,2.0,-3.9322264650134393,-3.3604165709012883,-4.50403635912555
102.0,101.0,20.0,3.0,2.0,-3.919053022295531,-3.3526491379607655,-4.485456906630278
102.0,101.0,5.0,3.0,2.0,-3.9369447857816082,-3.370687058329119,-4.503202513234078
103.0,101.0,1.0,1.0,1.0,-4.258287019021475,-3.695059029537002,-4.821515008505915
103.0,101.0,10.0,1.0,1.0,-4.243640015662924,-3.677866293325584,-4.809413738000227
103.0,101.0,20.0,1.0,1.0,-4.248154160172156,-3.6836474118260556,-4.812660908518321
103.0,101.0,5.0,1.0,1.0,-4.248518599508925,-3.6827003544712413,-4.814336844546583
103.0,101.0,1.0,3.0,2.0,-4.030236922629613,-3.415705458243877,-4.644768387015362
103.0,101.0,10.0,3.0,2.0,-3.9882668322896886,-3.36916223575895,-4.6073714288204135
103.0,101.0,20.0,3.0,2.0,-3.9869493015121793,-3.3646829228378525,-4.609215680186566
103.0,101.0,5.0,3.0,2.0,-4.000423583127801,-3.3859230542799628,-4.614924111975642
104.0,101.0,1.0,1.0,1.0,-4.32506302096526,-3.7576706104713122,-4.8924554314591795
104.0,101.0,10.0,1.0,1.0,-4.310069861786406,-3.735125653676447,-4.885014069896337
104.0,101.0,20.0,1.0,1.0,-4.299057060562793,-3.7347347945462297,-4.863379326579394
104.0,101.0,5.0,1.0,1.0,-4.307799417943306,-3.742123188987184,-4.873475646899393
104.0,101.0,1.0,3.0,2.0,-4.14758822078984,-3.510469112802745,-4.784707328776935
104.0,101.0,10.0,3.0,2.0,-4.07914186796617,-3.4478300594632945,-4.710453676469023
104.0,101.0,20.0,3.0,2.0,-4.081959850345568,-3.441344939053157,-4.72257476163793
104.0,101.0,5.0,3.0,2.0,-4.102392474207908,-3.4724086653397594,-4.732376283076103
105.0,101.0,1.0,1.0,1.0,-4.281991266268409,-3.7510074952227006,-4.812975037314087
105.0,101.0,10.0,1.0,1.0,-4.262514869206773,-3.732454652198342,-4.792575086215163
105.0,101.0,20.0,1.0,1.0,-4.272990739484749,-3.7363937585416327,-4.809587720427939
105.0,101.0,5.0,1.0,1.0,-4.279721019416193,-3.74359854094884,-4.815843497883558
105.0,101.0,1.0,3.0,2.0,-4.041451717853087,-3.4809118846423974,-4.601991551063791
105.0,101.0,10.0,3.0,2.0,-4.016822569014573,-3.4401931739328613,-4.593451964096275
105.0,101.0,20.0,3.0,2.0,-3.991837378042863,-3.4281925308770953,-4.5554822252086336
105.0,101.0,5.0,3.0,2.0,-4.020482487470726,-3.4639929924546125,-4.576971982486849
