mask,chain,K,D,j,lppd,lppd1,lppd2
101.0,101.0,1.0,1.0,1.0,-4.284113411333764,-3.7506325981779574,-4.817594224489559
101.0,101.0,10.0,1.0,1.0,-4.270290623977525,-3.7341171876946118,-4.806464060260487
101.0,101.0,20.0,1.0,1.0,-4.274120332048912,-3.736945835589978,-4.811294828507836
101.0,101.0,25.0,1.0,1.0,-4.271672009022173,-3.734928216529345,-4.808415801515006
101.0,101.0,5.0,1.0,1.0,-4.279854892255959,-3.740999890219685,-4.818709894292235
101.0,101.0,1.0,3.0,2.0,-4.063884762657429,-3.492842329681883,-4.634927195632973
101.0,101.0,10.0,3.0,2.0,-4.044843575660461,-3.449213358057856,-4.640473793263044
101.0,101.0,20.0,3.0,2.0,-4.042892624049697,-3.4393850992430552,-4.646400148856316
101.0,101.0,25.0,3.0,2.0,-4.026734407403169,-3.4451607580436896,-4.608308056762633
101.0,101.0,5.0,3.0,2.0,-4.04371480289025,-3.474398364902383,-4.613031240878057
101.0,102.0,1.0,1.0,1.0,-4.283986672312537,-3.7505319850428025,-4.8174413595823
101.0,102.0,10.0,1.0,1.0,-4.2761931648488485,-3.742374517214661,-4.810011812483079
101.0,102.0,25.0,1.0,1.0,-4.276640136882702,-3.7395328149070424,-4.813747458858379
101.0,102.0,5.0,1.0,1.0,-4.278789807670126,-3.7431537676513043,-4.814425847688953
101.0,102.0,1.0,3.0,2.0,-4.064844899280693,-3.4930533107012267,-4.63663648786015
101.0,102.0,10.0,3.0,2.0,-4.026447835877106,-3.4443091202636014,-4.608586551490602
101.0,102.0,25.0,3.0,2.0,-4.024795527791471,-3.447988475292299,-4.601602580290664
101.0,102.0,5.0,3.0,2.0,-4.02497352640981,-3.447293156558816,-4.602653896260786
102.0,101.0,1.0,1.0,1.0,-4.2176972716496195,-3.6839019866157066,-4.751492556683527
102.0,101.0,10.0,1.0,1.0,-4.207557143049621,-3.6718872196521355,-4.743227066447076
102.0,101.0,20.0,1.0,1.0,-4.203191407499485,-3.6642785714876336,-4.742104243511319
102.0,101.0,25.0,1.0,1.0,-4.208223870403866,-3.6696618590148806,-4.746785881792882
102.0,101.0,5.0,1.0,1.0,-4.216973883448623,-3.674641639611316,-4.759306127285947
102.0,101.0,1.0,3.0,2.0,-3.9568988470067663,-3.399500545188108,-4.514297148825407
102.0,101.0,10.0,3.0,2.0,-3.9322264650134393,-3.3604165709012883,-4.50403635912555
102.0,101.0,20.0,3.0,2.0,-3.919053022295531,-3.3526491379607655,-4.485456906630278
102.0,101.0,25.0,3.0,2.0,-3.923644691539095,-3.351354412505113,-4.495934970573012
102.0,101.0,5.0,3.0,2.0,-3.9369447857816082,-3.370687058329119,-4.503202513234078
102.0,102.0,1.0,1.0,1.0,-4.217996440757995,-3.6846391051682876,-4.751353776347708
102.0,102.0,10.0,1.0,1.0,-4.209488656916337,-3.679070399752228,-4.739906914080453
102.0,102.0,25.0,1.0,1.0,-4.206381056723603,-3.6726382501893315,-4.740123863257936
102.0,102.0,5.0,1.0,1.0,-4.20715863881471,-3.6716217202492873,-4.742695557380108
102.0,102.0,1.0,3.0,2.0,-3.9574232549573445,-3.399981533237331,-4.51486497667737
102.0,102.0,10.0,3.0,2.0,-3.9269034161471033,-3.3640920249529915,-4.489714807341202
