mask,chain,K,D,j,lppd
101.0,101.0,1.0,1.0,1.0,-3.5162379185555777
101.0,101.0,10.0,1.0,1.0,-3.420526754915057
101.0,101.0,20.0,1.0,1.0,-3.4199350659819507
101.0,101.0,5.0,1.0,1.0,-3.4302016737236483
101.0,101.0,1.0,3.0,2.0,-3.403765334943131
101.0,101.0,10.0,3.0,2.0,-3.2032101250013287
101.0,101.0,20.0,3.0,2.0,-3.1744866184379386
101.0,101.0,5.0,3.0,2.0,-3.2344576404899312
102.0,101.0,1.0,1.0,1.0,-3.5010933447317294
102.0,101.0,10.0,1.0,1.0,-3.424356309889862
102.0,101.0,20.0,1.0,1.0,-3.4248984603668053
102.0,101.0,5.0,1.0,1.0,-3.4339869632539357
102.0,101.0,1.0,3.0,2.0,-3.3647090255785552
102.0,101.0,10.0,3.0,2.0,-3.200940656280123
102.0,101.0,20.0,3.0,2.0,-3.1864894290752814
102.0,101.0,5.0,3.0,2.0,-3.2153361609109323
103.0,101.0,1.0,1.0,1.0,-3.495671326170747
103.0,101.0,10.0,1.0,1.0,-3.429567484390341
103.0,101.0,20.0,1.0,1.0,-3.4327657496384267
103.0,101.0,5.0,1.0,1.0,-3.4333851853376895
103.0,101.0,1.0,3.0,2.0,-3.359717908602121
103.0,101.0,10.0,3.0,2.0,-3.2095950733580167
103.0,101.0,20.0,3.0,2.0,-3.207298688750688
103.0,101.0,5.0,3.0,2.0,-3.2398953241152526
104.0,101.0,1.0,1.0,1.0,-3.513199776596871
104.0,101.0,10.0,1.0,1.0,-3.4314680438805976
104.0,101.0,20.0,1.0,1.0,-3.43296014565167
104.0,101.0,5.0,1.0,1.0,-3.435998019861097
104.0,101.0,1.0,3.0,2.0,-3.3988701546265743
104.0,101.0,10.0,3.0,2.0,-3.2142960654904154
104.0,101.0,20.0,3.0,2.0,-3.2066882171251674
104.0,101.0,5.0,3.0,2.0,-3.2361665255110754
105.0,101.0,1.0,1.0,1.0,-3.4993262983820252
105.0,101.0,10.0,1.0,1.0,-3.4083366079063815
105.0,101.0,20.0,1.0,1.0,-3.417534540280761
105.0,101.0,5.0,1.0,1.0,-3.425294597031934
105.0,101.0,1.0,3.0,2.0,-3.3721442895395595
105.0,101.0,10.0,3.0,2.0,-3.1816063599327755
105.0,101.0,20.0,3.0,2.0,-3.169569693901455
105.0,101.0,5.0,3.0,2.0,-3.1999347679850176
