K,D,maskSeed,chainSeed,inforate
10.0,1.0,101.0,101.0,-3.653108364252676
10.0,1.0,101.0,102.0,-3.653327467251653
10.0,1.0,101.0,103.0,-3.653469457441659
10.0,1.0,101.0,104.0,-3.653166788331415
10.0,1.0,102.0,101.0,-3.677535901119252
10.0,1.0,102.0,102.0,-3.6777006478209264
10.0,1.0,102.0,103.0,-3.6776728618663097
10.0,1.0,102.0,104.0,-3.6780283132206293
10.0,1.0,103.0,101.0,-3.658326984429066
10.0,1.0,103.0,102.0,-3.6588072994740153
10.0,1.0,103.0,103.0,-3.659030579891659
10.0,1.0,103.0,104.0,-3.65925731528779
10.0,1.0,104.0,101.0,-3.6590104814028175
10.0,1.0,104.0,102.0,-3.6589301359893125
10.0,1.0,104.0,103.0,-3.6589464941050203
10.0,1.0,104.0,104.0,-3.659126717953844
10.0,1.0,105.0,101.0,-3.639447193051093
10.0,1.0,105.0,102.0,-3.6393579187806666
10.0,1.0,105.0,103.0,-3.639354275323789
10.0,1.0,105.0,104.0,-3.639183635244131
10.0,2.0,101.0,101.0,-3.5849579827454128
10.0,2.0,101.0,102.0,-3.585577361398475
10.0,2.0,101.0,103.0,-3.5859864351474595
10.0,2.0,101.0,104.0,-3.585754048738185
10.0,2.0,102.0,101.0,-3.616424339489194
10.0,2.0,102.0,102.0,-3.6162514485787725
10.0,2.0,102.0,103.0,-3.616335765985908
10.0,2.0,102.0,104.0,-3.616413218908991
10.0,2.0,103.0,101.0,-3.5932793592893115
10.0,2.0,103.0,102.0,-3.593092934389962
10.0,2.0,103.0,103.0,-3.5937529050583534
10.0,2.0,103.0,104.0,-3.59318818499825
10.0,2.0,104.0,101.0,-3.593699752081654
10.0,2.0,104.0,102.0,-3.5948840440279857
10.0,2.0,104.0,103.0,-3.5934836136584196
10.0,2.0,104.0,104.0,-3.5943208073153863
10.0,2.0,105.0,101.0,-3.5662186400330236
10.0,2.0,105.0,102.0,-3.5667968789591638
10.0,2.0,105.0,103.0,-3.5661274254907807
10.0,2.0,105.0,104.0,-3.566931975440536
10.0,3.0,101.0,101.0,-3.572440762296363
10.0,3.0,101.0,102.0,-3.573473594385563
10.0,3.0,101.0,103.0,-3.572819587877521
10.0,3.0,101.0,104.0,-3.5735957662242153
10.0,3.0,102.0,101.0,-3.6075111910790496
10.0,3.0,102.0,102.0,-3.6077744790060007
10.0,3.0,102.0,103.0,-3.608059275991731
10.0,3.0,102.0,104.0,-3.608673597062402
10.0,3.0,103.0,101.0,-3.5850031382261034
10.0,3.0,103.0,102.0,-3.5892503204062414
10.0,3.0,103.0,103.0,-3.5863196813794613
10.0,3.0,103.0,104.0,-3.5850306936833345
10.0,3.0,104.0,101.0,-3.5829040254285762
10.0,3.0,104.0,102.0,-3.5852098392557403
10.0,3.0,104.0,103.0,-3.5849189027585955
10.0,3.0,104.0,104.0,-3.584836364673509
10.0,3.0,105.0,101.0,-3.5509378552358664
10.0,3.0,105.0,102.0,-3.551140654515697
10.0,3.0,105.0,103.0,-3.5509660635192537
10.0,3.0,105.0,104.0,-3.551452897742087
10.0,4.0,101.0,101.0,-3.5774796541696783
10.0,4.0,101.0,102.0,-3.5813645790997906
10.0,4.0,101.0,103.0,-3.582064799885296
10.0,4.0,101.0,104.0,-3.576335955181043
10.0,4.0,102.0,101.0,-3.615006467146649
10.0,4.0,102.0,102.0,-3.6154472773654924
10.0,4.0,102.0,103.0,-3.6187120661968444
10.0,4.0,102.0,104.0,-3.6148053351553115
10.0,4.0,103.0,101.0,-3.5915204529062694
10.0,4.0,103.0,102.0,-3.593862634941344
10.0,4.0,103.0,103.0,-3.592905573565916
10.0,4.0,103.0,104.0,-3.595214105788603
10.0,4.0,104.0,101.0,-3.5910350867450602
10.0,4.0,104.0,102.0,-3.5896437095725355
10.0,4.0,104.0,103.0,-3.590916018774042
10.0,4.0,104.0,104.0,-3.589377780313917
10.0,4.0,105.0,101.0,-3.5535844811417547
10.0,4.0,105.0,102.0,-3.554484139726148
10.0,4.0,105.0,103.0,-3.552911852945663
10.0,4.0,105.0,104.0,-3.5529252348064437
10.0,5.0,101.0,101.0,-3.5860344927352115
10.0,5.0,101.0,102.0,-3.591397294952727
