D,maskSeed,lppd
0.0,101.0,-3.5557424466631247
0.0,102.0,-3.5998017356255625
0.0,103.0,-3.6135266179344945
0.0,104.0,-3.5783831558502497
0.0,105.0,-3.5710942917344957
1.0,101.0,-3.642898537675971
1.0,102.0,-3.662445749340895
1.0,103.0,-3.663489290574062
1.0,104.0,-3.6472624796743074
1.0,105.0,-3.6510532166183634
3.0,101.0,-3.607697775634382
3.0,102.0,-3.645568599676886
3.0,103.0,-3.6351985068628037
3.0,104.0,-3.6131754243639937
3.0,105.0,-3.623427519042079
5.0,101.0,-3.754228634825934
5.0,102.0,-3.810802307120338
5.0,103.0,-3.7705026585815684
5.0,104.0,-3.7610679150945114
5.0,105.0,-3.768168435546226
7.0,101.0,-3.969101989760972
7.0,102.0,-4.044034165352034
7.0,103.0,-3.975239848401115
7.0,104.0,-3.9773834846586142
7.0,105.0,-3.9744141537660926
9.0,101.0,-4.2201632751342135
9.0,102.0,-4.313477505369509
9.0,103.0,-4.215141720293005
9.0,104.0,-4.229405457292455
9.0,105.0,-4.216134732854356
