originnum,destnum,indices,dist,Dmean,originlon,originlat,destlon,destlat
1,25,[9430 12713 13668 14490 15620 16284 17230 18224 19224 20007 21016 21972 22830 24729 25724 26403 27475 28319 29255 30465 31505 33118 33963 34368 34705 34970 35262 35781 36306 37015 37813 38589 39580 40268 41592],349,3.1,-106.608925,35.039976,-104.672996521,39.861698150635
2,25,[42213;;],1610,2.66,-73.80169677734375,42.74829864501953,-104.672996521,39.861698150635
2,52,[135 854 1519 2018 2893 3466 4425 4771 5448 6378 7130 7601 8333 8749 9571 10350 11247 11772 12320 13236 14098 15136 16060 16815 17517 17933 18710 19625 20414 20682 21518 22351 23252 23633 24133 25144 25903 26868 27294 27939 28849 29794 30128 30841 31838 32352 32610 33414 33893 34117 34439 36617 36659 37100 37314 37581 38012 38061 38284 38768 38943 39222 39747 39957 40520 40893 40991 41820 42157 42560],1073,1.08,-73.80169677734375,42.74829864501953,-81.30899810791016,28.429399490356445
2,78,[538 1374 2478 3073 4069 5055 5900 6508 7767 9069 10012 10679 11991 12814 13581 16351 17120 18329 19250 19793 21274 21960 22630 24839 25730 26380 27676 28315 29306 30452 31228 32055 32950 33666],1205,1.64,-73.80169677734375,42.74829864501953,-81.75520324707031,26.53619956970215
2,92,[35576 35715 35816 36150 36187 36439],120,3.66,-73.80169677734375,42.74829864501953,-76.1063003540039,43.11119842529297
3,25,[14 528 827 1261 1721 2031 2434 2687 3254 3656 3820 4467 4814 5200 5413 6036 6253 6518 7099 7572 8023 8185 8606 9208 9654 10087 10377 10803 11280 11636 12079 12581 12922 13180 13645 14115 14440 14768 15146 15570 15983 16278 16732 17208 17417 17915 18436 18625 19256 19501 19780 20327 20871 21212 21513 22021 22338 22749 23024 23390 23892 24324 24434 24551 24566 24797 25182 25551 25921 26253 26754 27266 27702 28183 28486 28872 29168 29835 30190 30635 30813 31451 31761 32046 32441 32717 33044 33286 33557 35337 35567 35724 35872 35998 36144 36255 36453 36500 36670 36845 37093 37356 37490 37618 37961 38087 38318 38451 38579 38797 38874 39086 39189 39357 39406 39609 39843 39911 40069 40141 40261 40382 40489 40640 40767 40810 40828 41078 41182 41270 41275 41404 41442 41526 41567 41730 41817 41930 41952 42171 42231 42484 42700 42702],1199,1.0,-84.428101,33.6367,-104.672996521,39.861698150635
3,30,[32 623 919 1322 1571 1917 2406 2859 3133 3516 3872 4286 4667 5078 5587 5868 6168 6708 7198 7501 7780 8269 8652 9194 9540 10060 10388 10724 11150 11696 11940 12530 12747 13291 14123 14524 14933 15156 15728 15886 16383 16794 17265 17486 17968 18443 18729 19119 19517 20038 20482 20614 21008 21674 21975 22331 22714 23136 23397 23758 23911 24334 24374 24508 24954 25400 25685 26026 26462 26905 27256 27637 28002 28443 28733 29329 29680 30026 30532 30995 31208 31705 32041 32507 32663 32967 33501],746,3.4,-84.428101,33.6367,-74.168701,40.692501
3,45,[430 1344 2402 3147 3792 5160 5801 6777 8001 9120 10120 10829 11924 12852 13749 15551 16378 17220 18276 19154 19955 21040 21884 22664 23803 24305 24981 25578 26528 27745 28543 29187 30653 31448 32106 33081],795,4.1,-84.428101,33.6367,-73.10019684,40.79520035
3,47,[110 383 951 1181 1702 1915 2469 2938 3287 3523 3963 4383 4711 5051 5581 6020 6330 6567 7091 7438 7871 8323 8597 9305 9614 10100 10288 10892 11092 11495 11889 12343 12763 13230 13664 14110 14386 14922 15145 15439 16044 16347 16718 17083 17394 17882 18456 18882 19292 19525 19941 20288 20838 20997 21512 21944 22184 22615 23149 23562 24301 24905 25392 25764 25945 26250 26774 27117 27571 27924 28507 28964 29327 29592 30047 30427 31051 31248 31871 35544 35855 36137 36425 36811 36999 37122 37306 37544 37765 37916 38244 38403 38789 38909 39291 39509 39771 39997 40370 40459 40801 41162 41618 41768 42051 42217 42555 42655],1747,1.0,-84.428101,33.6367,-115.151817,36.083361
3,48,[544 1386 2264 3121 4003 5264 5805 6598 7775 9003 10084 10840 11928 12733 13714 14547 15668 16271 17054 18357 19206 20033 21199 21996 22652 24881 25593 26457 27652 28362 29294 30596 31439 32182 33111 33623],1947,3.5,-84.428101,33.6367,-118.407997,33.942501
