originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
1,25,ABQ,DEN,4,0.9999580049876007,-106.608925,35.039976,-104.672996521,39.861698150635
2,25,ALB,DEN,5,0.3610201424320551,-73.80169677734375,42.74829864501953,-104.672996521,39.861698150635
2,52,ALB,MCO,3,0.9999999999999997,-73.80169677734375,42.74829864501953,-81.30899810791016,28.429399490356445
2,78,ALB,RSW,3,0.9999999999701573,-73.80169677734375,42.74829864501953,-81.75520324707031,26.53619956970215
2,92,ALB,SYR,4,0.9279464235614203,-73.80169677734375,42.74829864501953,-76.1063003540039,43.11119842529297
3,25,ATL,DEN,5,1.0,-84.428101,33.6367,-104.672996521,39.861698150635
3,30,ATL,EWR,4,1.0,-84.428101,33.6367,-74.168701,40.692501
3,45,ATL,ISP,4,1.0,-84.428101,33.6367,-73.10019684,40.79520035
3,47,ATL,LAS,5,1.0,-84.428101,33.6367,-115.151817,36.083361
3,48,ATL,LAX,3,0.9999999999995604,-84.428101,33.6367,-118.407997,33.942501
3,49,ATL,LGA,4,1.0,-84.428101,33.6367,-73.872597,40.777199
3,52,ATL,MCO,4,1.0,-84.428101,33.6367,-81.30899810791016,28.429399490356445
3,55,ATL,MIA,4,1.0,-84.428101,33.6367,-80.29060363769531,25.79319953918457
3,69,ATL,PHL,4,1.0,-84.428101,33.6367,-75.241096,39.871899
3,76,ATL,RDU,1,0.9999999919828523,-84.428101,33.6367,-78.787498,35.877602
3,84,ATL,SFO,3,1.0,-84.428101,33.6367,-122.374821,37.619806
3,86,ATL,SJU,4,1.0,-84.428101,33.6367,-66.001801,18.4394
3,87,ATL,SLC,3,0.9999999999999982,-84.428101,33.6367,-111.979866,40.78886
3,93,ATL,TPA,4,0.9999999999996523,-84.428101,33.6367,-82.533203,27.9755
3,94,ATL,TTN,4,1.0,-84.428101,33.6367,-74.813499,40.276699
4,25,AUS,DEN,4,1.0,-97.662015,30.197535,-104.672996521,39.861698150635
4,41,AUS,IAD,4,1.0,-97.662015,30.197535,-77.455803,38.9445
4,47,AUS,LAS,1,0.9999999999999634,-97.662015,30.197535,-115.151817,36.083361
4,52,AUS,MCO,4,1.0,-97.662015,30.197535,-81.30899810791016,28.429399490356445
4,60,AUS,MSY,4,1.0,-97.662015,30.197535,-90.258003,29.993401
4,64,AUS,ONT,5,0.9932715692792153,-97.662015,30.197535,-117.600998,34.056
4,79,AUS,SAN,5,0.9999976682719017,-97.662015,30.197535,-117.190002441,32.7336006165
4,84,AUS,SFO,5,0.9999999999508855,-97.662015,30.197535,-122.374821,37.619806
4,87,AUS,SLC,5,0.9999999995663333,-97.662015,30.197535,-111.979866,40.78886
5,13,BDL,BTV,4,0.9146274825887902,-72.688066,41.93851,-73.153297,44.471901
5,25,BDL,DEN,5,0.5290290008631946,-72.688066,41.93851,-104.672996521,39.861698150635
5,52,BDL,MCO,3,0.9999999999999932,-72.688066,41.93851,-81.30899810791016,28.429399490356445
5,55,BDL,MIA,3,0.9999993891705041,-72.688066,41.93851,-80.29060363769531,25.79319953918457
6,25,BFM,DEN,5,0.9999998502429541,-88.06809997559999,30.626800537100003,-104.672996521,39.861698150635
6,52,BFM,MCO,1,0.6732172449006635,-88.06809997559999,30.626800537100003,-81.30899810791016,28.429399490356445
7,16,BIL,BZN,3,0.4106668197053892,-108.542999,45.807701,-111.153,45.7775
7,25,BIL,DEN,4,0.9999999515452915,-108.542999,45.807701,-104.672996521,39.861698150635
8,25,BIS,DEN,4,0.86217996411968,-100.74600219726562,46.772701263427734,-104.672996521,39.861698150635
9,25,BKG,DEN,1,0.9613684660915472,-93.1991,36.5385,-104.672996521,39.861698150635
10,25,BMI,DEN,4,0.9999700454304024,-88.915901,40.4771,-104.672996521,39.861698150635
10,52,BMI,MCO,4,0.999999999999991,-88.915901,40.4771,-81.30899810791016,28.429399490356445
11,25,BNA,DEN,5,0.9999999999945338,-86.6782,36.1245,-104.672996521,39.861698150635
11,47,BNA,LAS,3,0.999999986895052,-86.6782,36.1245,-115.151817,36.083361
11,52,BNA,MCO,4,1.0,-86.6782,36.1245,-81.30899810791016,28.429399490356445
11,65,BNA,ORD,4,0.44897968743692,-86.6782,36.1245,-87.9048,41.9786
