originnum,destnum,origin,destination,cluster,originlon,originlat,destlon,destlat
1,25,ABQ,DEN,4,-106.608925,35.039976,-104.672996521,39.861698150635
2,25,ALB,DEN,3,-73.80169677734375,42.74829864501953,-104.672996521,39.861698150635
2,52,ALB,MCO,1,-73.80169677734375,42.74829864501953,-81.30899810791016,28.429399490356445
2,78,ALB,RSW,1,-73.80169677734375,42.74829864501953,-81.75520324707031,26.53619956970215
2,92,ALB,SYR,2,-73.80169677734375,42.74829864501953,-76.1063003540039,43.11119842529297
3,25,ATL,DEN,3,-84.428101,33.6367,-104.672996521,39.861698150635
3,30,ATL,EWR,4,-84.428101,33.6367,-74.168701,40.692501
3,45,ATL,ISP,4,-84.428101,33.6367,-73.10019684,40.79520035
3,47,ATL,LAS,3,-84.428101,33.6367,-115.151817,36.083361
3,48,ATL,LAX,1,-84.428101,33.6367,-118.407997,33.942501
3,49,ATL,LGA,4,-84.428101,33.6367,-73.872597,40.777199
3,52,ATL,MCO,4,-84.428101,33.6367,-81.30899810791016,28.429399490356445
3,55,ATL,MIA,4,-84.428101,33.6367,-80.29060363769531,25.79319953918457
3,69,ATL,PHL,4,-84.428101,33.6367,-75.241096,39.871899
3,76,ATL,RDU,3,-84.428101,33.6367,-78.787498,35.877602
3,84,ATL,SFO,3,-84.428101,33.6367,-122.374821,37.619806
3,86,ATL,SJU,4,-84.428101,33.6367,-66.001801,18.4394
3,87,ATL,SLC,1,-84.428101,33.6367,-111.979866,40.78886
3,93,ATL,TPA,4,-84.428101,33.6367,-82.533203,27.9755
3,94,ATL,TTN,4,-84.428101,33.6367,-74.813499,40.276699
4,25,AUS,DEN,4,-97.662015,30.197535,-104.672996521,39.861698150635
4,41,AUS,IAD,4,-97.662015,30.197535,-77.455803,38.9445
4,47,AUS,LAS,2,-97.662015,30.197535,-115.151817,36.083361
4,52,AUS,MCO,4,-97.662015,30.197535,-81.30899810791016,28.429399490356445
4,60,AUS,MSY,4,-97.662015,30.197535,-90.258003,29.993401
4,64,AUS,ONT,3,-97.662015,30.197535,-117.600998,34.056
4,79,AUS,SAN,2,-97.662015,30.197535,-117.190002441,32.7336006165
4,84,AUS,SFO,2,-97.662015,30.197535,-122.374821,37.619806
4,87,AUS,SLC,3,-97.662015,30.197535,-111.979866,40.78886
