K,Q,D,mask,lppd
1.0,1.0,1.0,101.0,-4.521700180763724
5.0,1.0,1.0,101.0,-4.339609567267006
10.0,1.0,1.0,101.0,-4.299378970540404
25.0,1.0,1.0,101.0,-4.301742914014122
1.0,3.0,1.0,101.0,-4.31479182224784
5.0,3.0,1.0,101.0,-4.234500738781135
10.0,3.0,1.0,101.0,-4.179921890243168
25.0,3.0,1.0,101.0,-4.203532341747874
1.0,5.0,1.0,101.0,-4.225099516039372
5.0,5.0,1.0,101.0,-4.141799412886169
10.0,5.0,1.0,101.0,-4.122162793781554
25.0,5.0,1.0,101.0,-4.1085657457010925
1.0,1.0,2.0,101.0,-4.533266661582658
5.0,1.0,2.0,101.0,-4.368413019141758
10.0,1.0,2.0,101.0,-4.344509831413583
25.0,1.0,2.0,101.0,-4.473362631072467
1.0,3.0,2.0,101.0,-4.377769005071576
5.0,3.0,2.0,101.0,-4.239524071430672
10.0,3.0,2.0,101.0,-4.2183210971097
25.0,3.0,2.0,101.0,-4.267696386812214
1.0,5.0,2.0,101.0,-4.260923446563539
5.0,5.0,2.0,101.0,-4.16500269224629
10.0,5.0,2.0,101.0,-4.193953675975376
25.0,5.0,2.0,101.0,-4.30678428236836
1.0,1.0,3.0,101.0,-4.5608806162306195
5.0,1.0,3.0,101.0,-4.414466902303614
10.0,1.0,3.0,101.0,-4.418251841077042
25.0,1.0,3.0,101.0,-4.565501739379355
1.0,3.0,3.0,101.0,-4.422179898766344
5.0,3.0,3.0,101.0,-4.286871015103396
10.0,3.0,3.0,101.0,-4.319520524836372
25.0,3.0,3.0,101.0,-4.352657843191968
1.0,5.0,3.0,101.0,-4.426942587224482
5.0,5.0,3.0,101.0,-4.227414797228406
10.0,5.0,3.0,101.0,-4.244962448457205
25.0,5.0,3.0,101.0,-4.339825808033029
1.0,1.0,1.0,102.0,-4.62351645858197
5.0,1.0,1.0,102.0,-4.421511610116939
10.0,1.0,1.0,102.0,-4.4198368815176865
25.0,1.0,1.0,102.0,-4.380959958793905
1.0,3.0,1.0,102.0,-4.391894481312058
5.0,3.0,1.0,102.0,-4.283565446559947
10.0,3.0,1.0,102.0,-4.280790614846478
25.0,3.0,1.0,102.0,-4.276834242889042
1.0,5.0,1.0,102.0,-4.274535967776668
5.0,5.0,1.0,102.0,-4.210741803611153
10.0,5.0,1.0,102.0,-4.176568744085157
25.0,5.0,1.0,102.0,-4.154008963902955
1.0,1.0,2.0,102.0,-4.571812349189109
5.0,1.0,2.0,102.0,-4.421799268885976
10.0,1.0,2.0,102.0,-4.428661730957762
25.0,1.0,2.0,102.0,-4.3955395959911
1.0,3.0,2.0,102.0,-4.423531786179089
5.0,3.0,2.0,102.0,-4.295725696035201
10.0,3.0,2.0,102.0,-4.265925668565876
25.0,3.0,2.0,102.0,-4.279863977247947
1.0,5.0,2.0,102.0,-4.308503750195856
5.0,5.0,2.0,102.0,-4.247467368605752
10.0,5.0,2.0,102.0,-4.229217221092951
25.0,5.0,2.0,102.0,-4.233302953969611
10.0,1.0,3.0,102.0,-4.496837115917948
10.0,3.0,3.0,102.0,-4.349254245033313
10.0,5.0,3.0,102.0,-4.309921276009071
1.0,1.0,3.0,102.0,-4.60106622363757
1.0,3.0,3.0,102.0,-4.544994485730211
1.0,5.0,3.0,102.0,-4.422644185244401
25.0,1.0,3.0,102.0,-4.5633312979115
25.0,3.0,3.0,102.0,-4.410699047974524
25.0,5.0,3.0,102.0,-4.332451758646258
5.0,1.0,3.0,102.0,-4.475880700456646
5.0,3.0,3.0,102.0,-4.364054018223435
5.0,5.0,3.0,102.0,-4.300273758736369
1.0,1.0,1.0,103.0,-4.569647512462297
5.0,1.0,1.0,103.0,-4.383860710052899
10.0,1.0,1.0,103.0,-4.345918747962157
25.0,1.0,1.0,103.0,-4.3228261266341885
1.0,3.0,1.0,103.0,-4.364713396242661
5.0,3.0,1.0,103.0,-4.2329150348895865
10.0,3.0,1.0,103.0,-4.2025240523930485
25.0,3.0,1.0,103.0,-4.1982464832216815
1.0,5.0,1.0,103.0,-4.2724917223640855
5.0,5.0,1.0,103.0,-4.188589481076612
10.0,5.0,1.0,103.0,-4.164153749103303
25.0,5.0,1.0,103.0,-4.136355380942938
1.0,1.0,2.0,103.0,-4.586743060259242
5.0,1.0,2.0,103.0,-4.4135858727450845
10.0,1.0,2.0,103.0,-4.377100704019012
25.0,1.0,2.0,103.0,-4.5225527103515635
1.0,3.0,2.0,103.0,-4.408151937218362
5.0,3.0,2.0,103.0,-4.257025322942614
10.0,3.0,2.0,103.0,-4.286547396633574
25.0,3.0,2.0,103.0,-4.294024289713126
1.0,5.0,2.0,103.0,-4.322900647950251
5.0,5.0,2.0,103.0,-4.2287860763005565
10.0,5.0,2.0,103.0,-4.218459166407558
25.0,5.0,2.0,103.0,-4.280464727446389
1.0,1.0,3.0,103.0,-4.6246071923262715
5.0,1.0,3.0,103.0,-4.467177620114659
10.0,1.0,3.0,103.0,-4.553522709908942
25.0,1.0,3.0,103.0,-4.711991874423272
1.0,3.0,3.0,103.0,-4.459987190422281
5.0,3.0,3.0,103.0,-4.309783784353361
10.0,3.0,3.0,103.0,-4.32946247010252
25.0,3.0,3.0,103.0,-4.378205387802987
1.0,5.0,3.0,103.0,-4.44904093409798
5.0,5.0,3.0,103.0,-4.320559319927228
10.0,5.0,3.0,103.0,-4.315401614115353
25.0,5.0,3.0,103.0,-4.457395066213261
1.0,1.0,1.0,104.0,-4.534492479935981
5.0,1.0,1.0,104.0,-4.350570192724475
10.0,1.0,1.0,104.0,-4.312496180741559
25.0,1.0,1.0,104.0,-4.292799449862485
1.0,3.0,1.0,104.0,-4.3179231550865795
5.0,3.0,1.0,104.0,-4.222736602367876
10.0,3.0,1.0,104.0,-4.192729347136009
25.0,3.0,1.0,104.0,-4.2068400655226
1.0,5.0,1.0,104.0,-4.270585241837053
5.0,5.0,1.0,104.0,-4.187937487359821
10.0,5.0,1.0,104.0,-4.154890945819704
25.0,5.0,1.0,104.0,-4.147475803965175
1.0,1.0,2.0,104.0,-4.545952391580441
5.0,1.0,2.0,104.0,-4.375553844401288
10.0,1.0,2.0,104.0,-4.3802144037854065
25.0,1.0,2.0,104.0,-4.325230264718508
1.0,3.0,2.0,104.0,-4.418170465439536
5.0,3.0,2.0,104.0,-4.24091159515767
10.0,3.0,2.0,104.0,-4.267503757682121
25.0,3.0,2.0,104.0,-4.247488523403975
1.0,5.0,2.0,104.0,-4.310105480004514
5.0,5.0,2.0,104.0,-4.204832001594809
10.0,5.0,2.0,104.0,-4.189940591097093
25.0,5.0,2.0,104.0,-4.177602672231311
10.0,1.0,3.0,104.0,-4.5662923495230565
10.0,3.0,3.0,104.0,-4.306174657363827
10.0,5.0,3.0,104.0,-4.566376452073715
1.0,1.0,3.0,104.0,-4.571079758063509
1.0,3.0,3.0,104.0,-4.46325643845598
1.0,5.0,3.0,104.0,-4.381606590524966
25.0,1.0,3.0,104.0,-4.827765192688832
25.0,3.0,3.0,104.0,-4.492462676135675
25.0,5.0,3.0,104.0,-4.581953373580685
5.0,1.0,3.0,104.0,-4.417056780541643
5.0,3.0,3.0,104.0,-4.291669683611237
5.0,5.0,3.0,104.0,-4.268868701120063
