K,Q,D,mask,chain,burnin,lppd
10.0,1.0,1.0,101.0,101.0,10000.0,-4.309649613086882
10.0,3.0,1.0,101.0,101.0,10000.0,-4.207601699083015
10.0,5.0,1.0,101.0,101.0,10000.0,-4.183239781422248
1.0,1.0,1.0,101.0,101.0,10000.0,-4.522231160934979
1.0,3.0,1.0,101.0,101.0,10000.0,-4.317299997810346
1.0,5.0,1.0,101.0,101.0,10000.0,-4.227657079042074
25.0,1.0,1.0,101.0,101.0,10000.0,-4.337182835648741
25.0,3.0,1.0,101.0,101.0,10000.0,-4.238730806367589
25.0,5.0,1.0,101.0,101.0,10000.0,-4.141423981474201
5.0,1.0,1.0,101.0,101.0,10000.0,-4.343601153057757
5.0,3.0,1.0,101.0,101.0,10000.0,-4.2633822352986614
5.0,5.0,1.0,101.0,101.0,10000.0,-4.179486563967372
10.0,1.0,2.0,101.0,101.0,10000.0,-4.382093394777959
10.0,3.0,2.0,101.0,101.0,10000.0,-4.311232190225237
10.0,5.0,2.0,101.0,101.0,10000.0,-4.255049380865943
1.0,1.0,2.0,101.0,101.0,10000.0,-4.534585201137714
1.0,3.0,2.0,101.0,101.0,10000.0,-4.373596248469947
1.0,5.0,2.0,101.0,101.0,10000.0,-4.292943385139214
25.0,1.0,2.0,101.0,101.0,10000.0,-4.6560727728888365
25.0,3.0,2.0,101.0,101.0,10000.0,-4.531569777113385
25.0,5.0,2.0,101.0,101.0,10000.0,-4.519768821870994
5.0,1.0,2.0,101.0,101.0,10000.0,-4.403334978194303
5.0,3.0,2.0,101.0,101.0,10000.0,-4.301720929351695
5.0,5.0,2.0,101.0,101.0,10000.0,-4.217738190779983
10.0,1.0,3.0,101.0,101.0,10000.0,-4.530624057599206
10.0,3.0,3.0,101.0,101.0,10000.0,-4.542892045603616
10.0,5.0,3.0,101.0,101.0,10000.0,-4.4587981894447735
1.0,1.0,3.0,101.0,101.0,10000.0,-4.563645639503532
1.0,3.0,3.0,101.0,101.0,10000.0,-4.428370181001103
1.0,5.0,3.0,101.0,101.0,10000.0,-4.55739206925647
25.0,1.0,3.0,101.0,101.0,10000.0,-5.059866239953427
25.0,3.0,3.0,101.0,101.0,10000.0,-4.765822245748051
25.0,5.0,3.0,101.0,101.0,10000.0,-4.910845069661137
5.0,1.0,3.0,101.0,101.0,10000.0,-4.458468248510211
5.0,3.0,3.0,101.0,101.0,10000.0,-4.377330599351362
5.0,5.0,3.0,101.0,101.0,10000.0,-4.30103054358527
10.0,1.0,1.0,101.0,102.0,10000.0,-4.309670138965386
10.0,3.0,1.0,101.0,102.0,10000.0,-4.248900251325002
10.0,5.0,1.0,101.0,102.0,10000.0,-4.1459869574776125
1.0,3.0,1.0,101.0,102.0,10000.0,-4.3272940182938715
1.0,5.0,1.0,101.0,102.0,10000.0,-4.236829011341768
25.0,1.0,1.0,101.0,102.0,10000.0,-4.350169836353857
25.0,3.0,1.0,101.0,102.0,10000.0,-4.2253045865050955
25.0,5.0,1.0,101.0,102.0,10000.0,-4.153003317193576
5.0,1.0,1.0,101.0,102.0,10000.0,-4.347484361603748
5.0,3.0,1.0,101.0,102.0,10000.0,-4.2549371169351184
5.0,5.0,1.0,101.0,102.0,10000.0,-4.16279648681101
10.0,1.0,2.0,101.0,102.0,10000.0,-4.378691795785162
10.0,3.0,2.0,101.0,102.0,10000.0,-4.293738675849014
10.0,5.0,2.0,101.0,102.0,10000.0,-4.2186164754169315
1.0,1.0,2.0,101.0,102.0,10000.0,-4.535604265445889
1.0,3.0,2.0,101.0,102.0,10000.0,-4.379381549484486
1.0,5.0,2.0,101.0,102.0,10000.0,-4.270177959941133
25.0,1.0,2.0,101.0,102.0,10000.0,-4.719627226264846
25.0,3.0,2.0,101.0,102.0,10000.0,-4.527609004310453
25.0,5.0,2.0,101.0,102.0,10000.0,-4.366104599317847
5.0,1.0,2.0,101.0,102.0,10000.0,-4.3780244048991355
5.0,3.0,2.0,101.0,102.0,10000.0,-4.3129459020222845
5.0,5.0,2.0,101.0,102.0,10000.0,-4.211497597399758
1.0,3.0,3.0,101.0,102.0,10000.0,-4.4320299073107945
1.0,5.0,3.0,101.0,102.0,10000.0,-4.423859458324409
5.0,1.0,3.0,101.0,102.0,10000.0,-4.458641933711105
5.0,3.0,3.0,101.0,102.0,10000.0,-4.354578643752511
5.0,5.0,3.0,101.0,102.0,10000.0,-4.2896147542818355
10.0,1.0,1.0,102.0,101.0,10000.0,-4.451751226521236
10.0,3.0,1.0,102.0,101.0,10000.0,-4.339451967613439
10.0,5.0,1.0,102.0,101.0,10000.0,-4.211665382627327
1.0,1.0,1.0,102.0,101.0,10000.0,-4.634242878961866
1.0,3.0,1.0,102.0,101.0,10000.0,-4.397953916587226
1.0,5.0,1.0,102.0,101.0,10000.0,-4.278249629302878
25.0,1.0,1.0,102.0,101.0,10000.0,-4.397254350079151
25.0,3.0,1.0,102.0,101.0,10000.0,-4.325024391025712
25.0,5.0,1.0,102.0,101.0,10000.0,-4.191180968146185
5.0,1.0,1.0,102.0,101.0,10000.0,-4.454935611109309
5.0,3.0,1.0,102.0,101.0,10000.0,-4.315095357984721
5.0,5.0,1.0,102.0,101.0,10000.0,-4.2525695083485635
10.0,1.0,2.0,102.0,101.0,10000.0,-4.467163702839757
10.0,3.0,2.0,102.0,101.0,10000.0,-4.389388874549923
10.0,5.0,2.0,102.0,101.0,10000.0,-4.2741570175563
1.0,1.0,2.0,102.0,101.0,10000.0,-4.577529010071864
1.0,3.0,2.0,102.0,101.0,10000.0,-4.430453718524949
1.0,5.0,2.0,102.0,101.0,10000.0,-4.314772807293309
25.0,1.0,2.0,102.0,101.0,10000.0,-4.4926676345821415
25.0,3.0,2.0,102.0,101.0,10000.0,-4.401187956315517
25.0,5.0,2.0,102.0,101.0,10000.0,-4.392926028544088
5.0,1.0,2.0,102.0,101.0,10000.0,-4.4622804517512895
5.0,3.0,2.0,102.0,101.0,10000.0,-4.3261759503658475
5.0,5.0,2.0,102.0,101.0,10000.0,-4.324189827399721
10.0,1.0,3.0,102.0,101.0,10000.0,-4.533389010828972
10.0,3.0,3.0,102.0,101.0,10000.0,-4.51208502804947
