K,Q,D,j,mask,lppd
10.0,1.0,1.0,1.0,101.0,-4.212262867531618
10.0,3.0,1.0,1.0,101.0,-4.122868739328323
10.0,5.0,1.0,1.0,101.0,-3.9841928322719764
1.0,1.0,1.0,1.0,101.0,-4.31812800363317
1.0,3.0,1.0,1.0,101.0,-4.2067741740008575
1.0,5.0,1.0,1.0,101.0,-4.196786898939157
25.0,1.0,1.0,1.0,101.0,-4.294420916019981
25.0,3.0,1.0,1.0,101.0,-4.162467597647087
25.0,5.0,1.0,1.0,101.0,-3.9914572094923337
5.0,1.0,1.0,1.0,101.0,-4.253616930960721
5.0,3.0,1.0,1.0,101.0,-4.113937496251807
5.0,5.0,1.0,1.0,101.0,-3.974960327141756
10.0,1.0,3.0,2.0,101.0,-4.30649825527081
10.0,3.0,3.0,2.0,101.0,-4.690730484579277
10.0,5.0,3.0,2.0,101.0,-4.637128636048779
1.0,1.0,3.0,2.0,101.0,-4.5801700768209175
1.0,3.0,3.0,2.0,101.0,-4.617215523658589
1.0,5.0,3.0,2.0,101.0,-4.966901681914747
25.0,1.0,3.0,2.0,101.0,-4.549471581002474
25.0,3.0,3.0,2.0,101.0,-4.873258113014617
25.0,5.0,3.0,2.0,101.0,-4.326995062678401
5.0,1.0,3.0,2.0,101.0,-4.791953967892165
5.0,3.0,3.0,2.0,101.0,-4.73956106230289
5.0,5.0,3.0,2.0,101.0,-4.328715450572338
10.0,1.0,1.0,1.0,102.0,-4.456560037049632
10.0,3.0,1.0,1.0,102.0,-4.276337175652815
10.0,5.0,1.0,1.0,102.0,-4.273150001355204
1.0,1.0,1.0,1.0,102.0,-4.682333802057789
1.0,3.0,1.0,1.0,102.0,-4.416555336865412
1.0,5.0,1.0,1.0,102.0,-4.333360567527344
25.0,1.0,1.0,1.0,102.0,-4.5497760402220955
25.0,3.0,1.0,1.0,102.0,-4.661352907448021
25.0,5.0,1.0,1.0,102.0,-4.426078358199379
5.0,1.0,1.0,1.0,102.0,-4.468398404888966
5.0,3.0,1.0,1.0,102.0,-4.320758828576742
5.0,5.0,1.0,1.0,102.0,-4.276116833831522
10.0,1.0,3.0,2.0,102.0,-4.593847818841615
10.0,3.0,3.0,2.0,102.0,-5.008722729206914
10.0,5.0,3.0,2.0,102.0,-4.451105895436315
1.0,1.0,3.0,2.0,102.0,-4.952387703875448
1.0,3.0,3.0,2.0,102.0,-4.687150141547876
1.0,5.0,3.0,2.0,102.0,-4.699233882800998
25.0,1.0,3.0,2.0,102.0,-4.940783626809285
25.0,3.0,3.0,2.0,102.0,-4.448624450142747
25.0,5.0,3.0,2.0,102.0,-4.532169905785501
5.0,1.0,3.0,2.0,102.0,-4.59163775703863
5.0,3.0,3.0,2.0,102.0,-4.780381052867219
5.0,5.0,3.0,2.0,102.0,-4.575430745115273
10.0,1.0,1.0,1.0,103.0,-4.747864047032126
10.0,3.0,1.0,1.0,103.0,-4.553612830463855
10.0,5.0,1.0,1.0,103.0,-4.556762029992331
1.0,1.0,1.0,1.0,103.0,-4.94917214407416
1.0,3.0,1.0,1.0,103.0,-4.720619872356795
1.0,5.0,1.0,1.0,103.0,-4.680093624941525
25.0,1.0,1.0,1.0,103.0,-4.696741744741773
25.0,3.0,1.0,1.0,103.0,-4.484082051407372
25.0,5.0,1.0,1.0,103.0,-4.4855103244507815
5.0,1.0,1.0,1.0,103.0,-4.788249546451904
5.0,3.0,1.0,1.0,103.0,-4.540465979653295
5.0,5.0,1.0,1.0,103.0,-4.5769104583372915
10.0,1.0,3.0,2.0,103.0,-4.994347118460414
10.0,3.0,3.0,2.0,103.0,-4.845685463458256
10.0,5.0,3.0,2.0,103.0,-4.942984120794867
1.0,1.0,3.0,2.0,103.0,-5.245342520251314
1.0,3.0,3.0,2.0,103.0,-4.958620507205933
1.0,5.0,3.0,2.0,103.0,-5.208858447277292
25.0,1.0,3.0,2.0,103.0,-5.1181115573471
25.0,3.0,3.0,2.0,103.0,-4.849595055000231
25.0,5.0,3.0,2.0,103.0,-4.643470326171816
5.0,1.0,3.0,2.0,103.0,-4.977193996528
5.0,3.0,3.0,2.0,103.0,-4.958512384980491
5.0,5.0,3.0,2.0,103.0,-4.701655350980979
10.0,1.0,1.0,1.0,104.0,-4.558020112796089
10.0,3.0,1.0,1.0,104.0,-4.607100560542371
10.0,5.0,1.0,1.0,104.0,-4.412223905385074
1.0,1.0,1.0,1.0,104.0,-4.766134594050807
1.0,3.0,1.0,1.0,104.0,-6.197924853932525
1.0,5.0,1.0,1.0,104.0,-4.929412021839644
25.0,1.0,1.0,1.0,104.0,-4.664090042521997
25.0,3.0,1.0,1.0,104.0,-4.752845732585155
25.0,5.0,1.0,1.0,104.0,-4.538641897344671
5.0,1.0,1.0,1.0,104.0,-4.59320683905786
5.0,3.0,1.0,1.0,104.0,-4.718221946058955
5.0,5.0,1.0,1.0,104.0,-4.601482785055728
10.0,1.0,3.0,2.0,104.0,-4.745083511473682
10.0,3.0,3.0,2.0,104.0,-5.030205370537819
10.0,5.0,3.0,2.0,104.0,-5.330789437278496
1.0,1.0,3.0,2.0,104.0,-5.198584665767773
1.0,3.0,3.0,2.0,104.0,-5.324302512232496
1.0,5.0,3.0,2.0,104.0,-5.114213038771911
25.0,1.0,3.0,2.0,104.0,-4.84240778452544
25.0,3.0,3.0,2.0,104.0,-4.777918211891543
25.0,5.0,3.0,2.0,104.0,-5.535352746518592
5.0,1.0,3.0,2.0,104.0,-4.917695872040308
5.0,3.0,3.0,2.0,104.0,-4.978231650953951
5.0,5.0,3.0,2.0,104.0,-4.761909550980735
