K,Q,D,j,mask,lppd1,lppd2,lppd3
10.0,1.0,1.0,1.0,101.0,-0.4208024708956775,-4.334145801979315,-10.411945842786842
10.0,3.0,1.0,1.0,101.0,-0.4592271798921754,-4.074273559304546,-10.371076508552067
10.0,5.0,1.0,1.0,101.0,-0.4495663661971088,-4.001060957418281,-9.91368539645933
1.0,1.0,1.0,1.0,101.0,-0.5946375390592769,-4.383113171603157,-10.491360923660299
1.0,3.0,1.0,1.0,101.0,-0.5524642342755273,-4.133040736960886,-10.478171447586254
1.0,5.0,1.0,1.0,101.0,-0.4804209156988116,-4.05074076359032,-10.68468045007588
25.0,1.0,1.0,1.0,101.0,-0.4721463487855859,-4.2483577464070335,-10.805995024733594
25.0,3.0,1.0,1.0,101.0,-0.476075542392716,-4.05091246425205,-10.546466952029657
25.0,5.0,1.0,1.0,101.0,-0.4934379851149157,-3.9941281017349977,-9.881245617369073
5.0,1.0,1.0,1.0,101.0,-0.43234271978848543,-4.3695989917167966,-10.5126683708066
5.0,3.0,1.0,1.0,101.0,-0.4316250086463268,-4.074956022620092,-10.37872300989369
5.0,5.0,1.0,1.0,101.0,-0.42633040129404615,-4.011889488126524,-9.896994377662157
10.0,1.0,3.0,2.0,101.0,-0.5356434278041762,-4.165837512876436,-10.877865483612752
10.0,3.0,3.0,2.0,101.0,-0.5122981564927191,-4.056375591337364,-12.713049378976303
10.0,5.0,3.0,2.0,101.0,-0.49654204826720216,-3.994028113290557,-12.609217805484551
1.0,1.0,3.0,2.0,101.0,-0.827206431606719,-4.267935892097931,-11.386978175931127
1.0,3.0,3.0,2.0,101.0,-0.6148688951899332,-4.091334519646635,-12.17493043811058
1.0,5.0,3.0,2.0,101.0,-0.5460301793907345,-4.058523073056171,-13.821887676592464
25.0,1.0,3.0,2.0,101.0,-0.6056816898422602,-4.096801009691518,-11.895196665534606
25.0,3.0,3.0,2.0,101.0,-0.5587045393717264,-4.0185430466952745,-13.466037456194918
25.0,5.0,3.0,2.0,101.0,-0.5591862744387388,-3.947299758302347,-11.263242327719114
5.0,1.0,3.0,2.0,101.0,-0.5683393486666549,-4.189029000608979,-12.841750124984433
5.0,3.0,3.0,2.0,101.0,-0.5045996608417168,-4.061050920645861,-12.925477478562726
5.0,5.0,3.0,2.0,101.0,-0.4811369066965143,-4.017531999911291,-11.29331669470143
10.0,1.0,1.0,1.0,102.0,-0.4294384945957019,-4.132338433414216,-9.814495411603154
10.0,3.0,1.0,1.0,102.0,-0.43873126398306883,-3.8485289608233164,-9.541908778742165
10.0,5.0,1.0,1.0,102.0,-0.43186485427230303,-3.753782122194464,-9.666315329772628
1.0,1.0,1.0,1.0,102.0,-0.6069395395771275,-4.216867879344904,-10.289164307848122
