K,Q,D,j,mask,lppd1,lpp2
10.0,1.0,1.0,1.0,101.0,-1.809197684869683,-9.161149580340355
10.0,3.0,1.0,1.0,101.0,-1.7247701323761548,-9.061527256615959
10.0,5.0,1.0,1.0,101.0,-1.653803464701449,-8.783410539743956
1.0,1.0,1.0,1.0,101.0,-1.8994662738882366,-9.299134338157392
1.0,3.0,1.0,1.0,101.0,-1.784721365701163,-9.194764115845787
1.0,5.0,1.0,1.0,101.0,-1.6677628938902127,-9.405073958841932
25.0,1.0,1.0,1.0,101.0,-1.8029465408479273,-9.42537804508718
25.0,3.0,1.0,1.0,101.0,-1.7161461770786204,-9.200436463768295
25.0,5.0,1.0,1.0,101.0,-1.6498821772624077,-8.813710741213374
5.0,1.0,1.0,1.0,101.0,-1.8302355950359381,-9.244342850488994
5.0,3.0,1.0,1.0,101.0,-1.7016560684186528,-9.081804199116117
5.0,5.0,1.0,1.0,101.0,-1.6405180088478666,-8.782524705410358
10.0,1.0,3.0,2.0,101.0,-1.7823094245400215,-9.504827728458986
10.0,3.0,3.0,2.0,101.0,-1.7225517977408928,-10.803415304998918
10.0,5.0,3.0,2.0,101.0,-1.6666961591014184,-10.754454925207686
1.0,1.0,3.0,2.0,101.0,-1.9663879681990073,-9.963008478735365
1.0,3.0,3.0,2.0,101.0,-1.7889079210457508,-10.441849002306807
1.0,5.0,3.0,2.0,101.0,-1.7198918922779798,-11.65381293185978
25.0,1.0,3.0,2.0,101.0,-1.8007792599849561,-10.210144875771237
25.0,3.0,3.0,2.0,101.0,-1.7445370669064932,-11.316564821831351
25.0,5.0,3.0,2.0,101.0,-1.6944323584563628,-9.748510334739622
5.0,1.0,3.0,2.0,101.0,-1.8005295416258986,-10.952511202183072
5.0,3.0,3.0,2.0,101.0,-1.7139339431392988,-10.970555525530873
5.0,5.0,3.0,2.0,101.0,-1.6827736911180973,-9.77778362845829
10.0,1.0,1.0,1.0,102.0,-1.975247284247659,-9.02393218380016
10.0,3.0,1.0,1.0,102.0,-1.8221000298719177,-8.793871036913231
10.0,5.0,1.0,1.0,102.0,-1.7542301612386337,-8.909745813251188
1.0,1.0,1.0,1.0,102.0,-2.1018008185826904,-9.432341417657954
1.0,3.0,1.0,1.0,102.0,-1.9206493494728571,-9.01078936675615
1.0,5.0,1.0,1.0,102.0,-1.7985094187468886,-8.999281266167477
25.0,1.0,1.0,1.0,102.0,-1.9578447136543824,-9.32076467673612
25.0,3.0,1.0,1.0,102.0,-1.7951860529233779,-9.93712906444914
25.0,5.0,1.0,1.0,102.0,-1.7468418304273265,-9.357770373921383
5.0,1.0,1.0,1.0,102.0,-1.9874885675987817,-9.035028901847882
5.0,3.0,1.0,1.0,102.0,-1.8287189934030648,-8.90787640128581
5.0,5.0,1.0,1.0,102.0,-1.7788804607951905,-8.872799715172729
10.0,1.0,3.0,2.0,102.0,-1.930092809722476,-9.497042879875067
10.0,3.0,3.0,2.0,102.0,-1.8320176871971485,-10.85610900122489
10.0,5.0,3.0,2.0,102.0,-1.788954193485591,-9.351349736195171
1.0,1.0,3.0,2.0,102.0,-2.115909675610965,-10.173515401919808
1.0,3.0,3.0,2.0,102.0,-1.912729936773059,-9.794047509628953
1.0,5.0,3.0,2.0,102.0,-1.870177289302847,-9.906700886762204
25.0,1.0,3.0,2.0,102.0,-1.9348629344954924,-10.473805786112552
25.0,3.0,3.0,2.0,102.0,-1.8171072226835199,-9.292479169713719
25.0,5.0,3.0,2.0,102.0,-1.7794121707360853,-9.599192993310076
5.0,1.0,3.0,2.0,102.0,-1.9355193479781825,-9.480776067521578
5.0,3.0,3.0,2.0,102.0,-1.832043447119512,-10.207409566101928
5.0,5.0,3.0,2.0,102.0,-1.7953130621483813,-9.692815506682644
10.0,1.0,1.0,1.0,103.0,-1.8232541684572077,-9.811771892342406
10.0,3.0,1.0,1.0,103.0,-1.6658518806947915,-9.553717437934358
10.0,5.0,1.0,1.0,103.0,-1.6223408513204725,-9.637657959729715
1.0,1.0,1.0,1.0,103.0,-1.9127160682295143,-10.206739608731095
1.0,3.0,1.0,1.0,103.0,-1.7892585251357103,-9.796217760600701
1.0,5.0,1.0,1.0,103.0,-1.6566918781391253,-9.915057760608635
25.0,1.0,1.0,1.0,103.0,-1.8199577110677339,-9.677840025269969
25.0,3.0,1.0,1.0,103.0,-1.6717234899591418,-9.353628819840877
25.0,5.0,1.0,1.0,103.0,-1.6171482976777793,-9.452026055992924
5.0,1.0,1.0,1.0,103.0,-1.8389936303834742,-9.894831549274087
5.0,3.0,1.0,1.0,103.0,-1.672255318400275,-9.50671962460066
5.0,5.0,1.0,1.0,103.0,-1.6204863498135924,-9.695904053651471
10.0,1.0,3.0,2.0,103.0,-1.8112507748859064,-10.505819491131085
10.0,3.0,3.0,2.0,103.0,-1.713913937516602,-10.268289864857225
10.0,5.0,3.0,2.0,103.0,-1.6796726374035473,-10.593347522592788
1.0,1.0,3.0,2.0,103.0,-1.9392618917500022,-10.969759904786
1.0,3.0,3.0,2.0,103.0,-1.808735887747547,-10.412587394601475
1.0,5.0,3.0,2.0,103.0,-1.7347517645509267,-11.224209833109043
25.0,1.0,3.0,2.0,103.0,-1.8251751436269017,-10.819769977399666
25.0,3.0,3.0,2.0,103.0,-1.6932392522147963,-10.314766676489823
25.0,5.0,3.0,2.0,103.0,-1.6654902326076646,-9.799787710398641
