K,Q,D,j,mask,lppd1,lpp2
10.0,1.0,1.0,1.0,101.0,-0.4208024708956775,-6.71951893627474
10.0,3.0,1.0,1.0,101.0,-0.4592271798921754,-6.545599447987712
10.0,5.0,1.0,1.0,101.0,-0.4495663661971088,-6.321607108224715
1.0,1.0,1.0,1.0,101.0,-0.5946375390592769,-6.780436214077198
1.0,3.0,1.0,1.0,101.0,-0.5524642342755273,-6.623333972851486
1.0,5.0,1.0,1.0,101.0,-0.4804209156988116,-6.654383758823903
25.0,1.0,1.0,1.0,101.0,-0.4721463487855859,-6.822054097578209
25.0,3.0,1.0,1.0,101.0,-0.476075542392716,-6.600242989024984
25.0,5.0,1.0,1.0,101.0,-0.4934379851149157,-6.304663470774172
5.0,1.0,1.0,1.0,101.0,-0.43234271978848543,-6.78058858673591
5.0,3.0,1.0,1.0,101.0,-0.4316250086463268,-6.549015109023172
5.0,5.0,1.0,1.0,101.0,-0.42633040129404615,-6.321634955524915
10.0,1.0,3.0,2.0,101.0,-0.5356434278041762,-6.8001280605310095
10.0,3.0,3.0,2.0,101.0,-0.5122981564927191,-7.453887346701032
10.0,5.0,3.0,2.0,101.0,-0.49654204826720216,-7.37525847635595
1.0,1.0,3.0,2.0,101.0,-0.827206431606719,-7.061968616398051
1.0,3.0,3.0,2.0,101.0,-0.6148688951899332,-7.263928616678185
1.0,5.0,3.0,2.0,101.0,-0.5460301793907345,-7.890381223906431
25.0,1.0,3.0,2.0,101.0,-0.6056816898422602,-7.157461670318106
25.0,3.0,3.0,2.0,101.0,-0.5587045393717264,-7.726430637520398
25.0,5.0,3.0,2.0,101.0,-0.5591862744387388,-6.818610551675592
5.0,1.0,3.0,2.0,101.0,-0.5683393486666549,-7.584989441896124
5.0,3.0,3.0,2.0,101.0,-0.5045996608417168,-7.540100053591725
5.0,5.0,3.0,2.0,101.0,-0.4811369066965143,-6.87308190700635
10.0,1.0,1.0,1.0,102.0,-0.4294384945957019,-6.556007286670158
10.0,3.0,1.0,1.0,102.0,-0.43873126398306883,-6.276984807328986
10.0,5.0,1.0,1.0,102.0,-0.43186485427230303,-6.275715717843921
1.0,1.0,1.0,1.0,102.0,-0.6069395395771275,-6.806946924678034
1.0,3.0,1.0,1.0,102.0,-0.5138066449597907,-6.451163659659815
1.0,5.0,1.0,1.0,102.0,-0.4744074155757775,-6.345137092241429
25.0,1.0,1.0,1.0,102.0,-0.46293628790333774,-6.680356005885904
25.0,3.0,1.0,1.0,102.0,-0.4770742608569903,-6.842730400931498
25.0,5.0,1.0,1.0,102.0,-0.4916628416646853,-6.477195452127414
5.0,1.0,1.0,1.0,102.0,-0.40951520844188777,-6.584403862752365
5.0,3.0,1.0,1.0,102.0,-0.43643393267728836,-6.345762328808685
5.0,5.0,1.0,1.0,102.0,-0.40664651302181126,-6.29337624278445
10.0,1.0,3.0,2.0,102.0,-0.5340190239988803,-6.710346242693277
10.0,3.0,3.0,2.0,102.0,-0.5044131305644854,-7.356941003380693
10.0,5.0,3.0,2.0,102.0,-0.4826700252304177,-6.519958718766399
1.0,1.0,3.0,2.0,102.0,-0.807876234782537,-7.113033493449949
1.0,3.0,3.0,2.0,102.0,-0.574544852739759,-6.831162377419407
1.0,5.0,3.0,2.0,102.0,-0.5282946380147121,-6.873657185770152
25.0,1.0,3.0,2.0,102.0,-0.6015696850956141,-7.202933075096031
25.0,3.0,3.0,2.0,102.0,-0.5576244701285031,-6.477107852045908
25.0,5.0,3.0,2.0,102.0,-0.5602709695732683,-6.602828118976712
5.0,1.0,3.0,2.0,102.0,-0.5391772281385412,-6.704294904806448
5.0,3.0,3.0,2.0,102.0,-0.4920839303799778,-7.015986187813171
5.0,5.0,3.0,2.0,102.0,-0.4555549421445693,-6.7232332964270105
10.0,1.0,1.0,1.0,103.0,-0.42914925889548766,-7.205855974322663
10.0,3.0,1.0,1.0,103.0,-0.4212132793500267,-6.905563638810553
10.0,5.0,1.0,1.0,103.0,-0.4409450773673086,-6.899274870050191
1.0,1.0,1.0,1.0,103.0,-0.5529898368231186,-7.451254627456402
1.0,3.0,1.0,1.0,103.0,-0.546587590481268,-7.096265905126375
1.0,5.0,1.0,1.0,103.0,-0.4768245404853882,-7.072379752796878
25.0,1.0,1.0,1.0,103.0,-0.4660956133307211,-7.104609489746998
25.0,3.0,1.0,1.0,103.0,-0.471389191121653,-6.767901924016796
25.0,5.0,1.0,1.0,103.0,-0.45907620758048345,-6.7771510186269595
5.0,1.0,1.0,1.0,103.0,-0.449173443295724,-7.257830094524837
5.0,3.0,1.0,1.0,103.0,-0.42952370021387254,-6.880204404653391
5.0,5.0,1.0,1.0,103.0,-0.4261795748022272,-6.939294525030123
10.0,1.0,3.0,2.0,103.0,-0.5469470771988759,-7.5255801206677795
10.0,3.0,3.0,2.0,103.0,-0.5175869376465954,-7.309018135063827
10.0,5.0,3.0,2.0,103.0,-0.5007764017079404,-7.4712619183602955
1.0,1.0,3.0,2.0,103.0,-0.7415136604311875,-7.808691924510644
1.0,3.0,3.0,2.0,103.0,-0.6071795219677315,-7.435238514761717
1.0,5.0,3.0,2.0,103.0,-0.5474258366691584,-7.861907858634046
25.0,1.0,3.0,2.0,103.0,-0.6022059622409329,-7.6883344226468875
25.0,3.0,3.0,2.0,103.0,-0.5504351378506778,-7.296457348271518
25.0,5.0,3.0,2.0,103.0,-0.5275837299153598,-6.986022803828419
5.0,1.0,3.0,2.0,103.0,-0.5808698553376488,-7.4793572045459165
5.0,3.0,3.0,2.0,103.0,-0.5202189886346671,-7.484562349921997
5.0,5.0,3.0,2.0,103.0,-0.4827148827709997,-7.10286083022815
10.0,1.0,1.0,1.0,104.0,-0.5082146542382427,-6.9579048289785215
10.0,3.0,1.0,1.0,104.0,-0.5314542634296533,-7.0222983662387914
10.0,5.0,1.0,1.0,104.0,-0.5237334328211791,-6.7165145557933075
1.0,1.0,1.0,1.0,104.0,-0.6674397463529388,-7.194990800093983
1.0,3.0,1.0,1.0,104.0,-0.6156743280204864,-9.505925165584102
1.0,5.0,1.0,1.0,104.0,-0.5664949224719816,-7.514844377020479
25.0,1.0,1.0,1.0,104.0,-0.5574238889142663,-7.097669985400651
25.0,3.0,1.0,1.0,104.0,-0.591628535762329,-7.218752219591271
25.0,5.0,1.0,1.0,104.0,-0.5528589144343812,-6.9005873686989165
5.0,1.0,1.0,1.0,104.0,-0.5150126575888888,-7.00991450215058
5.0,3.0,1.0,1.0,104.0,-0.5201550878046265,-7.205965269468926
5.0,5.0,1.0,1.0,104.0,-0.5098921539436087,-7.026129084974019
10.0,1.0,3.0,2.0,104.0,-0.6439035835549696,-7.175412357647738
10.0,3.0,3.0,2.0,104.0,-0.6075606555442185,-7.651031868311805
10.0,5.0,3.0,2.0,104.0,-0.591003614152317,-8.139551406538457
1.0,1.0,3.0,2.0,104.0,-0.9093302990498572,-7.740365031230237
1.0,3.0,3.0,2.0,104.0,-0.6934225301252285,-8.068527686814576
1.0,5.0,3.0,2.0,104.0,-0.6746185654402251,-7.7450838377832785
25.0,1.0,3.0,2.0,104.0,-0.6848445658264338,-7.306148951161887
25.0,3.0,3.0,2.0,104.0,-0.620372355978315,-7.2416490894697505
25.0,5.0,3.0,2.0,104.0,-0.6162748074004434,-8.450361895625635
5.0,1.0,3.0,2.0,104.0,-0.675209506805991,-7.431761866253242
5.0,3.0,3.0,2.0,104.0,-0.6002021758369397,-7.572619488060325
5.0,5.0,3.0,2.0,104.0,-0.5701935892871605,-7.245889380132484
