type,dist,nu,D,seed,distance
1.0,1.0,1.5,1.0,1.0,0.10157951131075418
1.0,1.0,1.5,2.0,1.0,0.03530634511164162
1.0,1.0,1.5,3.0,1.0,0.05153994196991416
1.0,1.0,1.5,4.0,1.0,0.0765677482043799
1.0,1.0,1.5,5.0,1.0,0.0964868693007454
1.0,1.0,1.5,6.0,1.0,0.1123381787840046
1.0,1.0,1.5,7.0,1.0,0.12535285440037888
1.0,1.0,1.5,8.0,1.0,0.1363006416073113
1.0,1.0,1.5,9.0,1.0,0.14567455185065403
1.0,1.0,1.5,10.0,1.0,0.15383754854866658
1.0,1.0,1.5,11.0,1.0,0.1610365750342358
1.0,1.0,1.5,12.0,1.0,0.16743325798996153
1.0,1.0,1.5,13.0,1.0,0.17321559515050586
1.0,1.0,1.5,14.0,1.0,0.17848152040768736
1.0,1.0,1.5,15.0,1.0,0.18311626226736166
3.0,1.0,1.5,1.0,1.0,0.10157951131075418
3.0,1.0,1.5,2.0,1.0,0.033424344291092534
3.0,1.0,1.5,3.0,1.0,0.0722329953560198
3.0,1.0,1.5,4.0,1.0,0.10508735633729839
3.0,1.0,1.5,5.0,1.0,0.12942095221901065
3.0,1.0,1.5,6.0,1.0,0.1480814531653463
3.0,1.0,1.5,7.0,1.0,0.16290980767200147
3.0,1.0,1.5,8.0,1.0,0.1750428348070516
3.0,1.0,1.5,9.0,1.0,0.18546478661111251
3.0,1.0,1.5,10.0,1.0,0.1948426533449798
3.0,1.0,1.5,11.0,1.0,0.2037142563445789
3.0,1.0,1.5,12.0,1.0,0.2121474229072114
3.0,1.0,1.5,13.0,1.0,0.22001001601696513
3.0,1.0,1.5,14.0,1.0,0.22700069246407859
3.0,1.0,1.5,15.0,1.0,0.23315844840477634
1.0,1.0,1.5,1.0,2.0,0.1019736196849805
1.0,1.0,1.5,2.0,2.0,0.03621368618665926
1.0,1.0,1.5,3.0,2.0,0.05302038482037473
1.0,1.0,1.5,4.0,2.0,0.07845657715879423
1.0,1.0,1.5,5.0,2.0,0.09879494954124139
1.0,1.0,1.5,6.0,2.0,0.11500654470408941
1.0,1.0,1.5,7.0,2.0,0.12831305414053484
1.0,1.0,1.5,8.0,2.0,0.13942545491178898
1.0,1.0,1.5,9.0,2.0,0.14897981861623397
1.0,1.0,1.5,10.0,2.0,0.15738225318370905
1.0,1.0,1.5,11.0,2.0,0.16481849881675212
1.0,1.0,1.5,12.0,2.0,0.17131358817685793
1.0,1.0,1.5,13.0,2.0,0.17728002847278948
1.0,1.0,1.5,14.0,2.0,0.1826003430537945
1.0,1.0,1.5,15.0,2.0,0.18748607731434375
3.0,1.0,1.5,1.0,2.0,0.1019736196849805
3.0,1.0,1.5,2.0,2.0,0.03530520616143131
3.0,1.0,1.5,3.0,2.0,0.07229140706129879
3.0,1.0,1.5,4.0,2.0,0.10432798100690942
3.0,1.0,1.5,5.0,2.0,0.1281082823862622
3.0,1.0,1.5,6.0,2.0,0.14636167564417651
3.0,1.0,1.5,7.0,2.0,0.16087739711604965
3.0,1.0,1.5,8.0,2.0,0.17276556098879367
3.0,1.0,1.5,9.0,2.0,0.18290663167695978
3.0,1.0,1.5,10.0,2.0,0.1921369891653151
3.0,1.0,1.5,11.0,2.0,0.20079924438400099
3.0,1.0,1.5,12.0,2.0,0.2090663495841464
3.0,1.0,1.5,13.0,2.0,0.21689011578972164
3.0,1.0,1.5,14.0,2.0,0.2238282214662521
3.0,1.0,1.5,15.0,2.0,0.2299613931839004
1.0,1.0,1.5,1.0,3.0,0.10178194895486868
1.0,1.0,1.5,2.0,3.0,0.035931191906473404
1.0,1.0,1.5,3.0,3.0,0.05175963047070471
1.0,1.0,1.5,4.0,3.0,0.0765531002435328
1.0,1.0,1.5,5.0,3.0,0.09636962314835112
1.0,1.0,1.5,6.0,3.0,0.11224589039073084
1.0,1.0,1.5,7.0,3.0,0.12524733109405553
1.0,1.0,1.5,8.0,3.0,0.13617677794751626
1.0,1.0,1.5,9.0,3.0,0.14558740195288863
1.0,1.0,1.5,10.0,3.0,0.1537980196460627
1.0,1.0,1.5,11.0,3.0,0.16100723361989094
1.0,1.0,1.5,12.0,3.0,0.16745815902496664
1.0,1.0,1.5,13.0,3.0,0.17327098441390662
1.0,1.0,1.5,14.0,3.0,0.1785702425617877
1.0,1.0,1.5,15.0,3.0,0.18334226877146773
3.0,1.0,1.5,1.0,3.0,0.10178194895486868
3.0,1.0,1.5,2.0,3.0,0.03423547972612071
3.0,1.0,1.5,3.0,3.0,0.0732199350161021
3.0,1.0,1.5,4.0,3.0,0.10638509447275475
3.0,1.0,1.5,5.0,3.0,0.13097971300794178
3.0,1.0,1.5,6.0,3.0,0.1499625570371519
3.0,1.0,1.5,7.0,3.0,0.16500023800318425
3.0,1.0,1.5,8.0,3.0,0.1773307104568058
3.0,1.0,1.5,9.0,3.0,0.1880196213858179
3.0,1.0,1.5,10.0,3.0,0.19755937139145135
3.0,1.0,1.5,11.0,3.0,0.20665626637353002
3.0,1.0,1.5,12.0,3.0,0.21521148778145635
3.0,1.0,1.5,13.0,3.0,0.22312122509466722
3.0,1.0,1.5,14.0,3.0,0.23023574941798777
3.0,1.0,1.5,15.0,3.0,0.236403457420775
1.0,1.0,1.5,1.0,4.0,0.10279747490481675
1.0,1.0,1.5,2.0,4.0,0.03915772110776574
1.0,1.0,1.5,3.0,4.0,0.056061500321875284
1.0,1.0,1.5,4.0,4.0,0.08122751415219402
1.0,1.0,1.5,5.0,4.0,0.10170019937206408
1.0,1.0,1.5,6.0,4.0,0.11815717333009745
1.0,1.0,1.5,7.0,4.0,0.13163027407595432
1.0,1.0,1.5,8.0,4.0,0.14300330385458426
1.0,1.0,1.5,9.0,4.0,0.15271397717117816
1.0,1.0,1.5,10.0,4.0,0.1613263309425807
1.0,1.0,1.5,11.0,4.0,0.1688480329963739
1.0,1.0,1.5,12.0,4.0,0.17564711555254522
1.0,1.0,1.5,13.0,4.0,0.1817330223076041
1.0,1.0,1.5,14.0,4.0,0.18718880226789492
1.0,1.0,1.5,15.0,4.0,0.1922336821741467
3.0,1.0,1.5,1.0,4.0,0.10279747490481675
3.0,1.0,1.5,2.0,4.0,0.037722308829938156
3.0,1.0,1.5,3.0,4.0,0.07297694239687068
3.0,1.0,1.5,4.0,4.0,0.10444856918296362
3.0,1.0,1.5,5.0,4.0,0.1279004542533752
3.0,1.0,1.5,6.0,4.0,0.14594598335885836
3.0,1.0,1.5,7.0,4.0,0.16027282930461356
3.0,1.0,1.5,8.0,4.0,0.1719380684561733
3.0,1.0,1.5,9.0,4.0,0.18193271310612374
3.0,1.0,1.5,10.0,4.0,0.19096454964870166
3.0,1.0,1.5,11.0,4.0,0.19947961207971968
3.0,1.0,1.5,12.0,4.0,0.2076425641633566
3.0,1.0,1.5,13.0,4.0,0.21534264864384423
3.0,1.0,1.5,14.0,4.0,0.2222361903694886
3.0,1.0,1.5,15.0,4.0,0.2283143550789893
1.0,1.0,1.5,1.0,5.0,0.10153667981807378
1.0,1.0,1.5,2.0,5.0,0.034969489656606116
1.0,1.0,1.5,3.0,5.0,0.05174252725844881
1.0,1.0,1.5,4.0,5.0,0.07727774782910521
1.0,1.0,1.5,5.0,5.0,0.09764385147576264
1.0,1.0,1.5,6.0,5.0,0.11388625382911309
1.0,1.0,1.5,7.0,5.0,0.12725397234595748
1.0,1.0,1.5,8.0,5.0,0.13851499200365974
1.0,1.0,1.5,9.0,5.0,0.14815745862098934
1.0,1.0,1.5,10.0,5.0,0.15662787157000263
1.0,1.0,1.5,11.0,5.0,0.1641017322157948
1.0,1.0,1.5,12.0,5.0,0.17077411858796415
1.0,1.0,1.5,13.0,5.0,0.17683861718842245
1.0,1.0,1.5,14.0,5.0,0.18230568740559633
1.0,1.0,1.5,15.0,5.0,0.1873003929548829
3.0,1.0,1.5,1.0,5.0,0.10153667981807378
3.0,1.0,1.5,2.0,5.0,0.03270013117654636
3.0,1.0,1.5,3.0,5.0,0.07152422460050592
3.0,1.0,1.5,4.0,5.0,0.1045331533830177
3.0,1.0,1.5,5.0,5.0,0.12894048840428254
3.0,1.0,1.5,6.0,5.0,0.14776312353292692
3.0,1.0,1.5,7.0,5.0,0.16264558125676892
3.0,1.0,1.5,8.0,5.0,0.1747705849281578
3.0,1.0,1.5,9.0,5.0,0.1850688789868562
3.0,1.0,1.5,10.0,5.0,0.1943446087745284
3.0,1.0,1.5,11.0,5.0,0.20311692400937084
3.0,1.0,1.5,12.0,5.0,0.21147293502856024
3.0,1.0,1.5,13.0,5.0,0.2191840612244459
3.0,1.0,1.5,14.0,5.0,0.2261636569757555
3.0,1.0,1.5,15.0,5.0,0.2323731737071207
1.0,1.0,2.0,1.0,1.0,0.16553432010193922
1.0,1.0,2.0,2.0,1.0,0.0877694375933983
1.0,1.0,2.0,3.0,1.0,0.05393589755737646
1.0,1.0,2.0,4.0,1.0,0.04583865413442421
1.0,1.0,2.0,5.0,1.0,0.05208748686945287
1.0,1.0,2.0,6.0,1.0,0.062311099563361415
1.0,1.0,2.0,7.0,1.0,0.07272527464935936
1.0,1.0,2.0,8.0,1.0,0.08226129143654096
1.0,1.0,2.0,9.0,1.0,0.09082631035496719
1.0,1.0,2.0,10.0,1.0,0.09851813298441646
1.0,1.0,2.0,11.0,1.0,0.10546382688520423
1.0,1.0,2.0,12.0,1.0,0.11171487627065466
1.0,1.0,2.0,13.0,1.0,0.11742100157398333
1.0,1.0,2.0,14.0,1.0,0.12272016847025297
1.0,1.0,2.0,15.0,1.0,0.1275367291398201
3.0,1.0,2.0,1.0,1.0,0.16553432010193922
3.0,1.0,2.0,2.0,1.0,0.07218229364613882
3.0,1.0,2.0,3.0,1.0,0.04176230788523784
3.0,1.0,2.0,4.0,1.0,0.052558075458069196
3.0,1.0,2.0,5.0,1.0,0.07145359511629575
3.0,1.0,2.0,6.0,1.0,0.0883271217356969
3.0,1.0,2.0,7.0,1.0,0.10236695061640695
3.0,1.0,2.0,8.0,1.0,0.11403813014532767
3.0,1.0,2.0,9.0,1.0,0.12395754248422099
3.0,1.0,2.0,10.0,1.0,0.13279826979932122
3.0,1.0,2.0,11.0,1.0,0.14125812682857664
3.0,1.0,2.0,12.0,1.0,0.14958354807992502
3.0,1.0,2.0,13.0,1.0,0.15759190442599663
3.0,1.0,2.0,14.0,1.0,0.16483326480548835
3.0,1.0,2.0,15.0,1.0,0.1712082046331228
1.0,1.0,2.0,1.0,2.0,0.16566511849832924
1.0,1.0,2.0,2.0,2.0,0.0880874184867802
1.0,1.0,2.0,3.0,2.0,0.05460779416684088
1.0,1.0,2.0,4.0,2.0,0.04700404657329728
1.0,1.0,2.0,5.0,2.0,0.05344020917339133
1.0,1.0,2.0,6.0,2.0,0.06387563105161703
1.0,1.0,2.0,7.0,2.0,0.07444036205297545
1.0,1.0,2.0,8.0,2.0,0.08410288393577704
1.0,1.0,2.0,9.0,2.0,0.09273258245929474
1.0,1.0,2.0,10.0,2.0,0.10049829504137454
1.0,1.0,2.0,11.0,2.0,0.10762866953913322
1.0,1.0,2.0,12.0,2.0,0.1139332044338912
1.0,1.0,2.0,13.0,2.0,0.11980243455099031
1.0,1.0,2.0,14.0,2.0,0.12513216791623227
1.0,1.0,2.0,15.0,2.0,0.13002268278293824
3.0,1.0,2.0,1.0,2.0,0.16566511849832924
3.0,1.0,2.0,2.0,2.0,0.07258635962106902
3.0,1.0,2.0,3.0,2.0,0.04233151128211499
3.0,1.0,2.0,4.0,2.0,0.05278925430865883
3.0,1.0,2.0,5.0,2.0,0.07149388312586034
3.0,1.0,2.0,6.0,2.0,0.08828239818997738
3.0,1.0,2.0,7.0,2.0,0.10233111598491369
3.0,1.0,2.0,8.0,2.0,0.11400230242578005
3.0,1.0,2.0,9.0,2.0,0.12394187104621003
3.0,1.0,2.0,10.0,2.0,0.13284848777105937
3.0,1.0,2.0,11.0,2.0,0.14135204614596522
3.0,1.0,2.0,12.0,2.0,0.14974551979099823
3.0,1.0,2.0,13.0,2.0,0.1577716712499291
3.0,1.0,2.0,14.0,2.0,0.16507837033372488
3.0,1.0,2.0,15.0,2.0,0.1714819590888541
1.0,1.0,2.0,1.0,3.0,0.16554806322744423
1.0,1.0,2.0,2.0,3.0,0.08794879956302179
1.0,1.0,2.0,3.0,3.0,0.05457999025414892
1.0,1.0,2.0,4.0,3.0,0.047196335623147054
1.0,1.0,2.0,5.0,3.0,0.05397363915361032
1.0,1.0,2.0,6.0,3.0,0.06462092334693163
1.0,1.0,2.0,7.0,3.0,0.0752902848652074
