type,dist,nu,D,seed,distance
1.0,1.0,1.1,1.0,1.0,0.024121033493252463
1.0,1.0,1.1,2.0,1.0,0.070098498145388
1.0,1.0,1.1,3.0,1.0,0.11744848043502938
1.0,1.0,1.1,4.0,1.0,0.14798592717006304
1.0,1.0,1.1,5.0,1.0,0.16998672475306564
1.0,1.0,1.1,6.0,1.0,0.18722024329535727
1.0,1.0,1.1,7.0,1.0,0.2010773609719469
1.0,1.0,1.1,8.0,1.0,0.21272218525661316
1.0,1.0,1.1,9.0,1.0,0.2226561710168221
1.0,1.0,1.1,10.0,1.0,0.23134384790017531
1.0,1.0,1.1,11.0,1.0,0.23909844392808557
1.0,1.0,1.1,12.0,1.0,0.24593928579737073
1.0,1.0,1.1,13.0,1.0,0.2521817570975153
1.0,1.0,1.1,14.0,1.0,0.2578503945451654
1.0,1.0,1.1,15.0,1.0,0.2630688256284107
2.0,1.0,1.1,3.0,1.0,0.16804762674510015
2.0,1.0,1.1,5.0,1.0,0.26038701639708617
2.0,1.0,1.1,7.0,1.0,0.31716192705559654
3.0,1.0,1.1,1.0,1.0,0.024121033493252463
3.0,1.0,1.1,2.0,1.0,0.0785684388683576
3.0,1.0,1.1,3.0,1.0,0.12955620039257018
3.0,1.0,1.1,4.0,1.0,0.16210396492137882
3.0,1.0,1.1,5.0,1.0,0.18563516854207412
3.0,1.0,1.1,6.0,1.0,0.2037467077903161
3.0,1.0,1.1,7.0,1.0,0.2184089051127351
3.0,1.0,1.1,8.0,1.0,0.23069153436827997
3.0,1.0,1.1,9.0,1.0,0.2410819465369519
3.0,1.0,1.1,10.0,1.0,0.2502112255604082
3.0,1.0,1.1,11.0,1.0,0.2582433123786039
3.0,1.0,1.1,12.0,1.0,0.2654360698704621
3.0,1.0,1.1,13.0,1.0,0.2718853036565505
3.0,1.0,1.1,14.0,1.0,0.277774437183118
3.0,1.0,1.1,15.0,1.0,0.2831718476306189
1.0,1.0,1.1,1.0,2.0,0.024054617432293153
1.0,1.0,1.1,2.0,2.0,0.06984597954419744
1.0,1.0,1.1,3.0,2.0,0.11715398556311292
1.0,1.0,1.1,4.0,2.0,0.14771998254909594
1.0,1.0,1.1,5.0,2.0,0.16990341173559295
1.0,1.0,1.1,6.0,2.0,0.1870868027153999
1.0,1.0,1.1,7.0,2.0,0.20097119705660496
1.0,1.0,1.1,8.0,2.0,0.2126573108130821
1.0,1.0,1.1,9.0,2.0,0.22261159915455703
1.0,1.0,1.1,10.0,2.0,0.23138423643987893
1.0,1.0,1.1,11.0,2.0,0.23909435857416392
1.0,1.0,1.1,12.0,2.0,0.2459827284318392
1.0,1.0,1.1,13.0,2.0,0.25225033844785744
1.0,1.0,1.1,14.0,2.0,0.25793891061472474
1.0,1.0,1.1,15.0,2.0,0.2631379474190235
2.0,1.0,1.1,3.0,2.0,0.16802152232333792
2.0,1.0,1.1,5.0,2.0,0.2603871508881888
2.0,1.0,1.1,7.0,2.0,0.3171477434933401
3.0,1.0,1.1,1.0,2.0,0.024054617432293153
3.0,1.0,1.1,2.0,2.0,0.07906240607541945
3.0,1.0,1.1,3.0,2.0,0.13064297845967726
3.0,1.0,1.1,4.0,2.0,0.16380108820079728
3.0,1.0,1.1,5.0,2.0,0.18782292509557788
3.0,1.0,1.1,6.0,2.0,0.2063896502756708
3.0,1.0,1.1,7.0,2.0,0.2214260819663759
3.0,1.0,1.1,8.0,2.0,0.23410513658337417
3.0,1.0,1.1,9.0,2.0,0.24485580428734616
3.0,1.0,1.1,10.0,2.0,0.2542582880709154
3.0,1.0,1.1,11.0,2.0,0.26259467578923035
3.0,1.0,1.1,12.0,2.0,0.2700933935814255
3.0,1.0,1.1,13.0,2.0,0.2768227400550112
3.0,1.0,1.1,14.0,2.0,0.28289340828709436
3.0,1.0,1.1,15.0,2.0,0.28858173994281927
1.0,1.0,1.1,1.0,3.0,0.026513854637982164
1.0,1.0,1.1,2.0,3.0,0.07189899361336254
1.0,1.0,1.1,3.0,3.0,0.11936536918801616
1.0,1.0,1.1,4.0,3.0,0.1501497463061791
1.0,1.0,1.1,5.0,3.0,0.17252628546031856
1.0,1.0,1.1,6.0,3.0,0.18990995759398688
1.0,1.0,1.1,7.0,3.0,0.20395937114158336
1.0,1.0,1.1,8.0,3.0,0.21571703132704076
1.0,1.0,1.1,9.0,3.0,0.2258806522223524
1.0,1.0,1.1,10.0,3.0,0.23478515871510758
1.0,1.0,1.1,11.0,3.0,0.24259699979848115
1.0,1.0,1.1,12.0,3.0,0.24953729055624638
1.0,1.0,1.1,13.0,3.0,0.25593297666934506
1.0,1.0,1.1,14.0,3.0,0.2616722943028867
1.0,1.0,1.1,15.0,3.0,0.26693311859710733
2.0,1.0,1.1,3.0,3.0,0.16849822684538074
2.0,1.0,1.1,5.0,3.0,0.2606812013540472
2.0,1.0,1.1,7.0,3.0,0.31737760363215484
3.0,1.0,1.1,1.0,3.0,0.026513854637982164
3.0,1.0,1.1,2.0,3.0,0.07887242356135683
3.0,1.0,1.1,3.0,3.0,0.12908400613942828
3.0,1.0,1.1,4.0,3.0,0.161332958906515
3.0,1.0,1.1,5.0,3.0,0.18453963162411974
