N,M,K,D,Ktrue,Dtrue,dataseed,maskseed,inforate
40.0,40.0,1.0,1.0,5.0,5.0,101.0,101.0,-2.499258270614494
40.0,40.0,1.0,1.0,5.0,5.0,101.0,102.0,-2.4774032106750656
40.0,40.0,1.0,1.0,5.0,5.0,101.0,103.0,-2.6060002179221984
40.0,40.0,1.0,1.0,5.0,5.0,101.0,104.0,-2.5012186137861985
40.0,40.0,1.0,1.0,5.0,5.0,101.0,105.0,-2.5121437148433263
40.0,40.0,1.0,1.0,5.0,5.0,101.0,106.0,-2.47800912224194
40.0,40.0,1.0,1.0,5.0,5.0,101.0,107.0,-2.4416617065872384
40.0,40.0,1.0,1.0,5.0,5.0,101.0,108.0,-2.424816558530906
40.0,40.0,1.0,1.0,5.0,5.0,101.0,109.0,-2.4556319058088225
40.0,40.0,1.0,1.0,5.0,5.0,101.0,110.0,-2.4539872074850377
40.0,40.0,1.0,1.0,5.0,5.0,102.0,101.0,-2.421514852686328
40.0,40.0,1.0,1.0,5.0,5.0,102.0,102.0,-2.3738968093080017
40.0,40.0,1.0,1.0,5.0,5.0,102.0,103.0,-2.465981743249939
40.0,40.0,1.0,1.0,5.0,5.0,102.0,104.0,-2.461254646334627
40.0,40.0,1.0,1.0,5.0,5.0,102.0,105.0,-2.338530376705558
40.0,40.0,1.0,1.0,5.0,5.0,102.0,106.0,-2.3979747265521243
40.0,40.0,1.0,1.0,5.0,5.0,102.0,107.0,-2.335136949402776
40.0,40.0,1.0,1.0,5.0,5.0,102.0,108.0,-2.3257625127440447
40.0,40.0,1.0,1.0,5.0,5.0,102.0,109.0,-2.35181388825081
40.0,40.0,1.0,1.0,5.0,5.0,102.0,110.0,-2.3620452457368644
40.0,40.0,1.0,1.0,5.0,5.0,103.0,101.0,-2.459008733556382
40.0,40.0,1.0,1.0,5.0,5.0,103.0,102.0,-2.38665720376961
40.0,40.0,1.0,1.0,5.0,5.0,103.0,103.0,-2.4797978645229217
40.0,40.0,1.0,1.0,5.0,5.0,103.0,104.0,-2.6416909588965947
40.0,40.0,1.0,1.0,5.0,5.0,103.0,105.0,-2.323174694106824
40.0,40.0,1.0,1.0,5.0,5.0,103.0,106.0,-2.404813610803834
40.0,40.0,1.0,1.0,5.0,5.0,103.0,107.0,-2.5386239649464764
40.0,40.0,1.0,1.0,5.0,5.0,103.0,108.0,-2.4053456713133494
40.0,40.0,1.0,1.0,5.0,5.0,103.0,109.0,-2.583327548496335
40.0,40.0,1.0,1.0,5.0,5.0,103.0,110.0,-2.3700273044988935
40.0,40.0,1.0,1.0,5.0,5.0,104.0,101.0,-2.282753018941084
40.0,40.0,1.0,1.0,5.0,5.0,104.0,102.0,-2.252132027637825
40.0,40.0,1.0,1.0,5.0,5.0,104.0,103.0,-2.266043185619185
40.0,40.0,1.0,1.0,5.0,5.0,104.0,104.0,-2.274445426586304
40.0,40.0,1.0,1.0,5.0,5.0,104.0,105.0,-2.388600978490786
40.0,40.0,1.0,1.0,5.0,5.0,104.0,106.0,-2.3312854386729884
40.0,40.0,1.0,1.0,5.0,5.0,104.0,107.0,-2.2884050484116174
40.0,40.0,1.0,1.0,5.0,5.0,104.0,108.0,-2.3153775755761945
40.0,40.0,1.0,1.0,5.0,5.0,104.0,109.0,-2.2824103122593105
40.0,40.0,1.0,1.0,5.0,5.0,104.0,110.0,-2.310240247728485
40.0,40.0,1.0,1.0,5.0,5.0,105.0,101.0,-2.286453012977398
40.0,40.0,1.0,1.0,5.0,5.0,105.0,102.0,-2.3943972147647656
40.0,40.0,1.0,1.0,5.0,5.0,105.0,103.0,-2.3315604911022203
40.0,40.0,1.0,1.0,5.0,5.0,105.0,104.0,-2.2407704752861743
40.0,40.0,1.0,1.0,5.0,5.0,105.0,105.0,-2.3069677268024495
40.0,40.0,1.0,1.0,5.0,5.0,105.0,106.0,-2.3089733043106913
40.0,40.0,1.0,1.0,5.0,5.0,105.0,107.0,-2.3228353100561563
40.0,40.0,1.0,1.0,5.0,5.0,105.0,108.0,-2.289798329080979
40.0,40.0,1.0,1.0,5.0,5.0,105.0,109.0,-2.2600108342720815
40.0,40.0,1.0,1.0,5.0,5.0,105.0,110.0,-2.286140494451779
40.0,40.0,1.0,2.0,5.0,5.0,101.0,101.0,-2.5636764658706275
40.0,40.0,1.0,2.0,5.0,5.0,101.0,102.0,-2.5450611399591794
40.0,40.0,1.0,2.0,5.0,5.0,101.0,103.0,-2.7192346883198524
40.0,40.0,1.0,2.0,5.0,5.0,101.0,104.0,-2.57313245874605
40.0,40.0,1.0,2.0,5.0,5.0,101.0,105.0,-2.5953542832290633
40.0,40.0,1.0,2.0,5.0,5.0,101.0,106.0,-2.562066638012985
40.0,40.0,1.0,2.0,5.0,5.0,101.0,107.0,-2.4944589435071998
40.0,40.0,1.0,2.0,5.0,5.0,101.0,108.0,-2.474969684253681
40.0,40.0,1.0,2.0,5.0,5.0,101.0,109.0,-2.518559760099346
40.0,40.0,1.0,2.0,5.0,5.0,101.0,110.0,-2.503276820218978
40.0,40.0,1.0,2.0,5.0,5.0,102.0,101.0,-2.4690318210384956
40.0,40.0,1.0,2.0,5.0,5.0,102.0,102.0,-2.4246399447781695
40.0,40.0,1.0,2.0,5.0,5.0,102.0,103.0,-2.5440973326452947
40.0,40.0,1.0,2.0,5.0,5.0,102.0,104.0,-2.537284567874926
40.0,40.0,1.0,2.0,5.0,5.0,102.0,105.0,-2.3577522767219543
40.0,40.0,1.0,2.0,5.0,5.0,102.0,106.0,-2.4674002713960643
40.0,40.0,1.0,2.0,5.0,5.0,102.0,107.0,-2.355054161892665
40.0,40.0,1.0,2.0,5.0,5.0,102.0,108.0,-2.3494664921501474
40.0,40.0,1.0,2.0,5.0,5.0,102.0,109.0,-2.379899958593445
