"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,3,3,3,3,3
"2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"3",27,26,32,25,24,26,23,29,24,24,25,27,28,25,23
"4",21,32,22,23,18,22,29,24,20,20,21,21,23,28,27
"5",29,26,22,23,22,25,26,25,26,24,26,22,27,27,27
"6",23,29,27,18,22,20,25,26,24,23,24,26,29,22,25
"7",22,24,22,24,33,21,23,21,23,25,25,24,21,23,25
"8",27,25,19,24,20,28,17,22,27,30,28,22,26,27,27
"9",24,27,25,29,33,27,27,25,28,29,25,27,28,22,20
"10",28,19,16,36,21,29,22,24,31,29,22,24,29,23,24
"11",24,26,33,31,26,26,30,30,29,28,24,23,28,22,24
"12",24,26,22,23,23,19,22,24,25,26,28,23,23,22,29
"13",19,30,23,26,22,26,28,22,26,26,24,25,25,26,23
"14",24,23,28,28,19,21,24,27,23,22,29,16,24,19,20
"15",24,21,24,23,22,23,27,24,21,24,22,21,31,24,26
"16",20,21,22,25,28,26,27,19,32,19,28,24,25,26,23
"17",26,27,23,21,31,29,26,16,21,27,26,21,23,28,24
"18",26,26,23,27,23,27,29,21,27,23,25,24,26,23,20
"19",24,34,21,20,27,26,27,23,27,24,31,21,27,26,22
"20",19,25,32,26,30,21,28,24,22,28,26,21,22,26,22
"21",32,22,30,25,27,24,21,23,26,24,23,20,22,24,22
"22",22,22,27,23,30,22,21,27,28,33,23,27,26,26,23
"23",21,25,27,14,25,22,24,31,23,28,27,30,22,23,24
"24",18,23,19,28,24,20,21,25,24,28,22,23,23,21,24
"25",22,36,24,23,31,21,30,30,21,25,23,25,22,26,28
"26",18,21,25,26,27,23,29,22,27,26,22,28,25,26,23
"27",22,25,24,17,27,32,30,23,24,28,23,27,27,23,22
"28",31,25,28,18,22,28,31,26,24,27,21,23,23,23,19
"29",20,32,24,22,19,21,28,25,31,20,28,26,24,24,23
"30",34,17,24,27,25,23,27,28,31,19,22,22,21,24,27
"31",27,20,19,33,29,22,24,25,22,29,21,22,22,24,23
"32",21,35,29,28,24,25,24,20,21,24,27,21,25,22,27
"33",27,27,24,25,28,26,24,25,21,22,23,22,25,24,27
"34",31,22,19,24,32,30,23,24,21,22,32,21,25,23,29
"35",27,27,34,24,23,29,17,22,22,19,22,26,26,22,30
"36",30,23,26,28,21,25,28,29,27,21,24,26,28,22,28
"37",26,29,27,21,23,26,30,24,30,27,24,23,34,23,21
"38",28,20,20,25,20,24,20,27,22,24,23,23,26,28,24
"39",28,28,22,29,30,25,25,30,22,23,28,28,25,25,27
"40",29,32,26,23,29,25,25,33,25,26,26,24,23,26,22
"41",26,25,25,26,25,24,27,20,30,20,25,22,28,25,22
