,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,2,3,7,1,2,1,1,2,3,3,1,2,3,6,5,3,2,6,0,0
2,3,7,1,1,1,0,1,2,3,1,4,1,1,0,2,1,1,4,1,4
3,1,2,9,3,4,1,2,3,5,2,2,6,1,7,6,4,3,3,2,1
4,3,1,3,2,2,0,1,1,0,2,2,1,2,4,2,1,0,5,2,1
5,0,0,4,4,6,0,2,1,2,5,6,3,4,6,3,1,3,5,2,1
6,7,10,2,6,3,0,0,0,0,0,8,1,3,3,2,0,3,7,4,6
7,0,1,3,2,2,2,0,1,2,1,1,3,1,2,3,2,0,2,1,0
8,1,1,5,2,0,1,0,2,0,2,3,3,1,5,6,2,0,2,1,0
9,2,6,0,2,2,1,2,0,0,1,2,0,0,1,0,2,1,5,0,4
10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11,0,0,3,1,0,0,0,2,2,0,3,3,1,4,4,2,0,2,1,1
12,6,10,3,6,2,1,1,0,2,1,8,1,3,5,4,1,2,6,4,8
13,1,2,2,2,2,0,0,0,1,2,4,0,2,3,1,1,1,2,1,2
14,1,1,4,0,1,1,1,0,2,0,0,1,1,1,1,1,1,3,0,0
15,1,1,3,1,4,0,0,0,0,1,5,1,2,1,1,1,2,3,0,0
16,0,0,2,0,4,0,0,1,1,1,4,3,2,2,1,1,1,2,1,1
17,1,3,8,1,1,1,1,3,6,0,2,5,3,6,5,1,0,3,0,0
18,1,4,0,4,0,0,0,0,0,0,3,0,0,1,0,0,1,4,1,4
19,2,3,5,3,3,0,3,3,2,2,3,3,2,3,7,3,1,1,3,2
20,3,2,4,3,5,1,0,1,0,4,3,1,1,2,2,0,1,4,1,2
