,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,2,3,3,2,3,1,6,0,2,1,0,0,0,0,0,0,0,0,0,0
2,4,6,8,7,7,5,9,0,5,1,2,1,1,1,1,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,3,3,3,5,8,0,5,2,1,2,0,1,1,0,0,1,1,1
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,4,4,3,9,4,10,0,7,2,2,1,0,1,1,1,0,0,1,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,2,1,0,3,8,8,6,9,5,6,8,0,0,2,4,4,2
12,0,0,0,3,2,0,2,8,9,7,10,5,9,4,0,1,1,2,5,6
13,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
14,0,0,0,2,0,0,1,1,3,3,3,0,4,3,0,0,0,1,0,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,3,1,0,0,0,0,0,0,1,1,5,2,2,2,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,3,1,2,2,0,1,0,3,1,0,2,1,9,4,1,3,4,6
19,2,3,4,0,5,5,0,2,1,2,2,0,3,3,10,10,3,3,6,6
20,1,3,1,0,3,2,0,1,0,1,0,0,1,0,4,3,0,4,2,2
