,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,8,11,11,8,12,7,16,1,8,4,1,2,0,0,1,0,0,1,0,0
2,14,17,22,19,22,16,25,0,14,4,6,5,2,3,3,3,1,1,1,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,11,12,10,13,15,22,0,13,6,3,6,1,3,4,2,0,2,3,3
6,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
7,14,14,15,11,24,14,28,1,17,6,6,5,1,4,5,3,0,2,2,2
8,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,1,8,4,0,9,23,22,20,26,21,18,22,1,1,4,13,11,9
12,0,1,0,10,6,2,8,25,26,24,29,22,26,16,1,2,3,11,13,17
13,0,0,0,1,0,1,1,4,4,3,4,5,3,4,0,0,0,1,1,2
14,1,1,0,5,2,1,4,7,9,10,9,6,11,10,0,0,0,4,3,3
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,3,5,2,9,6,0,1,0,2,2,0,5,4,15,9,7,7,10,10
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,5,9,2,8,9,1,4,2,7,4,0,8,5,26,16,6,11,13,17
19,5,11,13,2,16,16,0,6,4,7,6,0,10,9,31,27,10,13,18,21
20,3,7,5,1,8,7,1,4,1,3,2,0,4,3,13,9,2,10,7,8
