,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,2,4,3,2,4,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0
2,6,9,15,11,15,8,18,0,6,0,2,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,5,3,5,7,14,0,5,1,0,1,0,0,0,0,0,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,7,3,17,6,21,0,9,1,2,0,0,1,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,2,0,0,3,15,14,12,20,15,10,14,0,0,1,6,4,2
12,0,0,0,4,1,0,2,19,20,17,24,17,19,8,0,0,0,3,6,9
13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,1,1,2,3,3,0,4,3,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,1,0,3,1,0,0,0,0,0,0,1,0,7,2,2,1,3,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,3,0,1,2,0,0,0,2,1,0,2,0,19,7,1,4,6,9
19,1,4,5,0,8,8,0,1,1,1,1,0,3,3,28,21,3,5,10,13
20,0,2,1,0,2,2,0,1,0,0,0,0,0,0,6,3,0,4,1,2
