"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",3,4,4,2,5,4,5,0,0,1,1,0,0,0,0,2,1,2,0,0
"2",7,3,3,2,3,3,2,1,0,1,0,1,1,2,1,1,1,0,0,1
"3",2,4,3,4,5,2,2,1,1,1,2,0,1,1,0,3,0,0,1,1
"4",3,3,3,2,3,3,4,1,2,0,1,0,2,1,1,0,0,1,0,1
"5",3,3,3,1,3,4,5,0,3,0,2,1,1,1,0,1,0,2,1,0
"6",5,2,5,3,4,7,2,2,2,1,0,0,1,2,1,1,1,1,1,0
"7",1,5,4,2,3,4,3,2,1,2,1,2,1,1,2,1,1,0,1,1
"8",1,1,1,0,1,0,0,5,7,4,4,2,7,0,0,2,1,1,2,0
"9",1,1,1,1,0,2,0,5,3,3,4,2,1,4,1,2,2,2,3,0
"10",2,2,2,1,0,1,1,6,3,3,4,6,4,1,0,0,2,1,1,0
"11",1,2,2,1,0,1,2,2,3,4,4,6,4,1,1,2,2,0,1,1
"12",2,2,0,1,0,0,2,3,5,2,1,4,2,0,1,1,2,0,1,1
"13",1,1,2,2,2,1,1,3,3,2,1,4,4,0,0,1,0,0,1,1
"14",2,1,0,2,1,1,1,1,0,1,1,1,1,4,3,3,1,1,7,2
"15",1,1,2,2,1,2,2,1,2,0,1,2,2,5,2,3,4,7,3,0
"16",3,0,0,1,0,1,1,0,1,2,0,0,0,1,3,3,3,6,1,2
"17",1,0,1,1,1,0,0,1,1,1,2,2,1,4,2,3,3,3,4,5
"18",0,1,0,1,1,1,0,0,0,2,2,1,0,3,5,4,2,3,3,3
"19",1,0,0,0,0,2,1,1,1,1,0,1,1,5,4,2,3,2,4,4
"20",1,0,1,3,1,0,1,0,1,1,0,2,1,4,4,4,4,4,3,2
