"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",5,3,8,5,4,5,5,0,2,1,0,2,1,1,0,3,0,1,1,1
"2",7,3,10,5,9,8,7,0,1,1,1,0,1,1,1,0,1,1,0,0
"3",4,3,4,4,7,7,8,0,1,0,3,2,1,2,1,2,0,1,0,1
"4",3,5,3,8,7,8,9,1,2,2,2,1,2,3,2,1,0,1,0,2
"5",7,4,1,8,7,7,6,1,2,2,2,1,1,2,0,0,1,0,2,1
"6",3,5,6,4,6,5,7,2,3,1,1,1,1,2,2,3,0,1,0,1
"7",6,5,5,3,3,4,8,1,1,3,1,2,2,4,2,0,1,1,2,1
"8",0,1,0,1,2,2,2,7,9,6,7,7,4,1,1,3,1,0,0,1
"9",1,1,2,0,1,1,1,5,5,10,12,6,10,0,1,0,1,0,0,1
"10",0,0,2,1,1,1,1,4,8,6,12,4,8,1,1,1,0,1,1,0
"11",0,1,1,1,1,1,0,5,8,4,5,6,2,2,2,1,2,1,1,1
"12",2,1,1,1,1,1,2,7,7,7,6,6,3,1,3,1,0,1,1,1
"13",1,0,1,0,1,1,0,7,6,4,4,6,5,1,1,2,1,1,1,1
"14",1,1,1,0,2,1,0,0,3,1,0,1,1,9,5,8,3,7,5,8
"15",1,1,0,1,0,0,3,1,2,1,1,1,0,5,7,7,8,7,8,7
"16",3,0,2,1,1,1,1,0,1,1,1,0,1,4,6,7,5,5,4,3
"17",1,0,0,0,1,2,1,0,1,2,1,1,0,3,6,6,3,5,8,4
"18",1,1,2,0,0,0,2,1,2,1,1,1,2,7,4,4,7,7,9,7
"19",1,1,0,1,1,0,0,2,1,1,1,1,0,5,5,13,4,7,8,8
"20",0,2,2,2,2,1,2,1,1,1,0,1,3,6,7,3,4,6,6,7
