"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,7,3,9,8,5,11,4,1,0,3,0,0,2,1,0,0,3,0,2
"2",21,6,13,1,8,7,10,1,1,3,0,3,2,1,2,0,1,1,3,1
"3",5,4,8,7,8,13,4,0,2,1,0,0,7,1,0,2,2,1,5,3
"4",9,6,14,6,8,8,4,1,2,4,4,0,0,0,1,4,0,1,4,1
"5",11,10,5,8,4,5,11,1,1,0,1,0,2,4,0,1,3,1,1,2
"6",5,5,6,11,10,5,7,2,3,2,4,5,0,0,2,1,0,3,2,1
"7",6,6,6,8,4,11,8,3,2,2,4,1,0,3,0,3,3,2,1,0
"8",0,1,1,3,4,1,0,11,9,7,6,5,5,1,2,0,4,3,1,1
"9",0,1,4,3,3,0,0,7,8,6,12,5,10,4,0,2,0,0,0,3
"10",2,1,2,0,0,1,2,4,8,4,6,7,7,5,0,5,4,0,2,5
"11",0,0,0,1,0,0,3,6,12,11,9,10,8,0,2,0,4,1,2,0
"12",0,1,0,3,1,1,1,9,15,9,11,4,4,0,4,1,0,1,2,5
"13",1,0,0,4,1,0,1,13,14,12,14,8,7,2,1,0,2,0,0,5
"14",2,1,0,8,4,3,0,0,6,1,4,3,2,6,8,2,10,3,10,9
"15",0,0,2,0,3,0,1,3,3,0,0,0,1,4,8,10,11,6,12,4
"16",3,1,4,1,0,4,2,3,5,1,3,4,2,7,7,9,6,3,11,8
"17",0,1,1,0,2,0,2,1,3,1,6,0,3,6,4,9,0,7,17,15
"18",1,0,3,3,3,0,0,0,0,0,0,1,2,2,13,7,6,16,7,14
"19",2,0,2,1,0,3,1,2,2,3,1,4,0,5,16,11,7,8,13,8
"20",1,2,0,0,0,6,1,0,0,0,2,2,0,11,8,16,3,7,6,8
