"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9,8,13,8,12,14,10,1,6,1,2,0,2,3,3,1,4,3,1,2
"2",7,10,23,12,12,10,14,3,4,3,1,2,3,3,2,1,0,1,4,4
"3",11,5,7,9,7,8,13,4,3,4,4,3,3,0,1,3,1,4,1,3
"4",18,7,19,8,9,9,12,0,3,1,3,3,5,2,3,0,4,2,3,1
"5",10,5,15,9,5,17,19,4,4,2,4,0,3,2,5,3,2,4,1,5
"6",8,6,16,10,9,13,13,3,1,1,6,5,1,3,3,2,3,2,4,3
"7",14,9,10,11,4,15,14,5,2,2,4,7,3,3,0,6,1,0,4,2
"8",1,4,0,1,3,2,2,9,19,10,8,13,15,6,0,4,4,3,2,0
"9",1,1,4,2,2,4,5,14,12,15,13,17,12,3,4,0,2,2,4,5
"10",1,2,3,4,4,0,2,12,19,13,8,14,15,2,4,1,2,2,3,3
"11",3,4,5,2,2,1,3,10,16,9,8,16,18,2,1,2,3,2,3,3
"12",1,1,0,0,7,1,2,16,21,14,14,6,13,1,2,4,7,2,0,8
"13",0,0,2,1,2,4,1,13,11,5,11,5,7,3,1,1,2,3,3,5
"14",4,3,4,1,2,2,3,3,6,1,4,0,3,14,8,16,11,11,11,10
"15",2,2,1,0,1,6,2,2,5,2,0,3,2,18,10,16,15,16,17,15
"16",2,4,0,3,2,4,4,3,6,3,2,1,7,14,8,18,9,15,15,13
"17",0,0,3,1,0,3,2,3,3,1,1,3,3,6,10,12,11,15,6,8
"18",2,1,1,1,2,4,3,2,5,3,0,2,0,12,10,11,10,13,14,2
"19",2,1,5,2,2,2,2,4,1,1,5,4,3,12,17,12,20,15,19,24
"20",1,2,0,0,1,1,2,2,5,1,6,0,2,19,7,14,13,19,14,17
