nu,D,seed,distance
1.1,1.0,1.0,0.02416461620666533
1.1,1.0,2.0,0.024061660882857588
1.1,1.0,3.0,0.026606009013043525
1.1,1.0,4.0,0.030573694710476003
1.1,1.0,5.0,0.023979345077118363
1.3,1.0,1.0,0.0652322026001625
1.3,1.0,2.0,0.06518517064949017
1.3,1.0,3.0,0.06597282059826888
1.3,1.0,4.0,0.0672924873584768
1.3,1.0,5.0,0.06515862867541432
1.5,1.0,1.0,0.09969508664060313
1.5,1.0,2.0,0.09965523193629312
1.5,1.0,3.0,0.10018005689132727
1.5,1.0,4.0,0.10105442679467773
1.5,1.0,5.0,0.09963019842398677
1.7,1.0,1.0,0.1289964967594849
1.7,1.0,2.0,0.12896869511611553
1.7,1.0,3.0,0.12930385745577774
1.7,1.0,4.0,0.12988176487516875
1.7,1.0,5.0,0.12895528708393514
2.0,1.0,1.0,0.1657328414269374
2.0,1.0,2.0,0.16571813605251823
2.0,1.0,3.0,0.16597438028676376
2.0,1.0,4.0,0.16633447477685187
2.0,1.0,5.0,0.1657071907268355
2.5,1.0,1.0,0.2135573362900271
2.5,1.0,2.0,0.21355337481685951
2.5,1.0,3.0,0.21369249301024082
2.5,1.0,4.0,0.2139256667328879
2.5,1.0,5.0,0.21354769008622126
3.5,1.0,1.0,0.27984893752561796
3.5,1.0,2.0,0.2798464576413251
3.5,1.0,3.0,0.2799331536357449
3.5,1.0,4.0,0.28003377296784565
3.5,1.0,5.0,0.2798456343027805
5.0,1.0,1.0,0.34276008213482617
5.0,1.0,2.0,0.34275895384539856
5.0,1.0,3.0,0.34281249748148124
5.0,1.0,4.0,0.3428611430760612
5.0,1.0,5.0,0.3427582154311782
10.0,1.0,1.0,0.4457526216164648
10.0,1.0,2.0,0.4457517258159065
10.0,1.0,3.0,0.4457668842878098
10.0,1.0,4.0,0.4457995349211509
10.0,1.0,5.0,0.4457513004367055
1.1,2.0,1.0,0.07853840989975872
1.1,2.0,2.0,0.07909024234982727
1.1,2.0,3.0,0.0788561495269749
1.1,2.0,4.0,0.08272448281733612
1.1,2.0,5.0,0.0787347864726345
1.3,2.0,1.0,0.04046960020211422
1.3,2.0,2.0,0.04081643186294616
1.3,2.0,3.0,0.041359586423919764
1.3,2.0,4.0,0.04555505611607651
1.3,2.0,5.0,0.04056655481887437
1.5,2.0,1.0,0.019823911693392787
1.5,2.0,2.0,0.01986024879611264
1.5,2.0,3.0,0.02242511143658138
1.5,2.0,4.0,0.02790124766512004
1.5,2.0,5.0,0.019509327594132594
1.7,2.0,1.0,0.036773081861640286
1.7,2.0,2.0,0.036486705941747376
1.7,2.0,3.0,0.03817292588007899
1.7,2.0,4.0,0.040148911911060105
1.7,2.0,5.0,0.03638449888666786
2.0,2.0,1.0,0.07318598274009272
2.0,2.0,2.0,0.07302515740438982
2.0,2.0,3.0,0.07413152690573553
2.0,2.0,4.0,0.07452559804718582
2.0,2.0,5.0,0.07302474735284646
2.5,2.0,1.0,0.12472124344099667
2.5,2.0,2.0,0.12464424646109315
2.5,2.0,3.0,0.12514612544293816
2.5,2.0,4.0,0.12536395669036238
2.5,2.0,5.0,0.12464656466243501
3.5,2.0,1.0,0.19856441924321763
3.5,2.0,2.0,0.19853969545926925
3.5,2.0,3.0,0.19881225930271185
3.5,2.0,4.0,0.19880978700248741
3.5,2.0,5.0,0.1985472598067213
5.0,2.0,1.0,0.2697797842702002
5.0,2.0,2.0,0.26976276677446276
5.0,2.0,3.0,0.2699182330796487
5.0,2.0,4.0,0.26990163597432376
5.0,2.0,5.0,0.2697678390494236
10.0,2.0,1.0,0.38733749465877093
10.0,2.0,2.0,0.3873264282368421
10.0,2.0,3.0,0.38737867068730947
10.0,2.0,4.0,0.38740925383743824
10.0,2.0,5.0,0.3873243924677613
1.1,3.0,1.0,0.12958077244494604
1.1,3.0,2.0,0.13070463164550294
1.1,3.0,3.0,0.1290757104136588
1.1,3.0,4.0,0.13415234615233773
1.1,3.0,5.0,0.13008030659441855
1.3,3.0,1.0,0.09171205066902101
1.3,3.0,2.0,0.09273245862652849
1.3,3.0,3.0,0.09155534606772257
1.3,3.0,4.0,0.09619181453283396
1.3,3.0,5.0,0.09210942745893856
1.5,3.0,1.0,0.060203529050728
1.5,3.0,2.0,0.06114663485285056
1.5,3.0,3.0,0.06054203733532686
1.5,3.0,4.0,0.06566295168218803
1.5,3.0,5.0,0.06045027662662859
1.7,3.0,1.0,0.0371498297528267
1.7,3.0,2.0,0.037607860716481256
1.7,3.0,3.0,0.038123459895557175
1.7,3.0,4.0,0.04268256854510439
1.7,3.0,5.0,0.03712509415267409
2.0,3.0,1.0,0.03517142137845329
2.0,3.0,2.0,0.035224388662207964
2.0,3.0,3.0,0.03684232591357089
2.0,3.0,4.0,0.039215800726371215
2.0,3.0,5.0,0.03494161377599484
2.5,3.0,1.0,0.07825722499465626
2.5,3.0,2.0,0.07809872780497058
2.5,3.0,3.0,0.07915283942850376
2.5,3.0,4.0,0.07948338632065324
2.5,3.0,5.0,0.07808737817127669
3.5,3.0,1.0,0.1532335053237787
3.5,3.0,2.0,0.1531423832383102
3.5,3.0,3.0,0.15368911295323456
3.5,3.0,4.0,0.15353585633626557
3.5,3.0,5.0,0.15318353727103698
5.0,3.0,1.0,0.22821209519370736
5.0,3.0,2.0,0.2281566096751578
5.0,3.0,3.0,0.2283938583208477
5.0,3.0,4.0,0.2283697710381393
5.0,3.0,5.0,0.22815706061450441
10.0,3.0,1.0,0.35364030757764664
10.0,3.0,2.0,0.35361685389591624
10.0,3.0,3.0,0.353664693999315
10.0,3.0,4.0,0.3536860354733211
10.0,3.0,5.0,0.35360456371565596
1.1,4.0,1.0,0.1622290643178764
1.1,4.0,2.0,0.16379307717762978
1.1,4.0,3.0,0.16132880409098607
1.1,4.0,4.0,0.1675186997378999
1.1,4.0,5.0,0.1630637158342951
1.3,4.0,1.0,0.125112127502907
1.3,4.0,2.0,0.12661641851263195
1.3,4.0,3.0,0.12453171879087835
1.3,4.0,4.0,0.12995459824447247
1.3,4.0,5.0,0.12590588713631493
1.5,4.0,1.0,0.09331630467449521
1.5,4.0,2.0,0.09478582626594839
1.5,4.0,3.0,0.09304282154459535
1.5,4.0,4.0,0.0984438570490605
1.5,4.0,5.0,0.093938048695548
1.7,4.0,1.0,0.06681425545199503
1.7,4.0,2.0,0.06797126057011615
1.7,4.0,3.0,0.06684195600622622
1.7,4.0,4.0,0.07187505869689591
1.7,4.0,5.0,0.06723250359803223
2.0,4.0,1.0,0.04041988400312739
2.0,4.0,2.0,0.04096388122964261
2.0,4.0,3.0,0.041444546826551576
2.0,4.0,4.0,0.045711734257085176
2.0,4.0,5.0,0.040500933266526214
2.5,4.0,1.0,0.05302009476359562
2.5,4.0,2.0,0.05283620944636212
2.5,4.0,3.0,0.054231201981305925
2.5,4.0,4.0,0.055010568786289626
2.5,4.0,5.0,0.05276980121192196
3.5,4.0,1.0,0.123326293527338
3.5,4.0,2.0,0.12313181406933446
3.5,4.0,3.0,0.12388607698850607
3.5,4.0,4.0,0.12363743093909633
3.5,4.0,5.0,0.12321509511844604
5.0,4.0,1.0,0.19978773173309292
5.0,4.0,2.0,0.19969635098010163
5.0,4.0,3.0,0.2000706644182662
5.0,4.0,4.0,0.19990830140152574
5.0,4.0,5.0,0.1997248891146017
10.0,4.0,1.0,0.33018130084303493
10.0,4.0,2.0,0.3301635545108289
10.0,4.0,3.0,0.33025002169453166
10.0,4.0,4.0,0.3302514533847457
10.0,4.0,5.0,0.33016244428906233
1.1,5.0,1.0,0.18569953641242018
1.1,5.0,2.0,0.1878670235113147
1.1,5.0,3.0,0.18460177300425198
1.1,5.0,4.0,0.19163304068367024
1.1,5.0,5.0,0.1867490177180335
1.3,5.0,1.0,0.14931095685207094
1.3,5.0,2.0,0.1512091908543173
1.3,5.0,3.0,0.1484639463094009
1.3,5.0,4.0,0.1545789752983206
1.3,5.0,5.0,0.150252182438154
1.5,5.0,1.0,0.11762601757970649
1.5,5.0,2.0,0.11957549134436095
1.5,5.0,3.0,0.11707169457666122
1.5,5.0,4.0,0.12352623756493078
1.5,5.0,5.0,0.11859555568467879
1.7,5.0,1.0,0.09055274829811857
1.7,5.0,2.0,0.09216625162813666
1.7,5.0,3.0,0.0902055603422005
1.7,5.0,4.0,0.09583647110021272
1.7,5.0,5.0,0.09128780954502237
2.0,5.0,1.0,0.058788754128528804
2.0,5.0,2.0,0.06002033265115792
2.0,5.0,3.0,0.05909881482445088
2.0,5.0,4.0,0.06406416484169015
2.0,5.0,5.0,0.05926372283509079
2.5,5.0,1.0,0.04392257891222094
2.5,5.0,2.0,0.04408413780673127
2.5,5.0,3.0,0.04519677492243072
2.5,5.0,4.0,0.047510641544522135
2.5,5.0,5.0,0.043782485755445515
3.5,5.0,1.0,0.10216030047653095
3.5,5.0,2.0,0.10192482547470649
3.5,5.0,3.0,0.10295376091495126
3.5,5.0,4.0,0.10256184699797702
3.5,5.0,5.0,0.10202290183920074
5.0,5.0,1.0,0.178586052294755
5.0,5.0,2.0,0.1784704507918666
5.0,5.0,3.0,0.17899066236046743
5.0,5.0,4.0,0.17865846667385188
5.0,5.0,5.0,0.17850294791006516
10.0,5.0,1.0,0.3123626361206648
10.0,5.0,2.0,0.3123115224028563
