nu,D,seed,dist,type,distance
1.1,3.0,1.0,1.0,3.0,0.051804366483155694
1.1,3.0,1.0,1.0,2.0,0.046138723531508385
1.1,3.0,1.0,1.0,1.0,0.008990090372361703
1.1,3.0,2.0,1.0,3.0,0.057849214450076354
1.1,3.0,2.0,1.0,2.0,0.0506823455819166
1.1,3.0,2.0,1.0,1.0,0.017594360597693513
1.1,3.0,3.0,1.0,3.0,0.051171621477796886
1.1,3.0,3.0,1.0,2.0,0.044962789058191246
1.1,3.0,3.0,1.0,1.0,0.014544096464778172
1.1,3.0,4.0,1.0,3.0,0.05596895053042828
1.1,3.0,4.0,1.0,2.0,0.04872682713584974
1.1,3.0,4.0,1.0,1.0,0.021203791410779518
1.1,3.0,5.0,1.0,3.0,0.04602143174284916
1.1,3.0,5.0,1.0,2.0,0.05043474718746381
1.1,3.0,5.0,1.0,1.0,0.007383476115449318
1.3,3.0,1.0,1.0,3.0,0.07382242159059933
1.3,3.0,1.0,1.0,2.0,0.06924832129239289
1.3,3.0,1.0,1.0,1.0,0.023028066744896724
1.3,3.0,2.0,1.0,3.0,0.08041792909917993
1.3,3.0,2.0,1.0,2.0,0.0754566749093248
1.3,3.0,2.0,1.0,1.0,0.03235979280542074
1.3,3.0,3.0,1.0,3.0,0.07608905256898346
1.3,3.0,3.0,1.0,2.0,0.06670893741241951
1.3,3.0,3.0,1.0,1.0,0.02923461232396629
1.3,3.0,4.0,1.0,3.0,0.07846839009629997
1.3,3.0,4.0,1.0,2.0,0.0682619521067511
1.3,3.0,4.0,1.0,1.0,0.0341010044176063
1.3,3.0,5.0,1.0,3.0,0.0810430572873703
1.3,3.0,5.0,1.0,2.0,0.06868990183706414
1.3,3.0,5.0,1.0,1.0,0.030141279194562144
1.5,3.0,1.0,1.0,3.0,0.10662183015484321
1.5,3.0,1.0,1.0,2.0,0.08724636090636687
1.5,3.0,1.0,1.0,1.0,0.04986022977297133
1.5,3.0,2.0,1.0,3.0,0.10337025039671019
1.5,3.0,2.0,1.0,2.0,0.08965998537597503
1.5,3.0,2.0,1.0,1.0,0.05545897279420498
1.5,3.0,3.0,1.0,3.0,0.10299224630593762
1.5,3.0,3.0,1.0,2.0,0.08830310352638739
1.5,3.0,3.0,1.0,1.0,0.045038850094028096
1.5,3.0,4.0,1.0,3.0,0.10081582367979652
1.5,3.0,4.0,1.0,2.0,0.08768028113906208
1.5,3.0,4.0,1.0,1.0,0.054610694706336727
1.5,3.0,5.0,1.0,3.0,0.10693709014577357
1.5,3.0,5.0,1.0,2.0,0.09387063970343376
1.5,3.0,5.0,1.0,1.0,0.050909475597616806
1.7,3.0,1.0,1.0,3.0,0.1229560647167326
1.7,3.0,1.0,1.0,2.0,0.11247751211072068
1.7,3.0,1.0,1.0,1.0,0.07311820521186038
1.7,3.0,2.0,1.0,3.0,0.12768690112088688
1.7,3.0,2.0,1.0,2.0,0.11579428952616688
1.7,3.0,2.0,1.0,1.0,0.07431873126826807
1.7,3.0,3.0,1.0,3.0,0.13314286314712714
1.7,3.0,3.0,1.0,2.0,0.11654971363757001
1.7,3.0,3.0,1.0,1.0,0.07229699899325799
1.7,3.0,4.0,1.0,3.0,0.12833046620467903
1.7,3.0,4.0,1.0,2.0,0.11416620804337661
1.7,3.0,4.0,1.0,1.0,0.07162940214124307
1.7,3.0,5.0,1.0,3.0,0.12346568982020527
1.7,3.0,5.0,1.0,2.0,0.11476704262010662
1.7,3.0,5.0,1.0,1.0,0.07213391395590998
2.0,3.0,1.0,1.0,3.0,0.15605317939709426
2.0,3.0,1.0,1.0,2.0,0.1337395427092859
2.0,3.0,1.0,1.0,1.0,0.09939709633347016
2.0,3.0,2.0,1.0,3.0,0.16234174962565923
2.0,3.0,2.0,1.0,2.0,0.13982893117393824
2.0,3.0,2.0,1.0,1.0,0.10234746292332568
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
