nu,D,seed,dist,type,distance
1.1,3.0,1.0,1.0,3.0,0.04953576448192198
1.1,3.0,1.0,1.0,2.0,0.04090016930092018
1.1,3.0,1.0,1.0,1.0,0.008442967863817572
1.1,3.0,2.0,1.0,3.0,0.055299283116940656
1.1,3.0,2.0,1.0,2.0,0.04570595902810672
1.1,3.0,2.0,1.0,1.0,0.013225544152980266
1.1,3.0,3.0,1.0,3.0,0.054029709182917725
1.1,3.0,3.0,1.0,2.0,0.046973407094281557
1.1,3.0,3.0,1.0,1.0,0.01438977111689471
1.1,3.0,4.0,1.0,3.0,0.058232675427835126
1.1,3.0,4.0,1.0,2.0,0.04827826729986013
1.1,3.0,4.0,1.0,1.0,0.021291088770078098
1.1,3.0,5.0,1.0,3.0,0.04640004789297078
1.1,3.0,5.0,1.0,2.0,0.050647738995825656
1.1,3.0,5.0,1.0,1.0,0.00871007730895897
1.3,3.0,1.0,1.0,3.0,0.07823006780026201
1.3,3.0,1.0,1.0,2.0,0.06719287316884676
1.3,3.0,1.0,1.0,1.0,0.02579168715857566
1.3,3.0,2.0,1.0,3.0,0.07709341425898884
1.3,3.0,2.0,1.0,2.0,0.06342238599217077
1.3,3.0,2.0,1.0,1.0,0.03243022111034314
1.3,3.0,3.0,1.0,3.0,0.08081761618034271
1.3,3.0,3.0,1.0,2.0,0.06567649817783044
1.3,3.0,3.0,1.0,1.0,0.03379771341596211
1.3,3.0,4.0,1.0,3.0,0.07423690252710602
1.3,3.0,4.0,1.0,2.0,0.06431769145909659
1.3,3.0,4.0,1.0,1.0,0.032727064816355504
1.3,3.0,5.0,1.0,3.0,0.08203961398709851
1.3,3.0,5.0,1.0,2.0,0.06339564994366302
1.3,3.0,5.0,1.0,1.0,0.034215649056167544
1.5,3.0,1.0,1.0,3.0,0.1055379498720296
1.5,3.0,1.0,1.0,2.0,0.08521914208131892
1.5,3.0,1.0,1.0,1.0,0.04597064201769085
1.5,3.0,2.0,1.0,3.0,0.1119637561626086
1.5,3.0,2.0,1.0,2.0,0.09052378507725578
1.5,3.0,2.0,1.0,1.0,0.05434903824077068
1.5,3.0,3.0,1.0,3.0,0.10426434391251523
1.5,3.0,3.0,1.0,2.0,0.09157788295376089
1.5,3.0,3.0,1.0,1.0,0.05153436355212495
1.5,3.0,4.0,1.0,3.0,0.10606999161067976
1.5,3.0,4.0,1.0,2.0,0.08821440010117347
1.5,3.0,4.0,1.0,1.0,0.05067241223466792
1.5,3.0,5.0,1.0,3.0,0.10387938781444264
1.5,3.0,5.0,1.0,2.0,0.0919150368203395
1.5,3.0,5.0,1.0,1.0,0.050121644049354
1.7,3.0,1.0,1.0,3.0,0.12340091068953063
1.7,3.0,1.0,1.0,2.0,0.11104384954982195
1.7,3.0,1.0,1.0,1.0,0.07002604354265113
1.7,3.0,2.0,1.0,3.0,0.12934497769466372
1.7,3.0,2.0,1.0,2.0,0.11247972809425702
1.7,3.0,2.0,1.0,1.0,0.07727005280611896
1.7,3.0,3.0,1.0,3.0,0.12530401820393514
1.7,3.0,3.0,1.0,2.0,0.11462037720579753
1.7,3.0,3.0,1.0,1.0,0.07518511040220345
1.7,3.0,4.0,1.0,3.0,0.1257972010605516
1.7,3.0,4.0,1.0,2.0,0.11542835138189127
1.7,3.0,4.0,1.0,1.0,0.07177519000333603
1.7,3.0,5.0,1.0,3.0,0.12644158520874074
1.7,3.0,5.0,1.0,2.0,0.11202821452242165
1.7,3.0,5.0,1.0,1.0,0.06490770456408468
2.0,3.0,1.0,1.0,3.0,0.15808664729806013
2.0,3.0,1.0,1.0,2.0,0.14157320702730986
2.0,3.0,1.0,1.0,1.0,0.10232685511974039
2.0,3.0,2.0,1.0,3.0,0.15877855125250587
2.0,3.0,2.0,1.0,2.0,0.14324870164092326
2.0,3.0,2.0,1.0,1.0,0.10127130909558474
2.0,3.0,3.0,1.0,3.0,0.16034483047825882
2.0,3.0,3.0,1.0,2.0,0.14242831969858427
2.0,3.0,3.0,1.0,1.0,0.10694933117729535
2.0,3.0,4.0,1.0,3.0,0.1624198066267779
2.0,3.0,4.0,1.0,2.0,0.1376025699997492
2.0,3.0,4.0,1.0,1.0,0.10108209526630044
2.0,3.0,5.0,1.0,2.0,0.1412667695446417
2.0,3.0,5.0,1.0,1.0,0.10842606476413418
0.0,0.0,0.0,0.0,0.0,0.0
