"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1",1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,10,10,10,10,10
"2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"3",28,31,33,25,25,27,26,32,25,24,26,23,29,24,24,25,27,28,25,23,25,26,28,23,24,26,26,27,23,23,25,25,26,23,23
"4",21,32,23,23,22,21,32,22,23,18,22,29,24,20,20,21,21,23,28,27,28,24,24,28,20,28,26,25,28,22,27,22,23,27,25
"5",23,29,20,20,26,29,26,22,23,22,25,26,25,26,24,26,22,27,27,27,21,28,23,23,25,25,30,26,27,26,22,27,24,24,26
"6",22,23,27,27,29,23,29,27,18,22,20,25,26,24,23,24,26,29,22,25,23,27,23,25,25,24,33,24,28,28,27,25,27,26,26
"7",27,25,22,27,23,22,24,22,24,33,21,23,21,23,25,25,24,21,23,25,24,28,25,27,27,25,23,21,28,23,25,25,27,25,25
"8",20,28,25,28,28,27,25,19,24,20,28,17,22,27,30,28,22,26,27,27,24,24,21,26,28,24,24,23,24,26,24,26,25,24,26
"9",28,31,23,24,24,24,27,25,29,33,27,27,25,28,29,25,27,28,22,20,26,25,24,23,23,26,27,21,25,28,23,22,26,27,27
"10",25,28,22,26,21,28,19,16,36,21,29,22,24,31,29,22,24,29,23,24,24,26,21,29,23,25,27,26,26,22,24,23,21,27,25
"11",29,24,24,32,29,24,26,33,31,26,26,30,30,29,28,24,23,28,22,24,28,25,27,25,25,28,24,28,23,23,23,25,26,21,26
"12",23,37,32,22,24,24,26,22,23,23,19,22,24,25,26,28,23,23,22,29,24,26,27,22,29,26,24,25,24,27,24,25,26,23,24
"13",22,23,18,22,29,19,30,23,26,22,26,28,22,26,26,24,25,25,26,23,27,27,24,21,24,25,27,24,23,26,24,24,24,24,26
"14",26,26,19,30,23,24,23,28,28,19,21,24,27,23,22,29,16,24,19,20,25,27,23,29,23,26,24,24,22,25,23,25,27,27,25
"15",25,19,23,24,25,24,21,24,23,22,23,27,24,21,24,22,21,31,24,26,22,29,28,21,28,27,24,25,24,22,22,25,25,25,23
"16",20,26,20,31,24,20,21,22,25,28,26,27,19,32,19,28,24,25,26,23,20,28,20,27,26,24,22,25,26,25,24,30,26,24,25
