nu,D,seed,distance
1.25,1.0,1.0,0.0548495660640948
1.25,1.0,2.0,0.05490547682351546
1.25,1.0,3.0,0.05468087405129367
1.25,1.0,4.0,0.05475297893545495
1.25,1.0,5.0,0.05529502473720681
1.5,1.0,1.0,0.09819423955749364
1.5,1.0,2.0,0.09930934888438028
1.5,1.0,3.0,0.09814795160563135
1.5,1.0,4.0,0.1005479657598766
1.5,1.0,5.0,0.09840593954661207
2.0,1.0,1.0,0.16379817909629854
2.0,1.0,2.0,0.1640523937471602
2.0,1.0,3.0,0.1638288012509395
2.0,1.0,4.0,0.1637140022346591
2.0,1.0,5.0,0.16406557642100006
3.0,1.0,1.0,0.24759691614393234
3.0,1.0,2.0,0.24740307337027365
3.0,1.0,3.0,0.24754668892581622
3.0,1.0,4.0,0.24745388366745733
3.0,1.0,5.0,0.24753386733971913
4.0,1.0,1.0,0.3006422041065975
4.0,1.0,2.0,0.3011544835984803
4.0,1.0,3.0,0.300638205110174
4.0,1.0,4.0,0.30098022308372935
4.0,1.0,5.0,0.3006663460926405
5.0,1.0,1.0,0.33876445185228304
5.0,1.0,2.0,0.3387833937893365
5.0,1.0,3.0,0.3389540358644371
5.0,1.0,4.0,0.33874690032646027
5.0,1.0,5.0,0.33881653911565185
10.0,1.0,1.0,0.44025037041291265
10.0,1.0,2.0,0.440341946859195
10.0,1.0,3.0,0.4402159798720745
10.0,1.0,4.0,0.4403473093011248
10.0,1.0,5.0,0.4402513397319559
1.25,2.0,1.0,0.05396967711191036
1.25,2.0,2.0,0.05477342316830874
1.25,2.0,3.0,0.05408030098632643
1.25,2.0,4.0,0.05390984993013043
1.25,2.0,5.0,0.054232311674539777
1.5,2.0,1.0,0.02080258646030031
1.5,2.0,2.0,0.02615943462354431
1.5,2.0,3.0,0.020809160293791484
1.5,2.0,4.0,0.0307327588138337
1.5,2.0,5.0,0.021195616290157208
2.0,2.0,1.0,0.06794058461326918
2.0,2.0,2.0,0.06861469597786554
2.0,2.0,3.0,0.06755682078197674
2.0,2.0,4.0,0.0674056183220883
2.0,2.0,5.0,0.0689951340518088
3.0,2.0,1.0,0.15928521955320704
3.0,2.0,2.0,0.1587364301474191
3.0,2.0,3.0,0.15900344791981502
3.0,2.0,4.0,0.15886219780959818
3.0,2.0,5.0,0.15904248314303537
4.0,2.0,1.0,0.21865680390625053
4.0,2.0,2.0,0.21980976437242458
4.0,2.0,3.0,0.21865110446871347
4.0,2.0,4.0,0.2193933136054924
4.0,2.0,5.0,0.2187311326073976
5.0,2.0,1.0,0.26213023295402066
5.0,2.0,2.0,0.26218070820523554
5.0,2.0,3.0,0.26250612967226367
5.0,2.0,4.0,0.26210658610534404
5.0,2.0,5.0,0.26225371960319077
10.0,2.0,1.0,0.37860113844799875
10.0,2.0,2.0,0.378727070462096
10.0,2.0,3.0,0.37855485923933907
10.0,2.0,4.0,0.37877301331706914
10.0,2.0,5.0,0.3785947024359458
1.25,3.0,1.0,0.10783233151070315
1.25,3.0,2.0,0.10860031816518577
1.25,3.0,3.0,0.10786321152806543
1.25,3.0,4.0,0.10764112515151864
1.25,3.0,5.0,0.10707603336557514
1.5,3.0,1.0,0.06716151163166535
1.5,3.0,2.0,0.0680691534633903
1.5,3.0,3.0,0.06789944554628394
1.5,3.0,4.0,0.06940292509655835
1.5,3.0,5.0,0.06713603876335625
2.0,3.0,1.0,0.03378700849449712
2.0,3.0,2.0,0.0345845265236078
2.0,3.0,3.0,0.032357443152039096
2.0,3.0,4.0,0.03247579237421551
2.0,3.0,5.0,0.03555014737283847
3.0,3.0,1.0,0.1116085229885645
3.0,3.0,2.0,0.11047248601694662
3.0,3.0,3.0,0.11101192740332337
3.0,3.0,4.0,0.11070003232060405
3.0,3.0,5.0,0.11110492816110389
4.0,3.0,1.0,0.1723975972864296
4.0,3.0,2.0,0.17431763865551914
4.0,3.0,3.0,0.17240531987533594
4.0,3.0,4.0,0.1736046322547209
4.0,3.0,5.0,0.17245228746991323
5.0,3.0,1.0,0.21847210889935856
5.0,3.0,2.0,0.21840944361356213
5.0,3.0,3.0,0.21898486289773653
5.0,3.0,4.0,0.21836503318378012
5.0,3.0,5.0,0.218559690198274
10.0,3.0,1.0,0.3429296805656143
10.0,3.0,2.0,0.3431440763677636
10.0,3.0,3.0,0.34286346218351815
10.0,3.0,4.0,0.3431745339429274
10.0,3.0,5.0,0.3429410545628187
1.25,4.0,1.0,0.14268555713725026
1.25,4.0,2.0,0.14324258355768238
1.25,4.0,3.0,0.14247955066499446
1.25,4.0,4.0,0.1423859643584818
1.25,4.0,5.0,0.14102688252966786
1.5,4.0,1.0,0.10174829745013979
1.5,4.0,2.0,0.10139136713758608
1.5,4.0,3.0,0.10278686189326808
1.5,4.0,4.0,0.10189128460078409
1.5,4.0,5.0,0.10161054598715705
2.0,4.0,1.0,0.04626018103012328
2.0,4.0,2.0,0.04676473339911839
2.0,4.0,3.0,0.04550754288548749
2.0,4.0,4.0,0.045613587510019836
2.0,4.0,5.0,0.04726962679929627
3.0,4.0,1.0,0.08234516332800793
3.0,4.0,2.0,0.08084734113865198
3.0,4.0,3.0,0.08169929836944914
3.0,4.0,4.0,0.08084368136227933
3.0,4.0,5.0,0.08145102667637702
4.0,4.0,1.0,0.14136662918886989
4.0,4.0,2.0,0.14401977500774932
4.0,4.0,3.0,0.14133826021599563
4.0,4.0,4.0,0.14300319270732725
4.0,4.0,5.0,0.1414263011189365
5.0,4.0,1.0,0.1885977836754358
5.0,4.0,2.0,0.1885036153236897
5.0,4.0,3.0,0.1892199810237155
5.0,4.0,4.0,0.18848690385975425
5.0,4.0,5.0,0.1887245378416054
10.0,4.0,1.0,0.3181142398700415
10.0,4.0,2.0,0.3183414715340818
10.0,4.0,3.0,0.31800532106147056
10.0,4.0,4.0,0.31838295836580033
10.0,4.0,5.0,0.3181026354920855
1.25,5.0,1.0,0.16785444110037825
1.25,5.0,2.0,0.16831496096286297
1.25,5.0,3.0,0.1673993487690691
1.25,5.0,4.0,0.16741296058266875
1.25,5.0,5.0,0.16547125619719152
1.5,5.0,1.0,0.12693957571878828
1.5,5.0,2.0,0.1259443409969345
1.5,5.0,3.0,0.12834942208247352
1.5,5.0,4.0,0.12595565746291604
1.5,5.0,5.0,0.12689704440053118
2.0,5.0,1.0,0.06702265138878005
2.0,5.0,2.0,0.06718208059740657
2.0,5.0,3.0,0.06699637956699049
2.0,5.0,4.0,0.06690905765728386
2.0,5.0,5.0,0.06753863399559949
3.0,5.0,1.0,0.06471732340424295
3.0,5.0,2.0,0.06291163288599898
3.0,5.0,3.0,0.0642317264491599
3.0,5.0,4.0,0.06251062245965598
3.0,5.0,5.0,0.06360320549268247
4.0,5.0,1.0,0.11895761380635037
4.0,5.0,2.0,0.12257316015213933
4.0,5.0,3.0,0.11894156122849905
4.0,5.0,4.0,0.12121879844132091
4.0,5.0,5.0,0.1190358011596219
5.0,5.0,1.0,0.16642398589522145
5.0,5.0,2.0,0.166319784875601
5.0,5.0,3.0,0.16739457476587927
5.0,5.0,4.0,0.16627009136862342
5.0,5.0,5.0,0.16654315985321613
10.0,5.0,1.0,0.29922131448040395
10.0,5.0,2.0,0.2994702213438709
10.0,5.0,3.0,0.2990919033294829
10.0,5.0,4.0,0.2995883259098574
10.0,5.0,5.0,0.2992300107565815
1.25,6.0,1.0,0.18722769885628396
